text_ENG	Race	Number	Number2	ElemRes1	ElemRes2	ElemRes3	ElemRes4	ElemRes5	ElemRes6	AilRes1	AilRes2	AilRes3	AilRes4	AilRes5	AilRes6	AilRes7	AilRes8	DropReward0	DropReward1	DropReward2	DropReward3	DropReward4	DropGift0	DropGift1	DropGift2	DropGift3	DropGift4	text_JPN	text_CHS	text_CHT	text_KOR	FlavorText	EnemyLibraryInfoId
		[0, 0, 0, 0]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0															{}	0
Puni	Puni	[1, 1, 1, 1]	1	0	0	0	0	-25	-25	0	-25	-25	0	0	0	-25	0	{'LevelMin': 1, 'LevelMax': 5, 'TraitId1': 1539045475, 'TraitId2': 0, 'ItemId': 1098182389, 'ItemName': 'Blue Puniball', 'TraitName1': 'Puni'}	{'LevelMin': 1, 'LevelMax': 5, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 219097578, 'ItemName': 'Clean Water', 'GradeMin': 1, 'GradeMax': 8}	{'LevelMin': 1, 'LevelMax': 5, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 676625675, 'ItemName': 'Crackling Water', 'GradeMin': 1, 'GradeMax': 8}	{'LevelMin': 1, 'LevelMax': 5, 'TraitId1': 900200886, 'TraitId2': 0, 'ItemId': 1360721953, 'ItemName': 'Zapping Water', 'TraitName1': 'Magnetic'}		{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 113500809, 'ItemName': 'Altus - Deep Azure'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 580264211, 'ItemName': 'Altus - Azure Crimson'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1291552816, 'ItemName': 'Altus - Azure Jade'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 565416004, 'ItemName': 'Altus - Azure Glow'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 456265277, 'ItemName': 'Altus - Azure Amethyst'}	ぷに	噗尼	噗尼	푸니	"{'flavor1': {'text_ENG': 'Just your average Puni!', 'text_JPN': '「どこにでもいるぷにだね！」', 'text_CHT': '「是隨處可見的噗尼耶！」', 'text_CHS': '“是随处可见的噗尼！”', 'text_KOR': '「어디에나 있는 푸니야!」'}, 'char1': 'Rias', 'flavor2': {'text_ENG': '...', 'text_JPN': '「……」', 'text_CHT': '「……」', 'text_CHS': '“……”', 'text_KOR': '「……」'}, 'char2': 'Raze', 'flavor3': {'text_ENG': ""What's wrong, Raze?"", 'text_JPN': '「ロゼどうしたの？」', 'text_CHT': '「羅傑，你怎麼了？」', 'text_CHS': '“罗杰，你怎么了？”', 'text_KOR': '「로제, 왜 그래?」'}, 'char3': 'Rias', 'flavor4': {'text_ENG': '... Oh, nothing.', 'text_JPN': '「……いや、何でもない」', 'text_CHT': '「……不，沒什麼。」', 'text_CHS': '“……不，没什么。”', 'text_KOR': '「…아니, 아무것도 아니다」'}, 'char4': 'Raze'}"	578980954
Big Puni	Puni	[3, 2, 2, 3]	501	0	0	0	0	-25	-25	0	-25	-25	0	0	0	-25	0	{'LevelMin': 1, 'LevelMax': 10, 'TraitId1': 1539045475, 'TraitId2': 0, 'ItemId': 1098182389, 'ItemName': 'Blue Puniball', 'TraitName1': 'Puni'}	{'LevelMin': 1, 'LevelMax': 10, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 106063423, 'ItemName': 'Groundwater', 'GradeMin': 1, 'GradeMax': 8}	{'LevelMin': 1, 'LevelMax': 10, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 385395481, 'ItemName': 'Ancient Blue Water', 'GradeMin': 1, 'GradeMax': 8}	{'LevelMin': 1, 'LevelMax': 10, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 815571532, 'ItemName': 'Dark Dew', 'GradeMin': 1, 'GradeMax': 8}		{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 113500809, 'ItemName': 'Altus - Deep Azure'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 580264211, 'ItemName': 'Altus - Azure Crimson'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1291552816, 'ItemName': 'Altus - Azure Jade'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 565416004, 'ItemName': 'Altus - Azure Glow'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 456265277, 'ItemName': 'Altus - Azure Amethyst'}	でかぷに	巨大噗尼	巨大噗尼	거대 푸니	"{'flavor1': {'text_ENG': ""It's one of those giant Puni that we encounter sometimes."", 'text_JPN': '「時々見かける巨大なぷにだ」', 'text_CHT': '「有時也會遇到這種大型噗尼。」', 'text_CHS': '“有时也会遇到这种大型噗尼。”', 'text_KOR': '「가끔 볼 수 있는 거대한 푸니야」'}, 'char1': 'Slade', 'flavor2': {'text_ENG': ""You call that giant? I'll have you know I've been chased by a Puni that was way bigger than that!"", 'text_JPN': '「甘い甘い。あたしはもっと大きなぷにに\n\u3000追いかけられたことあるんだから！」', 'text_CHT': '「這還不夠看，\n\u3000我被更大的噗尼追過哦！」', 'text_CHS': '“这还不算什么，\n\u3000我被更大的噗尼追过哦！”', 'text_KOR': '「어림없지. 나는 더 큰 푸니한테\n 쫓긴 적이 있다고!」'}, 'char2': 'Rias', 'flavor3': {'text_ENG': 'Is that really something to brag about?', 'text_JPN': '「それは、自慢気に言うことなのか？」', 'text_CHT': '「這種事情值得炫耀嗎？」', 'text_CHS': '“这种事值得炫耀吗？”', 'text_KOR': '「자랑스럽게 말할 만한 일인가?」'}, 'char3': 'Slade'}"	562484446
		[1, 1, 1, 1]	2																														1068087231
		[7, 3, 3, 5]	502																														1142487788
Giant Puni	Puni	[10, 5, 3, 9]	1001	0	0	0	0	-25	-25	0	-25	-25	0	0	0	-25	0	{'LevelMin': 20, 'LevelMax': 34, 'TraitId1': 1539045475, 'TraitId2': 0, 'ItemId': 1098182389, 'ItemName': 'Blue Puniball', 'TraitName1': 'Puni'}	{'LevelMin': 20, 'LevelMax': 34, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1077131905, 'ItemName': 'Spirit Dew', 'GradeMin': 1, 'GradeMax': 20}		{'LevelMin': 20, 'LevelMax': 34, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1156776610, 'ItemName': 'Émeraude Water', 'GradeMin': 1, 'GradeMax': 20}		{'LevelMin': 20, 'LevelMax': 60, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1363239453, 'ItemName': 'Dark Virid Pearl', 'Numbers1': [2, 3, 4], 'Numbers2': [2, 3, 2, 1, 0], 'GiftTraitTableId1': 721348539, 'GiftTraitTableId2': 1275611647, 'GiftTraitTableId3': 990869865, 'GiftTraitTableId4': 1519653684, 'GiftTraitTableId5': 0}	{'LevelMin': 20, 'LevelMax': 60, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 642142859, 'ItemName': 'Crimson Virid Pearl', 'Numbers1': [2, 3, 4], 'Numbers2': [2, 3, 2, 1, 0], 'GiftTraitTableId1': 721348539, 'GiftTraitTableId2': 1275611647, 'GiftTraitTableId3': 990869865, 'GiftTraitTableId4': 1519653684, 'GiftTraitTableId5': 0}	{'LevelMin': 20, 'LevelMax': 60, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1085340879, 'ItemName': 'Azure Virid Pearl', 'Numbers1': [2, 3, 4], 'Numbers2': [2, 3, 2, 1, 0], 'GiftTraitTableId1': 721348539, 'GiftTraitTableId2': 1275611647, 'GiftTraitTableId3': 990869865, 'GiftTraitTableId4': 1519653684, 'GiftTraitTableId5': 0}			超でかぷに	超巨大噗尼	超巨大噗尼	초거대 푸니	"{'flavor1': {'text_ENG': ""Aha! That's the Puni that chased me around the first time I entered the ruins!"", 'text_JPN': '「ああっ、こいつ！\u3000始めて遺跡に入った時に\n\u3000あたしを追いかけてきたヤツだ！」', 'text_CHT': '「啊！這是我剛進遺跡時，\n\u3000追著我跑的傢伙！」', 'text_CHS': '“啊！这是我刚进遗迹时，\n\u3000追着我跑的家伙！”', 'text_KOR': '「앗, 이 녀석! 처음 유적에 들어갔을 때\n 나를 쫓아왔던 녀석이야!」'}, 'char1': 'Rias', 'flavor2': {'text_ENG': 'You mean that happened to you just before we met?', 'text_JPN': '「俺と会う前にそんなことがあったのか……」', 'text_CHT': '「原來遇到我之前，妳還被其他噗尼追過……」', 'text_CHS': '“原来在遇到我之前，你还被其他噗尼追过……”', 'text_KOR': '「나와 만나기 전에 그런 일이 있었구나…」'}, 'char2': 'Slade', 'flavor3': {'text_ENG': ""What can I say? Maybe I'm fated to run into giant monsters."", 'text_JPN': '「あたし、大きな魔物と縁があるのかな？」', 'text_CHT': '「我跟大型魔物可能很有緣吧？」', 'text_CHS': '“我可能和大型魔物很有缘吧？”', 'text_KOR': '「나, 커다란 몬스터와 연이 있는 걸까?」'}, 'char3': 'Rias'}"	1736945305
		[3, 3, 1, 3]	3																														1142596823
		[9, 6, 6, 7]	503																														1149001501
		[10, 7, 7, 10]	1002																														38769642
Green Puni	Puni	[1, 1, 1, 1]	4	0	0	-50	0	0	-25	0	-25	0	-50	0	0	-25	0	{'LevelMin': 1, 'LevelMax': 5, 'TraitId1': 1539045475, 'TraitId2': 0, 'ItemId': 1341465297, 'ItemName': 'Green Puniball', 'TraitName1': 'Puni'}	{'LevelMin': 1, 'LevelMax': 5, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 502860880, 'ItemName': 'Tall Taun', 'GradeMin': 1, 'GradeMax': 8}		{'LevelMin': 1, 'LevelMax': 5, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1864267219, 'ItemName': 'Forest Sage', 'GradeMin': 1, 'GradeMax': 8}		{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1981762750, 'ItemName': 'Altus - Verdant Jade'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1774877220, 'ItemName': 'Altus - Jade Crimson'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1465302760, 'ItemName': 'Altus - Jade Azure'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 1065912040, 'ItemName': 'Altus - Jade Glow'}	{'LevelMin': 8, 'LevelMax': 8, 'TraitId1': 0, 'TraitId2': 0, 'ItemId': 84482193, 'ItemName': 'Altus - Jade Amethyst'}	緑ぷに	绿噗尼	綠噗尼	초록 푸니	"{'flavor1': {'text_ENG': ""It's a Green Puni."", 'text_JPN': '「緑色のぷにだな」', 'text_CHT': '「是綠色的噗尼。」', 'text_CHS': '“是绿色的噗尼。”', 'text_KOR': '「초록색 푸니군」'}, 'char1': 'Slade', 'flavor2': {'text_ENG': 'They say the color green is gentle on the eyes.', 'text_JPN': '「緑は目に優しい色なんだって」', 'text_CHT': '「聽說多看綠色可以保護眼睛。」', 'text_CHS': '“听说多看绿色能让眼睛变得舒服。”', 'text_KOR': '「초록색은 눈에 좋은 색이래」'}, 'char2': 'Rias', 'flavor3': {'text_ENG': 'This little fella sure is a comforting sight for eyes worn out from tons of paperwork ...', 'text_JPN': '「こいつを見ていると\n\u3000書類仕事で疲れた目が安らぐな……」', 'text_CHT': '「所以盯著牠，\n\u3000就能舒緩辦公導致的眼睛疲勞……」', 'text_CHS': '“所以盯着它，\n\u3000就能缓解办公导致的眼睛疲劳……”', 'text_KOR': '「이 녀석을 보고 있으면 서류 작업으로\n 피로해진 눈이 편안해져…」'}, 'char3': 'Randolf'}"	1392855600
