GiftTraitTableId	Numbers1	TraitName0	TraitName1	TraitName2	TraitName3	TraitName4	TraitName5	TraitName6	TraitName7	TraitName8	TraitName9	Numbers2	TraitIds
0	[0, 0]											[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
233091205	[1, 8]											[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1796349633	[1, 10]											[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
471150167	[1, 12]											[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2106475532	[1, 17]											[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
176780446	[1, 20]											[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1820318424	[1, 25]											[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
460909134	[1, 32]											[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1949829153	[1, 37]											[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
54474935	[1, 42]											[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1677242708	[1, 53]											[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
352289222	[1, 60]											[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
721348539	[0, 0]	Item Level Boost	Cheap	Expensive	HP Charge	ATK Charge	DEF Charge	SPD Charge	ATK-SPD Charge	Skill Power +10%	All Stats Charge	[20, 20, 20, 10, 10, 10, 10, 5, 5, 1]	[692131312, 1090454473, 1117174350, 1611808916, 490246425, 501258683, 20610017, 1486328248, 1140267522, 47750854]
