text_ENG	ItemName	Price	Limited	UnlockFlagId	TraitName1	LevelMin	LevelMax	GradeMin	GradeMax	ItemId	TraitId1	text_JPN	text_CHS	text_CHT	text_KOR
		0	0	0		0	0				0				
	Clean Water	1000	1	0		0	0			219097578	0				
	Black Water	1000	0	0		0	0			216224640	0				
	Crackling Water	2000	0	464213875		0	0			676625675	0				
	Groundwater	2000	0	464213875		0	0			106063423	0				
Heiter	Neutralizer Set	400	1	560626790		0	0			243916906	0	ハイター	海塔	海塔	하이터
Heiter	The Weekly Gatherer, Vol. 1	500	1	0		0	0			60088480	0	ハイター	海塔	海塔	하이터
Heiter	Weapon Creation Guide	1800	1	560626790		0	0			46662426	0	ハイター	海塔	海塔	하이터
Heiter	Intro to Bombs, Vol. 2	2000	1	560626790		0	0			308641396	0	ハイター	海塔	海塔	하이터
Heiter	Intro to Alchemy, Vol. 2	500	1	560626790		0	0			83436729	0	ハイター	海塔	海塔	하이터
Heiter	First Step to Becoming a Master Tailor	10000	1	865293978		0	0			961031601	0	ハイター	海塔	海塔	하이터
Heiter	Synthesis Reference: Secret Remedy	2000	1	345077376		0	0			404077217	0	ハイター	海塔	海塔	하이터
Heiter	Safe-Travels Charm Set	5000	1	979852806		0	0			2128811237	0	ハイター	海塔	海塔	하이터
Heiter	Synthesis Treatise: Introduction	2000	1	65692355		0	0			165946483	0	ハイター	海塔	海塔	하이터
Heiter	Synthesis Treatise: Advanced	5000	1	756828741		0	0			1722074654	0	ハイター	海塔	海塔	하이터
Heiter	Adventure Prep for Alchemists	20000	1	224033388		0	0			295958156	0	ハイター	海塔	海塔	하이터
Heiter	Convenient Goods Catalog	20000	1	224033388		0	0			1129455085	0	ハイター	海塔	海塔	하이터
Heiter	Armor Creation Guide: Advanced	20000	1	438398505		0	0			877997435	0	ハイター	海塔	海塔	하이터
Heiter	Synthesis Treatise: Challenge Edition	20000	1	1497412430		0	0			1386447679	0	ハイター	海塔	海塔	하이터
Heiter	Clean Water	30	0	0		1	5	1	8	219097578	0	ハイター	海塔	海塔	하이터
Heiter	Crackling Water	60	0	0		1	5	1	8	676625675	0	ハイター	海塔	海塔	하이터
Heiter	Broken Rock	40	0	0		1	5	1	8	339858290	0	ハイター	海塔	海塔	하이터
Heiter	Sparkling Sand	100	0	2032356921		10	24	1	12	1979772462	0	ハイター	海塔	海塔	하이터
Heiter	Seele Pilós	120	0	2032356921	Life Awakening	10	24			281089758	2131869738	ハイター	海塔	海塔	하이터
Heiter	Rotwood Miasma	150	0	888958423		14	29	1	17	661694671	0	ハイター	海塔	海塔	하이터
Heiter	Esplante	100	0	888958423		14	29	1	17	1244005587	0	ハイター	海塔	海塔	하이터
Heiter	Ethereal Stone	80	0	888958423		14	29	1	17	1192353482	0	ハイター	海塔	海塔	하이터
Heiter	Fresh Meat	200	0	161236071		20	34	1	20	1497826300	0	ハイター	海塔	海塔	하이터
Heiter	Red Puniball	200	0	161236071		20	34	1	20	675238874	0	ハイター	海塔	海塔	하이터
Heiter	Devil's Soul	500	0	161236071	Free Spirit	20	34			1736712702	852114861	ハイター	海塔	海塔	하이터
Heiter	Fortima Ore	500	0	1312571063		23	39	1	25	1326849943	0	ハイター	海塔	海塔	하이터
Heiter	Giant Bird Feather	1500	0	1935415047	Wing Edge	27	43			312039597	1171066171	ハイター	海塔	海塔	하이터
Heiter	Coralia	1500	0	865293978	Silky	27	43			102239912	16539439	ハイター	海塔	海塔	하이터
Heiter	Monster Poison Organ	2000	0	865293978		27	43	1	42	765271129	0	ハイター	海塔	海塔	하이터
Heiter	Red Sand	30	0	893462897		3	15	1	10	844027819	0	ハイター	海塔	海塔	하이터
Heiter	Medicinal Moss	30	0	1111890407		3	15	1	10	2081308022	0	ハイター	海塔	海塔	하이터
Heiter	Bat Wing	40	0	755432328		3	15	1	10	389005139	0	ハイター	海塔	海塔	하이터
Heiter	Balloon Fruit	60	0	1510066974		3	15	1	10	665091287	0	ハイター	海塔	海塔	하이터
Heiter	Silver Web	40	0	149954681		3	15	1	10	1901592439	0	ハイター	海塔	海塔	하이터
Bluefin Freight	Armor Creation Guide	1800	1	0		0	0			658430185	0	ブルーフィン通運	蓝鳍运输	藍鰭鼬通運	블루핀 통운
Bluefin Freight	Memento Set	6500	1	945564091		0	0			192827187	0	ブルーフィン通運	蓝鳍运输	藍鰭鼬通運	블루핀 통운
Bluefin Freight	Set of Household Belongings	7000	1	784364400		0	0			2088337317	0	ブルーフィン通運	蓝鳍运输	藍鰭鼬通運	블루핀 통운
Bluefin Freight	Frost Uni	60	0	699250537		3	15	1	10	962577040	0	ブルーフィン通運	蓝鳍运输	藍鰭鼬通運	블루핀 통운
Bluefin Freight	Animal Hide	30	0	699250537		3	15	1	10	789742580	0	ブルーフィン通運	蓝鳍运输	藍鰭鼬通運	블루핀 통운
Bluefin Freight	Magic Tome Page	60	0	699250537		3	15	1	10	427835170	0	ブルーフィン通運	蓝鳍运输	藍鰭鼬通運	블루핀 통운
Bluefin Freight	Sturdy Claws	150	0	945564091		14	29	1	17	1486125131	0	ブルーフィン通運	蓝鳍运输	藍鰭鼬通運	블루핀 통운
Bluefin Freight	Regicite	150	0	945564091		14	29	1	17	1877818421	0	ブルーフィン通運	蓝鳍运输	藍鰭鼬通運	블루핀 통운
Bluefin Freight	Steam Uni	300	0	784364400		23	39	1	25	1522739099	0	ブルーフィン通運	蓝鳍运输	藍鰭鼬通運	블루핀 통운
Bluefin Freight	Tíkometal	400	0	784364400		23	39	1	25	1340797831	0	ブルーフィン通運	蓝鳍运输	藍鰭鼬通運	블루핀 통운
Bluefin Freight	Forbidden Grimoire	500	0	1349586893		30	48	1	37	1991884338	0	ブルーフィン通運	蓝鳍运输	藍鰭鼬通運	블루핀 통운
Bluefin Freight	Mysterious Metal Shard	500	0	1349586893		30	48	1	37	612791486	0	ブルーフィン通運	蓝鳍运输	藍鰭鼬通運	블루핀 통운
Bluefin Freight	Inverted Scale	3000	0	662060891	Latent Awakening	40	60			1978014181	591111039	ブルーフィン通運	蓝鳍运输	藍鰭鼬通運	블루핀 통운
Bluefin Freight	Everlasting Saft	3000	0	662060891	Mystic Shimmer	40	60			1889313019	273752645	ブルーフィン通運	蓝鳍运输	藍鰭鼬通運	블루핀 통운
Bluefin Freight	Altus - Crimson Azure	5000	0	1202828990		8	8			1604245495	0	ブルーフィン通運	蓝鳍运输	藍鰭鼬通運	블루핀 통운
Bluefin Freight	Altus - Crimson Jade	5000	0	1202828990		8	8			81819358	0	ブルーフィン通運	蓝鳍运输	藍鰭鼬通運	블루핀 통운
Bluefin Freight	Altus - Crimson Glow	5000	0	1202828990		8	8			960734910	0	ブルーフィン通運	蓝鳍运输	藍鰭鼬通運	블루핀 통운
Bluefin Freight	Altus - Crimson Amethyst	5000	0	1202828990		8	8			63060165	0	ブルーフィン通運	蓝鳍运输	藍鰭鼬通運	블루핀 통운
Bluefin Freight	Iris Stone - Medicine	10000	0	817268264		8	8			1157042664	0	ブルーフィン通運	蓝鳍运输	藍鰭鼬通運	블루핀 통운
Bluefin Freight	Iris Stone - Poison	10000	0	817268264		8	8			990171645	0	ブルーフィン通運	蓝鳍运输	藍鰭鼬通運	블루핀 통운
Bluefin Freight	Iris Stone - Elixir	10000	0	817268264		8	8			1682042544	0	ブルーフィン通運	蓝鳍运输	藍鰭鼬通運	블루핀 통운
Bluefin Freight	Iris Stone - Sand	10000	0	817268264		8	8			1783820869	0	ブルーフィン通運	蓝鳍运输	藍鰭鼬通運	블루핀 통운
Bluefin Freight	Jelly Gems	150	0	2146898159		10	24	1	12	123425903	0	ブルーフィン通運	蓝鳍运输	藍鰭鼬通運	블루핀 통운
Bluefin Freight	Flaming Black Sand	300	0	510425780		14	29	1	17	610492753	0	ブルーフィン通運	蓝鳍运输	藍鰭鼬通運	블루핀 통운
Bluefin Freight	Ash Ball	200	0	1726751150		20	34	1	20	626577908	0	ブルーフィン通運	蓝鳍运输	藍鰭鼬通運	블루핀 통운
Bluefin Freight	Giant Bird Egg	500	0	125258739		23	39	1	25	1099367838	0	ブルーフィン通運	蓝鳍运输	藍鰭鼬通運	블루핀 통운
Bluefin Freight	Jewelgrass Seeds	1000	0	512475807		27	43	1	32	2060757980	0	ブルーフィン通運	蓝鳍运输	藍鰭鼬通運	블루핀 통운
Bluefin Freight	Benevolent Twisted Tree	800	0	2131798210		30	48	1	37	1443459007	0	ブルーフィン通運	蓝鳍运输	藍鰭鼬通運	블루핀 통운
Bluefin Freight	Émeraude Water	1500	0	126940128		34	52	1	42	1156776610	0	ブルーフィン通運	蓝鳍运输	藍鰭鼬通運	블루핀 통운
Bluefin Freight	Delicious Milk	100	0	1101623948		30	48	1	37	892774773	0	ブルーフィン通運	蓝鳍运输	藍鰭鼬通運	블루핀 통운
Hallfein Crafts	Intro to Alchemy, Vol. 1	400	1	0		0	0			1645185789	0	ハルフェン工芸店	赫尔芬工艺品店	赫爾芬工藝店	할펜 공예점
Hallfein Crafts	D.I.Y. for Pros, an Anthology	5000	1	1088189095		0	0			2064956350	0	ハルフェン工芸店	赫尔芬工艺品店	赫爾芬工藝店	할펜 공예점
Hallfein Crafts	Medicine Set	6000	1	1361964149		0	0			1793402222	0	ハルフェン工芸店	赫尔芬工艺品店	赫爾芬工藝店	할펜 공예점
Hallfein Crafts	D.I.Y. for Pros, an Anthology+	7500	1	1361964149		0	0			445632993	0	ハルフェン工芸店	赫尔芬工艺品店	赫爾芬工藝店	할펜 공예점
Hallfein Crafts	Fluffy Wool	100	0	1447045230		3	15	1	10	568788969	0	ハルフェン工芸店	赫尔芬工艺品店	赫爾芬工藝店	할펜 공예점
Hallfein Crafts	Gunpowder Base	60	0	1447045230		3	15	1	10	643238484	0	ハルフェン工芸店	赫尔芬工艺品店	赫爾芬工藝店	할펜 공예점
Hallfein Crafts	Beast Meat	50	0	1447045230		3	15	1	10	1912684169	0	ハルフェン工芸店	赫尔芬工艺品店	赫爾芬工藝店	할펜 공예점
Hallfein Crafts	Poison Cube	100	0	1088189095		14	29	1	17	335903222	0	ハルフェン工芸店	赫尔芬工艺品店	赫爾芬工藝店	할펜 공예점
Hallfein Crafts	Orange Glass	150	0	1088189095		14	29	1	17	305037626	0	ハルフェン工芸店	赫尔芬工艺品店	赫爾芬工藝店	할펜 공예점
Hallfein Crafts	Mana Gem	300	0	1361964149		23	39	1	25	536848308	0	ハルフェン工芸店	赫尔芬工艺品店	赫爾芬工藝店	할펜 공예점
Hallfein Crafts	Fine Pelt	400	0	1361964149		23	39	1	25	2062748672	0	ハルフェン工芸店	赫尔芬工艺品店	赫爾芬工藝店	할펜 공예점
Hallfein Crafts	Mist Liquid	500	0	1047334426		30	48	1	37	1402637106	0	ハルフェン工芸店	赫尔芬工艺品店	赫爾芬工藝店	할펜 공예점
Hallfein Crafts	Beast Shell	2000	0	1047334426		30	48	1	37	1860622521	0	ハルフェン工芸店	赫尔芬工艺品店	赫爾芬工藝店	할펜 공예점
Hallfein Crafts	Honey Ball	3000	0	1822221693		40	60	1	53	264631283	0	ハルフェン工芸店	赫尔芬工艺品店	赫爾芬工藝店	할펜 공예점
Hallfein Crafts	Bronekeleton	3000	0	1822221693		40	60	1	53	2140231406	0	ハルフェン工芸店	赫尔芬工艺品店	赫爾芬工藝店	할펜 공예점
Hallfein Crafts	Altus - Azure Crimson	5000	0	463197675		8	8			580264211	0	ハルフェン工芸店	赫尔芬工艺品店	赫爾芬工藝店	할펜 공예점
Hallfein Crafts	Altus - Azure Jade	5000	0	463197675		8	8			1291552816	0	ハルフェン工芸店	赫尔芬工艺品店	赫爾芬工藝店	할펜 공예점
Hallfein Crafts	Altus - Azure Glow	5000	0	463197675		8	8			565416004	0	ハルフェン工芸店	赫尔芬工艺品店	赫爾芬工藝店	할펜 공예점
Hallfein Crafts	Altus - Azure Amethyst	5000	0	463197675		8	8			456265277	0	ハルフェン工芸店	赫尔芬工艺品店	赫爾芬工藝店	할펜 공예점
Hallfein Crafts	Iris Stone - Gunpowder	10000	0	2104327087		8	8			2084958305	0	ハルフェン工芸店	赫尔芬工艺品店	赫爾芬工藝店	할펜 공예점
Hallfein Crafts	Iris Stone - Fuel	10000	0	2104327087		8	8			74117187	0	ハルフェン工芸店	赫尔芬工艺品店	赫爾芬工藝店	할펜 공예점
Hallfein Crafts	Iris Stone - Edible	10000	0	2104327087		8	8			1209445168	0	ハルフェン工芸店	赫尔芬工艺品店	赫爾芬工藝店	할펜 공예점
Hallfein Crafts	Iris Stone - Cloth	10000	0	2104327087		8	8			1968436987	0	ハルフェン工芸店	赫尔芬工艺品店	赫爾芬工藝店	할펜 공예점
