Index	text_ENG	text_JPN	text_CHT	text_CHS	text_KOR
-4294967296					
0	Hallfein	ハルフェン	赫爾芬	赫尔芬	할펜
1	Mistletoe Miscellaneous	ヤドリギ堂	槲寄生雜貨鋪	宿木杂货铺	겨우살이당
2	Star Landing	星の踊り場	繁星舞場	繁星舞场	별들의 쉼터
3	Forgotten Ruins	忘れられた遺跡	被遺忘的遺跡	被遗忘的遗迹	잊힌 유적
4	????	？？？？	？？？？	？？？？	????
5	????	？？？？	？？？？	？？？？	????
6	Atelier	アトリエ	鍊金工房	炼金工房	아틀리에
7	Val Mine	バル鉱山	巴爾礦山	巴尔矿山	바르 광산
8	Folmin Mine	フォルミ採掘場	佛爾米挖掘場	佛尔米挖掘场	포르미 채굴장
9	Baynort Road	ベイノルテ街道	貝諾魯提街道	贝诺鲁提街道	베이놀테 가도
10	Blyde Grasslands	ブライド草原	布萊德草原	布莱德草原	브라이드 초원
11	Lemna Marsh	レムナ湿地	雷姆那濕地	雷姆那湿地	렘나 습지
12	Sentinel Pass	町守りの山道	守護城鎮的山道	守护城镇的山道	마을 지킴이의 산길
13	Hill of Prayer	祈りの丘	祈禱山丘	祈祷山丘	기도의 언덕
14	Garden of Serenity	安らぎの庭園	寧靜庭園	宁静庭园	평온의 정원
15	Cape Petal	ペタルス海岸	佩塔魯斯海岸	佩塔鲁斯海岸	페타르스 해안
16	Lapis Crystal Cave	瑠璃結晶の洞窟	琉璃結晶洞窟	琉璃结晶洞窟	유리결정 동굴
17	Shooting Star Lake	流れ星の降る湖畔	流星落下的湖畔	观看流星雨的湖畔	유성이 떨어지는 호수
18	Meridie Volcano	メリディエ火山	梅莉狄耶火山	梅里迪耶火山	멜리디에 화산
19	Ancient Temple	昔日の神殿	昔日神殿	昔日神殿	옛 신전
20	Skyglow Path	紅天の道	紅天之道	红天之道	홍천의 길
21	Hall of the Fallen Dragon	堕ちし竜の間	墮龍空間	堕龙之间	타락한 용의 영역
4294967295		テストステージ			
4294967295	Hallfein	ハルフェン	赫爾芬	赫尔芬	할펜
22	Evermaze Forest	迷い路の森	迷蹤之森	迷踪森林	미로의 숲
23	Evermaze Forest	迷い路の森	迷蹤之森	迷踪森林	미로의 숲
24	Evermaze Forest	迷い路の森	迷蹤之森	迷踪森林	미로의 숲
25	Evermaze Forest	迷い路の森	迷蹤之森	迷踪森林	미로의 숲
26	Evermaze Forest	迷い路の森	迷蹤之森	迷踪森林	미로의 숲
26	Evermaze Forest	迷い路の森	迷蹤之森	迷踪森林	미로의 숲
26	Evermaze Forest	迷い路の森	迷蹤之森	迷踪森林	미로의 숲
27	Dripcrystal Cave	滴る結晶洞	水滴結晶洞	水滴结晶洞	투명한 결정 동굴
28	Dripcrystal Cave	滴る結晶洞	水滴結晶洞	水滴结晶洞	투명한 결정 동굴
29	Dripcrystal Cave	滴る結晶洞	水滴結晶洞	水滴结晶洞	투명한 결정 동굴
30	Dripcrystal Cave	滴る結晶洞	水滴結晶洞	水滴结晶洞	투명한 결정 동굴
30	Dripcrystal Cave	滴る結晶洞	水滴結晶洞	水滴结晶洞	투명한 결정 동굴
30	Dripcrystal Cave	滴る結晶洞	水滴結晶洞	水滴结晶洞	투명한 결정 동굴
31	Mt. Bone-Eater	骨喰山	食骨山	食骨山	뼈를 먹는 산
32	Mt. Bone-Eater	骨喰山	食骨山	食骨山	뼈를 먹는 산
33	Mt. Bone-Eater	骨喰山	食骨山	食骨山	뼈를 먹는 산
34	Mt. Bone-Eater	骨喰山	食骨山	食骨山	뼈를 먹는 산
34	Mt. Bone-Eater	骨喰山	食骨山	食骨山	뼈를 먹는 산
34	Mt. Bone-Eater	骨喰山	食骨山	食骨山	뼈를 먹는 산
35	Loiky Lava Cave	ロイキー溶岩洞	洛伊基熔岩洞	洛伊基熔岩洞	로이키 용암굴
36	Loiky Lava Cave	ロイキー溶岩洞	洛伊基熔岩洞	洛伊基熔岩洞	로이키 용암굴
37	Loiky Lava Cave	ロイキー溶岩洞	洛伊基熔岩洞	洛伊基熔岩洞	로이키 용암굴
38	Loiky Lava Cave	ロイキー溶岩洞	洛伊基熔岩洞	洛伊基熔岩洞	로이키 용암굴
38	Loiky Lava Cave	ロイキー溶岩洞	洛伊基熔岩洞	洛伊基熔岩洞	로이키 용암굴
38	Loiky Lava Cave	ロイキー溶岩洞	洛伊基熔岩洞	洛伊基熔岩洞	로이키 용암굴
39	Darklit Tundra	闇映す氷原	映闇冰原	映暗冰原	어둠을 비추는 빙원
40	Darklit Tundra	闇映す氷原	映闇冰原	映暗冰原	어둠을 비추는 빙원
41	Darklit Tundra	闇映す氷原	映闇冰原	映暗冰原	어둠을 비추는 빙원
42	Darklit Tundra	闇映す氷原	映闇冰原	映暗冰原	어둠을 비추는 빙원
42	Darklit Tundra	闇映す氷原	映闇冰原	映暗冰原	어둠을 비추는 빙원
42	Darklit Tundra	闇映す氷原	映闇冰原	映暗冰原	어둠을 비추는 빙원
43	Ancient Capital Corridors	古代都市廻廊	古代都市迴廊	古代都市回廊	고대 도시 회랑
44	Ancient Capital Corridors	古代都市廻廊	古代都市迴廊	古代都市回廊	고대 도시 회랑
45	Ancient Capital Corridors	古代都市廻廊	古代都市迴廊	古代都市回廊	고대 도시 회랑
-1	Evermaze Forest	迷い路の森	迷蹤之森	迷踪森林	미로의 숲
-2	Dripcrystal Cave	滴る結晶洞	水滴結晶洞	水滴结晶洞	투명한 결정 동굴
-3	Mt. Bone-Eater	骨喰山	食骨山	食骨山	뼈를 먹는 산
-4	Loiky Lava Cave	ロイキー溶岩洞	洛伊基熔岩洞	洛伊基熔岩洞	로이키 용암굴
-5	Darklit Tundra	闇映す氷原	映闇冰原	映暗冰原	어둠을 비추는 빙원
-6	Ancient Capital Corridors	古代都市廻廊	古代都市迴廊	古代都市回廊	고대 도시 회랑
-7	Evermaze Forest: Peculiar	迷い路の森 特異	迷蹤之森 特異	迷踪森林 特异	미로의 숲ㆍ특이
-8	Dripcrystal Cave: Peculiar	滴る結晶洞 特異	水滴結晶洞 特異	水滴结晶洞 特异	투명한 결정 동굴ㆍ특이
-9	Mt. Bone-Eater: Peculiar	骨喰山 特異	食骨山 特異	食骨山 特异	뼈를 먹는 산ㆍ특이
-10	Loiky Lava Cave: Peculiar	ロイキー溶岩洞 特異	洛伊基熔岩洞 特異	洛伊基熔岩洞 特异	로이키 용암굴ㆍ특이
