CategoryId	text_ENG	text_JPN	text_CHT	text_CHS	text_KOR
0					
208131690	(Water)	（水）	（水）	（水）	(물)
1549258690	(Plants)	（植物）	（植物）	（植物）	(식물)
187912458	(Uni)	（うに）	（海膽）	（海胆）	(성게)
1462699612	(Flowers)	（花）	（花）	（花）	(꽃)
1581005830	(Medicinal)	（薬の材料）	（藥材）	（药材）	(약재료)
160227023	(Poisons)	（毒の材料）	（有毒材料）	（有毒材料）	(독재료)
1456071044	(Elixirs)	（エリキシル）	（萬靈藥）	（万灵药）	(엘릭시르)
1762689115	(Sand)	（砂）	（砂）	（砂）	(모래)
294336614	(Stone)	（石材）	（石材）	（石材）	(석재)
180132134	(Ore)	（鉱石）	（礦石）	（矿石）	(광석)
355541018	(Gemstones)	（原石）	（原石）	（原石）	(원석)
1442326762	(Gunpowder)	（火薬）	（火藥）	（火药）	(화약)
120095325	(Fuel)	（燃料）	（燃料）	（燃料）	(연료)
926299769	(Metal)	（金属）	（金屬）	（金属）	(금속)
176079333	(Edibles)	（食材）	（食材）	（食材）	(식재)
562087079	(Mushrooms)	（きのこ）	（菌菇）	（菌菇）	(버섯)
1465847847	(Fruit)	（木の実）	（樹木果實）	（树木果实）	(나무열매)
553765173	(Beehives)	（ハチの巣）	（蜂巢）	（蜂巢）	(벌집)
1992219949	(Marine)	（魚介類）	（魚貝類）	（鱼贝类）	(어패류)
1726839395	(Bugs)	（虫）	（蟲）	（虫）	(곤충)
1042773243	(Threads)	（糸素材）	（線材）	（线材）	(실소재)
168359097	(Lumber)	（木材）	（木材）	（木材）	(목재)
1852556195	(Gases)	（気体）	（氣體）	（气体）	(기체)
281126485	(Magical)	（神秘の力）	（神祕之力）	（神秘之力）	(신비의힘)
505887779	(Puni)	（ぷにぷに）	（噗尼噗尼）	（噗尼噗尼）	(푸니푸니)
1705778023	(Animal Mat.)	（動物素材）	（動物素材）	（动物素材）	(동물소재)
685707726	(Dragon Mat.)	（竜素材）	（龍素材）	（龙素材）	(용소재)
479335858	(Neutralizers)	（中和剤）	（中和劑）	（中和剂）	(중화제)
912568993	(Misc.)	（雑貨）	（雜貨）	（杂货）	(잡화)
55819935	(Spices)	（調味料）	（調味料）	（调味料）	(조미료)
2043101367	(Ingots)	（インゴット）	（金屬塊）	（金属块）	(잉곳)
710563570	(Cloth)	（クロース）	（布料）	（布料）	(클로스)
1231383389	(Bombs)	（爆弾）	（炸彈）	（炸弹）	(폭탄)
1643792703	(Medicine)	（薬品）	（藥品）	（药品）	(약품)
491928509	(Food)	（食品）	（食品）	（食品）	(식품)
1837033487	(Magic Tools)	（魔法の道具）	（魔法道具）	（魔法道具）	(마법의도구)
1714724768	(Weapons)	（武器）	（武器）	（武器）	(무기)
1215511628	(Armor)	（防具）	（防具）	（防具）	(방어구)
445432845	(Accessories)	（装飾品）	（裝飾品）	（装饰品）	(장식품)
267895866	(Starpearls)	（星珠）	（星珠）	（星珠）	(성주)
1972739584	(Catalyst Ingredients)	（活性素材）	（活性素材）	（活性素材）	(활성소재)
554473563	(Exploration Gear)	（探索道具）	（探索道具）	（探索道具）	(탐색도구)
1906101489	(Key Items)	（重要）	（重要）	（重要）	(중요)
