Index	Area	EnemyName1	EnemyName2	EnemyName3	EnemyName4	EnemyName5	Floors
4294967295		Comet Emperor					
16	Lapis Crystal Cave	Comet Emperor					
16	Lapis Crystal Cave	Calamity Crystal Beast					
16	Lapis Crystal Cave	Cosmic Shell					
16	Lapis Crystal Cave	Flower Gardener	Stone Golem				
16	Lapis Crystal Cave	Flower Gardener	Meteorite Doll				
16	Lapis Crystal Cave	Man o' War	Stone Golem				
16	Lapis Crystal Cave	Man o' War	Stone Golem	Stone Golem			
16	Lapis Crystal Cave	Meteorite Doll	Stone Golem	Stone Golem			
16	Lapis Crystal Cave	Carrier	Stone Golem	Meteorite Doll			
16	Lapis Crystal Cave	Carrier	Meteorite Doll	Meteorite Doll			
16	Lapis Crystal Cave	Meteorite Doll	Flower Gardener				
16	Lapis Crystal Cave	Carrier	Carrier				
16	Lapis Crystal Cave	Meteorite Doll	Black Shell				
16	Lapis Crystal Cave	Carrier	Meteorite Doll	Meteorite Doll			
16	Lapis Crystal Cave	Man o' War	Black Shell				
16	Lapis Crystal Cave	Tricker	Stone Golem				
16	Lapis Crystal Cave	Stone Golem	Meteorite Doll	Tricker			
16	Lapis Crystal Cave	Scare Phantom	Stone Golem				
16	Lapis Crystal Cave	Stone Golem	Scare Phantom	Stone Golem			
16	Lapis Crystal Cave	Stone Golem	Meteorite Doll	Stone Golem			
16	Lapis Crystal Cave	Carrier	Stone Golem	Meteorite Doll			
16	Lapis Crystal Cave	Carrier	Tricker	Meteorite Doll			
16	Lapis Crystal Cave	Meteorite Doll	Tricker				
16	Lapis Crystal Cave	Carrier	Carrier				
16	Lapis Crystal Cave	Meteorite Doll	Funny Face				
16	Lapis Crystal Cave	Carrier	Meteorite Doll	Meteorite Doll			
16	Lapis Crystal Cave	Scare Phantom	Funny Face				
9	Baynort Road	Jagd Wolf	Jagd Wolf				
9	Baynort Road	Jagd Wolf	Chaos Blossom				
9	Baynort Road	Hide Stalker	Red Puni	Red Puni			
9	Baynort Road	Hide Stalker	Massive Beak				
9	Baynort Road	Massive Beak	Massive Beak				
9	Baynort Road	Dreamcatcher	Dreamcatcher				
9	Baynort Road	Jagd Wolf	Dreamcatcher	Dreamcatcher			
9	Baynort Road	Red Puni	Red Puni				
9	Baynort Road	Chaos Blossom	Dreamcatcher				
9	Baynort Road	Hide Stalker	Dreamcatcher				
9	Baynort Road	Jagd Wolf	Jagd Wolf				
9	Baynort Road	Jagd Wolf	Scare Phantom				
9	Baynort Road	Funny Face	Red Puni	Red Puni			
9	Baynort Road	Funny Face	Red Puni	Massive Beak			
9	Baynort Road	Massive Beak	Massive Beak				
9	Baynort Road	Immortal Knight	Immortal Knight				
9	Baynort Road	Jagd Wolf	Immortal Knight	Immortal Knight			
9	Baynort Road	Red Puni	Red Puni				
9	Baynort Road	Scare Phantom	Immortal Knight				
9	Baynort Road	Funny Face	Immortal Knight				
9	Baynort Road	Colossal Night Bird					
9	Baynort Road	Huge Wolf					
9	Baynort Road	Mega Wyvern					
10	Blyde Grasslands	Funny Face	Funny Face	Funny Face			
9	Baynort Road	Dreamcatcher	Dreamcatcher	Dreamcatcher			
3	Forgotten Ruins	Puni	Green Puni				
3	Forgotten Ruins	Puni	Green Puni				
3	Forgotten Ruins	Flower Pixie	Lickshroom				
3	Forgotten Ruins	Flower Pixie	Lickshroom				
3	Forgotten Ruins	Giant Weasel	Giant Weasel				
3	Forgotten Ruins	Giant Weasel	Giant Weasel				
3	Forgotten Ruins	Purple Puppet	Purple Puppet				
3	Forgotten Ruins	Purple Puppet	Purple Puppet				
3	Forgotten Ruins	Purple Puppet	Purple Puppet				
3	Forgotten Ruins	Puni	Green Puni				
3	Forgotten Ruins	Puni	Green Puni				
3	Forgotten Ruins	Ghost	Lickshroom				
3	Forgotten Ruins	Ghost	Lickshroom				
3	Forgotten Ruins	Haunt	Haunt				
3	Forgotten Ruins	Haunt	Haunt				
3	Forgotten Ruins	Fanged Bat	Fanged Bat				
3	Forgotten Ruins	Fanged Bat	Fanged Bat				
3	Forgotten Ruins	Fanged Bat	Fanged Bat				
3	Forgotten Ruins	Lunaria Angel					
3	Forgotten Ruins	Diamond Golem					
36	Loiky Lava Cave	Despair Beast					
24	Evermaze Forest	Wood Golem					
25	Evermaze Forest	Overwhelming Bird					
23	Evermaze Forest	Giant Puni					
28	Dripcrystal Cave	Heavy Warrior Armor					
29	Dripcrystal Cave	Cluster Beetle					
27	Dripcrystal Cave	Mirage Lizard					
32	Mt. Bone-Eater	Griffon					
33	Mt. Bone-Eater	Savage Assassin					
31	Mt. Bone-Eater	King of Storms					
36	Loiky Lava Cave	Despair Beast					
37	Loiky Lava Cave	Abyssal Tyrant					
35	Loiky Lava Cave	Venomous Threat					
40	Darklit Tundra	Ancient Phantom					
41	Darklit Tundra	Wandering Woe					
39	Darklit Tundra	Elegant Spirit Beast					
44	Ancient Capital Corridors	Mirage Lizard					
26	Evermaze Forest	Wood Golem					
26	Evermaze Forest	Overwhelming Bird					
26	Evermaze Forest	Giant Puni					
30	Dripcrystal Cave	Heavy Warrior Armor					
30	Dripcrystal Cave	Calamity Crystal Beast					
30	Dripcrystal Cave	Mirage Lizard					
