ReinforceTalentId	text_ENG	TraitName	Color1	Color2	text_JPN	text_CHS	text_CHT	text_KOR	TraitId
0									0
1573398086	Rias	Rather Devastating	Yellow	Purple	リアス	莉雅丝	莉雅絲	리아스	1027793817
993953792	Rias	Uses +2	Red	Yellow	リアス	莉雅丝	莉雅絲	리아스	1358320909
1278851222	Rias	Pure Determination	Purple	Blue	リアス	莉雅丝	莉雅絲	리아스	1356967735
1848364681	Slade	Steel Protection	Green	Yellow	スレイ	史雷	史雷	슬레이	1837788470
148725965	Slade	Ruthless Strike	Blue	Green	スレイ	史雷	史雷	슬레이	1976663975
2145013851	Slade	Guardian's Pride	Yellow	Red	スレイ	史雷	史雷	슬레이	907477363
990306745	Raze	Critical Finish	Red	Blue	ロゼ	罗杰	羅傑	로제	1334683080
1576030205	Raze	Beastly Power	Yellow	Green	ロゼ	罗杰	羅傑	로제	1834116502
720863083	Raze	Ruler of Shadow and Light	Blue	Purple	ロゼ	罗杰	羅傑	로제	830129514
1048278642	Wilbell	Skill Power +15%	Purple	Yellow	ウィルベル	薇尔贝儿	薇爾貝兒	윌벨	1376158930
1485690932	Wilbell	Speed of Skanda	Blue	Red	ウィルベル	薇尔贝儿	薇爾貝兒	윌벨	1901105008
797632674	Wilbell	Seeker of Magic	Red	Purple	ウィルベル	薇尔贝儿	薇爾貝兒	윌벨	1468820272
474555735	Totori	Ample Healing	Purple	Green	トトリ	托托莉	托托莉	토토리	514130418
2059373331	Totori	Overflowing Life	Green	Red	トトリ	托托莉	托托莉	토토리	1736410251
230210437	Totori	The Power of Love	Yellow	Blue	トトリ	托托莉	托托莉	토토리	546003898
328798467	Sophie	Eco Skill Use	Blue	Yellow	ソフィー	苏菲	蘇菲	소피	975938214
1970257735	Sophie	Skillful Technique	Green	Purple	ソフィー	苏菲	蘇菲	소피	1437893360
40406993	Sophie	Dreamt Up Secret Art	Red	Green	ソフィー	苏菲	蘇菲	소피	1091580389
158686941	Ruku	Item Level Boost	Green	Blue	ルクル	鲁库鲁	魯庫魯	루클	692131312
1941245373	Poku	Strong Blessing	Blue	Yellow	ポック	波克	波克	포크	1261386590
50989027	Bonbon	Recovery Up +	Yellow	Green	ボネボネ	波尼波尼	波尼波尼	보네보네	137976635
1727571261	Cologne	Item Level Boost++	Yellow	Purple	コロン	可隆	可隆	코론	951094076
920441	Bell	Well-Made	Red	Yellow	ベル	贝儿	貝爾	벨	1496047969
1997093871	Malmo	Mass-Produced	Purple	Blue	マルモ	马尔默	馬爾默	마루모	1200801744
378687922	Kololo	Rare Item	Green	Yellow	コロロ	克罗罗	克羅羅	코로로	1174109783
1637179684	Imoule	Boost Drops on Defeat	Blue	Green	イムル	伊姆鲁	伊姆魯	임루	601334543
123981666	Kitz	Destruction Up +	Yellow	Red	キッツ	基兹	基茲	키츠	736016722
1885667320	Knutz	Critical ++	Red	Blue	ナッツ	纳兹	納茲	나츠	773246869
522460569	Eva	Uses -2	Yellow	Green	イーヴァ	伊瓦	伊瓦	이바	761151955
1747135759	Ururu	Saving on Skills	Blue	Purple	ウルル	乌鲁鲁	烏魯魯	우루루	770382807
149202154	Ciel	Cheap +	Purple	Yellow	シィル	希尔	希爾	실	638168461
2145621116	Sumomo	Expensive +	Blue	Red	スモモ	思默默	斯莫莫	스모모	610276364
420821562	Pewta	Fairy Blessing	Red	Purple	プータ	普达	普達	푸타	1182660092
1846676144	Emari	Daze Cure	Purple	Green	エマリ	艾马利	艾馬利	에마리	1266515955
260661491	Tuck	Pro Perfection	Green	Red	タック	塔克	塔克	타크	774689271
2022592613	Snoozy	Sleep Cure	Yellow	Blue	スヤスヤ	睡睡	睡睡	스야스야	1276165100
511245857	Kaboo	Boost Drops on Defeat	Blue	Yellow	カブゥー	卡普	卡普	카부	601334543
1536724109	Kururi	Inflict Paralysis	Green	Purple	クルリ	库尔里	庫爾里	쿠루리	1612405935
1030628041	Toppo	Inflict Sleep	Red	Green	トッポ	拓博	托波	토포	2030071280
1248399967	Karin	Inflict Poison	Green	Blue	カリン	卡林	卡林	카린	1378696749
737310722	Capucci	Inflict Burns	Blue	Yellow	カプチー	卡普奇	卡普奇	카푸치	1261834094
1559578772	Kroto	Inflict Blindness	Yellow	Green	クロト	科洛特	柯羅特	클로트	74946987
973334226	Chitter	Inflict Daze	Yellow	Purple	チッタ	奇塔	奇塔	치타	493660396
1292162632	Tentuku	Inflict Frostbite	Red	Yellow	テンツク	坦兹克	坦茲克	텐츠크	910293801
574895145	Keltie	Fairy Tune	Purple	Blue	ケルティ	凯尔迪	凱爾迪	켈티	1580869381
1430455487	Naluu	Physical Resistance Boost	Green	Yellow	ナルゥ	纳鲁	納魯	나루	1667416990
897879386	Chippuru	Magic Resistance Boost	Blue	Green	チップル	齐普尔	奇普爾	치플	488537224
1115930060	Tokotoko	Fire Resistance Boost	Yellow	Red	トコトコ	跳跳	跳跳	토코토코	584928012
611652490	Chiss	Ice Resistance Boost	Red	Blue	チィス	奇司	奇司	치스	495944939
1399989024	Fana	Bolt Resistance Boost	Yellow	Green	ファナ	法纳	法納	페이나	878770670
854149443	Tonto	Air Resistance Boost	Blue	Purple	トント	汤特	湯特	톤트	19349096
1173256661	Towawa	Blindness Cure	Purple	Yellow	トワワ	托瓦瓦	托瓦瓦	토와와	764137911
588830609	Charm	Poison Cure	Blue	Red	チャーム	查姆	查姆	챠무	991398782
473495133	Pino	Critical Blessing+	Red	Purple	ピノ	皮诺	皮諾	피노	931372906
2060343321	Mogu	Steward's Blessing	Purple	Green	モグ	莫古	莫谷	모그	1274491902
231303311	Poccha	Quick Blessing	Green	Red	ポッチャ	波恰	波恰	포챠	1462620580
1817314002	Chip	Attack Blessing	Yellow	Blue	チップ	奇普	奇普	칩	1090580468
458568260	Flore	Magic Blessing	Blue	Yellow	フロル	弗洛尔	弗洛爾	프롤	1134476396
2107874306	Pappulu	Fire Blessing	Green	Purple	パップル	帕普路	帕普魯	퍼플	1466047851
178564248	Nekoloko	Ice Blessing	Red	Green	ネコロコ	涅可罗克	涅可羅克	네코로코	147219863
1709461241	Deon	Air Blessing	Green	Blue	デオン	迪翁	迪翁	데온	1956145161
316898927	Potta	Bolt Blessing	Blue	Yellow	ポッタ	波塔	波特	포터	1127814103
1915025290	Bizu	Physical Resistance Blessing	Yellow	Green	ビィズ	毕兹	畢茲	비즈	2020120747
86230812	Panupanu	Magic Resistance Blessing	Yellow	Purple	パヌパヌ	帕努帕努	帕努帕努	파누파누	2062994227
1674930522	Pat	Fire Resistance Blessing	Red	Yellow	パット	帕特	帕特	퍼트	521583784
349329872	Horne	Ice Resistance Blessing	Purple	Blue	ホルン	霍伦	霍倫	호른	833491662
1967731603	Peas	Air Resistance Blessing	Green	Yellow	ピース	皮斯	皮斯	피스	1022151116
38667013	Cuddly	Lightning Armor Protection	Blue	Green	フカモフ	蓬蓬	蓬蓬	푸카모프	816055051
1689824577	Fuura	Critical Boon	Yellow	Red	フゥラ	弗拉	弗拉	훌라	555730337
559472621	Mofu	Multi Bonus	Red	Blue	モフ	毛毛	毛毛	모프	962018594
1202614697	Mee	Single Bonus	Yellow	Green	ミー	米伊	米伊	미	656525434
816398655	Uta	Tenacious Blow	Blue	Purple	ウータ	乌塔	烏特	우타	488924812
1362242402	Popolo	AP Consumption	Purple	Yellow	ポポロ	波波洛	波波洛	포포로	490271886
641014772	Maira	HP Consumption	Blue	Red	マイラ	麦拉	麥拉	마일라	271095549
1086567858	Pick	Skill Power +12%	Red	Purple	ピック	皮克	皮克	피크	620868676
935626024	Fleurir	Stun Damage+	Purple	Green	フルリル	弗鲁力路	弗魯利魯	플릴	196623431
1485072201	Pushe	Reduce AP Consumed	Green	Red	プッシュ	普修	普修	푸시	935228773
797136863	Mishmallo	Enhance Finisher +	Yellow	Blue	マシマロ	棉花糖	棉花糖	마시멜로	1666000238
1329913402	Fitz	Fairy Boon	Blue	Yellow	フィッツ	费兹	費茲	피츠	691869587
943976108	Floss	Barrage Attack: Phys	Green	Purple	フロース	弗洛斯	弗羅斯	프로스	611511263
1588936938	Bela	Barrage Attack: Magic	Red	Green	ベーラ	贝拉	貝拉	벨라	922848513
699560064	Milto	Barrage Attack: Fire	Green	Blue	ミルト	米尔特	米爾特	미르트	711596353
1210653219	Fous	Barrage Attack: Ice	Blue	Yellow	フォウス	佛斯	佛斯	포우스	38285351
1059990197	Fottie	Barrage Attack: Bolt	Yellow	Green	ホッティ	霍缇	霍堤	호티	1541445911
1507362033	Mollie	Barrage Attack: Air	Yellow	Purple	モーリィ	莫离	莫里	몰리	160459811
1820851203	Usasa	Curse Strength	Red	Yellow	ウササ	乌飒飒	烏薩薩	우사사	1601005557
175198791	Moffie	Curse Protection	Purple	Blue	モフィ	莫菲	莫菲	모피	1565032542
2104910545	Poppo	Curse Speed	Green	Yellow	ポッポ	波波	波波	포포	23315303
485296270	Kuter	Curse Phys ATK	Blue	Green	キュータ	丘塔	丘塔	큐타	1991437565
1810511900	Raito	Curse Magic ATK	Yellow	Red	ライト	莱特	萊特	라이트	1949089637
219977310	Bongo	Curse Fire ATK	Red	Blue	ボンゴ	邦戈	邦戈	봉고	940920071
2048632520	Yura	Curse Ice ATK	Yellow	Green	ユゥラ	尤拉	尤拉	유라	1064593050
358302887	Yunlin	Curse Air ATK	Blue	Purple	ユンリン	尤林	尤林	윤린	468662373
1650226225	Laura	Curse Bolt ATK	Purple	Yellow	ラウラ	劳拉	拉烏拉	라우라	2001917165
43777494	Lakira	Fairy Unity	Blue	Red	ラキラ	拉奇拉	拉奇拉	라키라	1056812770
1973210436	Maufe	Mighty Curse	Red	Purple	モーフ	莫弗	莫夫	모후	1339726756
325739270	Lafan	Magic Curse	Purple	Green	ラーハン	拉翰	拉漢	라한	1296353340
1684886416	Luna	Fire Curse	Green	Red	ルゥナ	鲁纳	魯那	루나	1885465798
100022733	Ritz	Ice Curse	Yellow	Blue	リッツ	利兹	利茲	리츠	102502849
1928399195	Junpo	Air Curse	Blue	Yellow	ユンポ	尤波	尤波	윤포	1402706342
336045855	Ricky	Bolt Curse	Green	Purple	リッキィ	利奇	利奇	리키	80725041
1374148019	Kokko	ATK-DEF Charge	Red	Green	コッコ	可可	可可	코코	1046560754
923892727	Penpen	ATK-SPD Charge	Green	Blue	ペンペン	喷喷	班班	펜펜	1486328248
1075202913	Popon	ATK-DEF Boost	Blue	Yellow	ポポン	波朋	波朋	포폰	1309395837
562897214	Miao	ATK-DEF Supercharge	Yellow	Green	ミャオ	妙欧	苗歐	먀오	687695161
1451889068	Lund	ATK-SPD Supercharge	Yellow	Purple	ルント	伦托	倫托	룬트	1203603286
813481966	Rooke	DEF-SPD Charge	Red	Yellow	ルック	路克	路克	루크	798007586
1199279992	Reish	ATK-SPD Boost	Purple	Blue	リーシュ	利修	里修	리슈	957152235
674983191	Ririku	DEF-SPD Boost	Green	Yellow	リリック	利利可	利利可	리리크	1610241455
1597791617	Letra	DEF-SPD Supercharge	Blue	Green	レトラ	雷特拉	雷德拉	레트라	817543104
1073468518	Lotto	AP Consumed -10%	Yellow	Red	ロット	洛特	洛特	로트	1205109228
1224533236	Lili-Lala	Parameters +10%	Red	Blue	リリララ	利利拉拉	利利拉拉	릴리랄라	489786459
772426422	Reggie	Proficient Link	Yellow	Green	レージ	雷吉	雷吉	레이지	195702134
1494055456	Lepla	Frostbite Cure	Blue	Purple	レプラ	雷普拉	雷普拉	레플라	1014648677
949358717	Wafu	Burns Cure	Purple	Yellow	ワーフ	瓦弗	瓦夫	워프	1519182113
1334911211	Funimuni	Paralysis Cure	Blue	Red	フニムニ	弗尼姆尼	弗尼姆尼	후니무니	719721902
694652591	Finnie	Remove All Status Eff.	Red	Purple	フィニィ	菲尼	菲尼	피니	1396354314
1969302897	Resna	Enhance Last +	Purple	Red	レスナ	蕾斯娜	蕾斯娜	레스나	344021592
328696629	Resna	Sonic Throw	Green	Blue	レスナ	蕾斯娜	蕾斯娜	레스나	2037665567
1687204771	Resna	Grant HP Recovery+	Yellow	Purple	レスナ	蕾斯娜	蕾斯娜	레스나	2045505264
