ItemId	Index	text_ENG	Category1	Category2	Category3	Category4	Color1	Color2	Color3	Color4	Color5	Color6	Color7	Color8	Color9	Color10	Color11	Color12	PossiblyBasePrice	Flag4	FlavorText
0	0																		0	0	{}
219097578	1	Clean Water	(Water)				Yellow	Purple	Red	Purple	Blue	Red	Green	Red	Yellow	Green	Purple	Red	12	1	"{'flavor1': {'text_ENG': ""*Sip* Well, it's just normal water."", 'text_JPN': '「ごくっ。まぁ普通の水だな」', 'text_CHT': '「咕嚕。嗯，就是一般的水。」', 'text_CHS': '“咕噜。嗯，就是很普通的水。”', 'text_KOR': '「꿀꺽. 뭐, 그냥 물이네」'}, 'char1': 'Slade', 'flavor2': {'text_ENG': ""It's still important! Nothing grows without water! Not people, not towns either!"", 'text_JPN': '「それが大事なんだよ！\n\u3000水が無いと木も人も、町だって育たないの」', 'text_CHT': '「這才是重點啊！\n\u3000沒有水要怎麼孕育出人、樹木跟城鎮呢？」', 'text_CHS': '“这才是重点啊！\n\u3000没有水要怎么孕育出人、树木跟城镇呢？”', 'text_KOR': '「그게 중요한 거야! 물이 없으면 나무,\n 사람, 마을 모두 성장하지 않으니까」'}, 'char2': 'Rias', 'flavor3': {'text_ENG': 'You have a point. Water is the source of all life.', 'text_JPN': '「そうだな。確かに水は命の源だ」', 'text_CHT': '「也對，水就是萬物之母。」', 'text_CHS': '“也对，水就是万物之母。”', 'text_KOR': '「그렇지. 확실히 물은 생명의 근원이야」'}, 'char3': 'Slade'}"
216224640	2	Black Water	(Water)				Purple	Blue	Red	Blue	Blue	Green	Green	Yellow	Yellow	Purple	Purple	Red	21	1	"{'flavor1': {'text_ENG': ""Ew, that water's disgusting."", 'text_JPN': '「うっ、汚い水だな」', 'text_CHT': '「嗚，好髒的水。」', 'text_CHS': '“呜，好脏的水。”', 'text_KOR': '「윽, 물이 더럽군」'}, 'char1': 'Slade', 'flavor2': {'text_ENG': ""It does have some impurities in it. But it's still a fine ingredient, though!"", 'text_JPN': '「不純物が混じってるからね。\n\u3000でもこれも立派な錬金術の素材なんだよ！」', 'text_CHT': '「畢竟裡面有很多雜質嘛，\n\u3000不過這也是很棒的鍊金術素材喔！」', 'text_CHS': '“毕竟里面有很多杂质嘛，\n\u3000可这也是正经的炼金术素材啊！”', 'text_KOR': '「불순물이 섞여 있으니까 말이야. 그래도\n 이것도 훌륭한 연금술의 소재야!」'}, 'char2': 'Rias', 'flavor3': {'text_ENG': 'Just never use it to synthesize food ...', 'text_JPN': '「絶対食べ物とか調合するときに使うなよ……」', 'text_CHT': '「絕對不要拿這東西調合食物喔……」', 'text_CHS': '“你别拿这东西去调合食物就行……”', 'text_KOR': '「음식 같은 거 조합할 때 쓰지 마라…」'}, 'char3': 'Slade'}"
676625675	3	Crackling Water	(Water)	(Gases)			Green	Red	Red	Purple	Blue	Green	Green	Yellow	Yellow	Purple	Purple	Red	24	1	"{'flavor1': {'text_ENG': ""It's crackling ..."", 'text_JPN': '「ぱちぱち……」', 'text_CHT': '「啪汽啪汽……」', 'text_CHS': '“吧唧吧唧……”', 'text_KOR': '「톡톡…」'}, 'char1': 'El', 'flavor2': {'text_ENG': ""How's it taste? Any good?"", 'text_JPN': '「どう？\u3000美味しい？」', 'text_CHT': '「怎麼樣？好喝嗎？」', 'text_CHS': '“怎么样？好喝吗？”', 'text_KOR': '「어때? 맛있어?」'}, 'char2': 'Rias', 'flavor3': {'text_ENG': ""Hmm, not like this, it's not. Maybe with honey or something?"", 'text_JPN': '「うーん、別にこのままでは美味しくないな。\n\u3000蜂蜜なんか入れると美味しいんじゃない？」', 'text_CHT': '「嗯……直接喝不太好喝，\n\u3000但加一點蜂蜜，味道應該滿不錯的。」', 'text_CHS': '“嗯……直接喝不太好喝，\n\u3000但要是加上一点蜂蜜，味道应该就会很不错了。”', 'text_KOR': '「으음, 이대로는 맛이 없네.\n 꿀 같은 거 넣으면 맛있지 않을까?」'}, 'char3': 'El'}"
1360721953	4	Zapping Water	(Water)	(Fuel)			Blue	Green	Red	Yellow	Blue	Purple	Green	Red	Yellow	Red	Purple	Yellow	29	1	"{'flavor1': {'text_ENG': ""Ulp ... That's got a kick ..."", 'text_JPN': '「くうぅ……これはなかなか効く……」', 'text_CHT': '「唔……真是夠勁……」', 'text_CHS': '“唔……真来劲……”', 'text_KOR': '「으으… 이건 꽤 잘 듣네…」'}, 'char1': 'Rias', 'flavor2': {'text_ENG': ""Hey, don't just put any old thing in your mouth! Are you okay?"", 'text_JPN': '「おいおい、なんでもかんでも口に入れるなよ！\n\u3000大丈夫か？」', 'text_CHT': '「喂喂喂，別什麼都往嘴裡灌啊！\n\u3000還好吧？」', 'text_CHS': '“哎！你别看都不看就往嘴里灌啊！\n\u3000没事吧？”', 'text_KOR': '「어이, 뭐든지 입에 넣지 말라고!\n 괜찮아?」'}, 'char2': 'Slade', 'flavor3': {'text_ENG': ""I'm fine. It's good to have a little stimulation now and then, you know?"", 'text_JPN': '「大丈夫だよ。刺激もたまには大事でしょ？」', 'text_CHT': '「沒事啦，偶爾也需要來點刺激的啊！」', 'text_CHS': '“没事，我这不也是偶尔想找点刺激嘛！”', 'text_KOR': '「괜찮아. 가끔은 자극도 있어야지」'}, 'char3': 'Rias'}"
778429658	5	Plant Essence	(Water)	(Plants)			Green	Yellow	Red	Purple	Blue	Purple	Green	Red	Yellow	Purple	Purple	Yellow	34	1	"{'flavor1': {'text_ENG': 'Drinking this is supposed to be good for you.', 'text_JPN': '「これそのまま飲むと健康にいいらしいよ」', 'text_CHT': '「這玩意兒直接喝對身體好像很不錯喔。」', 'text_CHS': '“我听说，这东西直接喝的话对身体蛮好的。”', 'text_KOR': '「이거 그대로 마시면 건강에 좋다더라」'}, 'char1': 'Rias', 'flavor2': {'text_ENG': 'Really? All right, bottoms up.', 'text_JPN': '「そうなのか？\u3000じゃあいただきます」', 'text_CHT': '「是嗎？那我就不客氣了。」', 'text_CHS': '“是吗？那我尝尝。”', 'text_KOR': '「그래? 그럼, 잘 마실게」'}, 'char2': 'Raze', 'flavor3': {'text_ENG': ""... But it's terribly bitter."", 'text_JPN': '「……でもとんでもなく苦いんだって」', 'text_CHT': '「……但聽說非常苦就是了。」', 'text_CHS': '“……不过味道好像很苦。”', 'text_KOR': '「…그런데 엄청나게 쓰대」'}, 'char3': 'Rias', 'flavor4': {'text_ENG': 'Ack! Warn me sooner!', 'text_JPN': '「ぐあっ！\u3000早く言えよ！」', 'text_CHT': '「唔啊！這話早點說啊！」', 'text_CHS': '“呕！你早说啊！”', 'text_KOR': '「크윽! 그걸 빨리 말해라!」'}, 'char4': 'Raze'}"
892774773	11	Delicious Milk	(Water)	(Edibles)	(Food)		Purple	Green	Red	Blue	Blue	Red	Green	Purple	Yellow	Blue	Purple	Blue	30	1	"{'flavor1': {'text_ENG': ""Using too much strength shrinks me, so I can't go without milk."", 'text_JPN': '「力を使いすぎると身長が縮んでしまうので、\n\u3000私にとってミルクは欠かせないものなのです」', 'text_CHT': '「消耗太多體力會變矮冬瓜，\n\u3000所以我的生活少不了牛奶。」', 'text_CHS': '“力量消耗得太多会让我变矮，\n\u3000所以在我的生活里，牛奶是一定不能缺的。”', 'text_KOR': '「힘을 많이 쓰면 키가 줄어들기 때문에\n 우유는 저한테 꼭 필요한 것입니다」'}, 'char1': 'Corneria', 'flavor2': {'text_ENG': ""So that's why you drink it every day ..."", 'text_JPN': '「そっか、それで毎日飲んでるんだね……」', 'text_CHT': '「這樣啊，難怪妳每天都會喝牛奶……」', 'text_CHS': '“这样啊，难怪你每天都会喝牛奶……”', 'text_KOR': '「과연, 그래서 매일 마시는구나…」'}, 'char2': 'Rias', 'flavor3': {'text_ENG': 'Well, that, and I just like it.', 'text_JPN': '「まぁ、単に好きというのもありますが……」', 'text_CHT': '「不過，單純也是因為我喜歡牛奶啦……」', 'text_CHS': '“其实还有一个原因，那就是我本身也非常喜欢喝奶……”', 'text_KOR': '「뭐, 그냥 좋아하는 것도 있지만요…」'}, 'char3': 'Corneria'}"
106063423	6	Groundwater	(Water)	(Medicinal)			Blue	Purple	Red	Purple	Blue	Yellow	Green	Yellow	Yellow	Blue	Purple	Yellow	47	1	"{'flavor1': {'text_ENG': ""*Gulp* This water ... It's not quite the same, but it reminds me of Ertona ..."", 'text_JPN': '「ごくごく……このお水、ちょっと味は違うけど\n\u3000エルトナを思い出すなぁ……」', 'text_CHT': '「咕嚕咕嚕……雖然味道不太一樣，\n\u3000但這個水讓我想起了艾爾托納……」', 'text_CHS': '“咕嘟咕嘟……虽然味道不太一样，\n\u3000但这种水让我想起了艾尔托纳……”', 'text_KOR': '「꿀꺽꿀꺽… 이 물, 맛은 좀 다르지만\n 에르토나가 생각나는걸…」'}, 'char1': 'Firis', 'flavor2': {'text_ENG': ""Ertona? Is that the place you're from, Firis?"", 'text_JPN': '「エルトナってフィリスの故郷？」', 'text_CHT': '「艾爾托納是菲莉絲的故鄉嗎？」', 'text_CHS': '“艾尔托纳是菲莉丝的故乡吗？”', 'text_KOR': '「에르토나는 피리스의 고향 맞지?」'}, 'char2': 'Rias', 'flavor3': {'text_ENG': ""Yes. It's a small town in the mountains."", 'text_JPN': '「はい、岩山の中にある小さな町なんです」', 'text_CHT': '「對啊，是一座座落在岩山中的小村莊喔。」', 'text_CHS': '“对，它是一座被岩山环绕的小村庄。”', 'text_KOR': '「네, 바위산 안에 있는 작은 마을이에요」'}, 'char3': 'Firis'}"
1077131905	7	Spirit Dew	(Water)	(Magical)			Blue	Red	Red	Yellow	Blue	Green	Green	Blue	Yellow	Green	Purple	Green	52	1	"{'flavor1': {'text_ENG': 'So this world has spirits too.', 'text_JPN': '「この世界にも精霊がいるのかしらね」', 'text_CHT': '「這個世界也有精靈嗎？」', 'text_CHS': '“这个世界也有精灵吗？”', 'text_KOR': '「이 세계에도 정령이 있을까?」'}, 'char1': 'Wilbell', 'flavor2': {'text_ENG': ""Spirit Dew ... It isn't actually spirit drool, right?"", 'text_JPN': '「精霊の雫……まさか、よだれじゃないよな？」', 'text_CHT': '「精靈水滴……應該不是口水吧？」', 'text_CHS': '“精灵之露……应该不是口水吧？”', 'text_KOR': '「정령의 물방울… 설마 침은 아니겠지?」'}, 'char2': 'Slade', 'flavor3': {'text_ENG': ""Keep talking like that and you'll anger them. And they're real scary when angry."", 'text_JPN': '「あんまり適当なこと言うと精霊たち怒るわよ。\n\u3000あいつら怒るとすごい怖いんだから」', 'text_CHT': '「講話太沒有分寸，小心精靈生氣喔。\n\u3000那些傢伙生起氣來可是很嚇人的。」', 'text_CHS': '“你这样说话，精灵们听了可是要生气的。\n\u3000那些家伙生起气来可吓人了。”', 'text_KOR': '「이상한 소리를 하면 정령들이 화낼 거야.\n 정령들이 화내면 엄청나게 무섭다고」'}, 'char3': 'Wilbell'}"
385395481	8	Ancient Blue Water	(Water)	(Medicinal)			Yellow	Red	Red	Blue	Blue	Yellow	Green	Blue	Yellow	Blue	Purple	Blue	58	1	"{'flavor1': {'text_ENG': ""This water contains substances that don't exist anymore."", 'text_JPN': '「この水には、今はもう存在しない成分が\n\u3000含まれてるんだって」', 'text_CHT': '「聽說這種水裡面有一些成分，\n\u3000現在已經找不到了。」', 'text_CHS': '“听说这种水里面有一些成分，\n\u3000这些成分现在已经都找不到了。”', 'text_KOR': '「이 물에는, 지금은 이제 존재하지 않는\n 성분이 들어 있대」'}, 'char1': 'Rias', 'flavor2': {'text_ENG': ""Oh, that's lovely. Like an ancient message in a bottle."", 'text_JPN': '「ちょっと素敵ね。\n\u3000太古からのメッセージボトルみたいだわ」', 'text_CHT': '「簡直就像來自太古的瓶中信呢，\n\u3000還挺浪漫的。」', 'text_CHS': '“听起来简直就像来自远古的瓶中信，\n\u3000还挺浪漫的。”', 'text_KOR': '「좀 멋진걸. 아득히 먼\n 옛 시대에서 온 메시지 병 같아」'}, 'char2': 'Camilla'}"
