ItemId	Item	Name1	Name2	Name3	Name4	Name5	SkillId1	SkillId2	SkillId3	SkillId4	SkillId5	EffectId1	EffectId2	EffectId3	EffectId4	EffectId5	DlcId
862042001	Altus - Fiery Crimson	Color to Red										722720457					0
1604245495	Altus - Crimson Azure	Color to Red/Blue										976649296					0
81819358	Altus - Crimson Jade	Color to Red/Green										1278732350					0
960734910	Altus - Crimson Glow	Color to Red/Yellow										1727949988					0
63060165	Altus - Crimson Amethyst	Color to Red/Purple										1551889117					0
113500809	Altus - Deep Azure	Color to Blue										1309965417					0
580264211	Altus - Azure Crimson	Color to Blue/Red										1195281078					0
1291552816	Altus - Azure Jade	Color to Blue/Green										323371574					0
565416004	Altus - Azure Glow	Color to Blue/Yellow										1752864060					0
456265277	Altus - Azure Amethyst	Color to Blue/Purple										1392184133					0
1981762750	Altus - Verdant Jade	Color to Green										1071008198					0
1774877220	Altus - Jade Crimson	Color to Green/Red										555607236					0
1465302760	Altus - Jade Azure	Color to Green/Blue										149648626					0
1065912040	Altus - Jade Glow	Color to Green/Yellow										1629468387					0
84482193	Altus - Jade Amethyst	Color to Green/Purple										1537091738					0
1724763677	Altus - Brilliant Glow	Color to Yellow										247365467					0
1583727976	Altus - Glowing Crimson	Color to Yellow/Red										30936946					0
1684891331	Altus - Glowing Azure	Color to Yellow/Blue										765748155					0
2140492094	Altus - Glowing Jade	Color to Yellow/Green										553804085					0
1548505188	Altus - Glowing Amethyst	Color to Yellow/Purple										876601636					0
297808712	Altus - Vibrant Amethyst	Color to Purple										2041807376					0
1531694908	Altus - Amethyst Crimson	Color to Purple/Red										83232038					0
141483302	Altus - Amethyst Azure	Color to Purple/Blue										1101518942					0
1100424542	Altus - Amethyst Jade	Color to Purple/Green										520099157					0
725724465	Altus - Amethyst Glow	Color to Purple/Yellow										1127357559					0
1399748193	Iris Stone - Water	Change to Water										150036864					0
56520649	Iris Stone - Plant	Change to Plants										1489074392					0
255249747	Iris Stone - Uni	Change to Uni										1303506182					0
1705445744	Iris Stone - Flower	Change to Flowers										386622578					0
629080021	Iris Stone - Medicinal	Change to Medicinal										1811361555					0
990171645	Iris Stone - Poison	Change to Poisons										1235795169					0
1682042544	Iris Stone - Elixir	Change to Elixirs										384664494					0
1783820869	Iris Stone - Sand	Change to Sand										736882938					0
