ItemMixId	Item1	Item2	Item3	text_ENG	Number1	Number2	Unknown2	Unknown3	SkillId	ItemId1	ItemId2	ItemId3	text_JPN	text_CHS	text_CHT	text_KOR
0					0	0	0	0	0	0	0	0				
1908270246				Explosion	0	0	1850467451	1850467451	551181071	0	0	0	エクスプロージョン	爆炸	爆炸	익스플로전
112907316				Volcano	10	120	1850467451	1850467451	1177351499	0	0	0	ボルケーノ	火山喷发	火山噴發	볼케이노
1615624822				Mist Blind	0	0	1850467451	1575536260	1928462764	0	0	0	ミストブラインド	迷雾蔽目	迷霧遮眼	미스트 블라인드
390810336				Nebula Blind	10	120	1850467451	1575536260	335851502	0	0	0	ネビュラブラインド	星云蔽目	星雲遮眼	네뷸러 블라인드
1993351357				Fire Wing	0	0	1850467451	717748849	641760788	0	0	0	ファイヤーウイング	烈火之翼	烈火之翼	파이어 윙
30871595				Fury Fire	10	120	1850467451	717748849	1085722706	0	0	0	フューリーファイヤー	暴怒烈火	暴怒烈火	퓨리 파이어
1730264687				Cracker Shock	0	0	1850467451	1564302314	1114323819	0	0	0	クラッカーショック	爆烈冲击	爆裂衝擊	크래커 쇼크
270962425				Fireworks	10	120	1850467451	1564302314	614307119	0	0	0	ファイヤーワーク	烈火四射	烈火四射	파이어 워크
2137418904				Ice Burst	0	0	1575536260	1575536260	1015845732	0	0	0	アイスバースト	寒冰爆发	寒冰爆發	아이스 버스트
140598274				Glacier Burst	10	120	1575536260	1575536260	1517960486	0	0	0	グレイシアバースト	冰河爆发	冰河爆發	글레이시아 버스트
1755764197				Cold Breeze	0	0	1575536260	717748849	1280226812	0	0	0	コールドブリーズ	冷彻微风	冷冽微風	콜드 브리즈
530703731				Blizzard	10	120	1575536260	717748849	716708798	0	0	0	ブリザード	暴风雪	暴風雪	블리자드
2035764023				Hailstone	0	0	1575536260	1564302314	803056115	0	0	0	ヘイルストーン	不碎冰雹	不碎冰雹	헤일 스톤
240155553				Icicle Rain	10	120	1575536260	1564302314	1227556791	0	0	0	アイシクルレイン	冰柱之雨	冰柱之雨	아이시클 레인
1875579390				Crazy Wind	0	0	717748849	717748849	83836025	0	0	0	クレイジーウインド	狂野之风	狂野之風	크레이지 윈드
416031084				Rampage Wind	10	120	717748849	717748849	1644794429	0	0	0	ランページウインド	暴虐之风	暴虐之風	램페이지 윈드
2117766958				Thunder Typhoon	0	0	717748849	1564302314	1678384992	0	0	0	サンダータイフーン	雷电风暴	雷電風暴	선더 타이푼
155041720				Calamity Thunder	10	120	717748849	1564302314	50114842	0	0	0	カラミティサンダー	灾祸之雷	災禍之雷	컬래머티 선더
1719492055				Thunder Strike	0	0	1564302314	1564302314	753299145	0	0	0	サンダーストライク	雷电强袭	雷電強襲	선더 스트라이크
293236033				Thunderbolt	10	120	1564302314	1564302314	1242611853	0	0	0	サンダーボルト	雷霆电击	雷電伏特	선더볼트
1133217320	Bomb	Luft	Ice Bomb	Four-Star Aurora	20	0	0	0	467858754	1742723430	89414113	1737131770	四星の極光	四星极光	四星極光	사성의 극광
881637042	Bomb	Luft	Lightning Bomb	Four-Star Aurora	20	0	0	0	467858754	1742723430	89414113	304588275	四星の極光	四星极光	四星極光	사성의 극광
1383733492	Luft	Ice Bomb	Lightning Bomb	Four-Star Aurora	20	0	0	0	467858754	89414113	1737131770	304588275	四星の極光	四星极光	四星極光	사성의 극광
628959330	Bomb	Ice Bomb	Lightning Bomb	Four-Star Aurora	20	0	0	0	467858754	1742723430	1737131770	304588275	四星の極光	四星极光	四星極光	사성의 극광
1056731747	Flare Nova Bomb	Luft	Ice Bomb	Four-Star Aurora	20	0	0	0	467858754	19494688	89414113	1737131770	四星の極光	四星极光	四星極光	사성의 극광
1241203445	Flare Nova Bomb	Luft	Lightning Bomb	Four-Star Aurora	20	0	0	0	467858754	19494688	89414113	304588275	四星の極光	四星极光	四星極光	사성의 극광
789441713	Flare Nova Bomb	Ice Bomb	Lightning Bomb	Four-Star Aurora	20	0	0	0	467858754	19494688	1737131770	304588275	四星の極光	四星极光	四星極光	사성의 극광
1477106727	Bomb	Luft	Blizzard Ice Bomb	Four-Star Aurora	20	0	0	0	467858754	1742723430	89414113	24914108	四星の極光	四星极光	四星極光	사성의 극광
965850748	Luft	Blizzard Ice Bomb	Lightning Bomb	Four-Star Aurora	20	0	0	0	467858754	89414113	24914108	304588275	四星の極光	四星极光	四星極光	사성의 극광
1318487790	Bomb	Blizzard Ice Bomb	Lightning Bomb	Four-Star Aurora	20	0	0	0	467858754	1742723430	24914108	304588275	四星の極光	四星极光	四星極光	사성의 극광
677390504	Bomb	Tornado Luft	Ice Bomb	Four-Star Aurora	20	0	0	0	467858754	1742723430	1671624613	1737131770	四星の極光	四星极光	四星極光	사성의 극광
1600591934	Bomb	Tornado Luft	Lightning Bomb	Four-Star Aurora	20	0	0	0	467858754	1742723430	1671624613	304588275	四星の極光	四星极光	四星極光	사성의 극광
807926353	Tornado Luft	Ice Bomb	Lightning Bomb	Four-Star Aurora	20	0	0	0	467858754	1671624613	1737131770	304588275	四星の極光	四星极光	四星極光	사성의 극광
1193331399	Bomb	Luft	Gungnir Plajig	Four-Star Aurora	20	0	0	0	467858754	1742723430	89414113	1959857079	四星の極光	四星极光	四星極光	사성의 극광
1184600402	Luft	Ice Bomb	Gungnir Plajig	Four-Star Aurora	20	0	0	0	467858754	89414113	1737131770	1959857079	四星の極光	四星极光	四星極光	사성의 극광
832348612	Bomb	Ice Bomb	Gungnir Plajig	Four-Star Aurora	20	0	0	0	467858754	1742723430	1737131770	1959857079	四星の極光	四星极光	四星極光	사성의 극광
1466568578	Bomb	Tornado Luft	Blizzard Ice Bomb	Four-Star Aurora	20	0	0	0	467858754	1742723430	1671624613	24914108	四星の極光	四星极光	四星極光	사성의 극광
544030488	Bomb	Tornado Luft	Gungnir Plajig	Four-Star Aurora	20	0	0	0	467858754	1742723430	1671624613	1959857079	四星の極光	四星极光	四星極光	사성의 극광
1106662731	Bomb	Blizzard Ice Bomb	Gungnir Plajig	Four-Star Aurora	20	0	0	0	467858754	1742723430	24914108	1959857079	四星の極光	四星极光	四星極光	사성의 극광
921789917	Flare Nova Bomb	Tornado Luft	Ice Bomb	Four-Star Aurora	20	0	0	0	467858754	19494688	1671624613	1737131770	四星の極光	四星极光	四星極光	사성의 극광
1342688153	Tornado Luft	Ice Bomb	Gungnir Plajig	Four-Star Aurora	20	0	0	0	467858754	1671624613	1737131770	1959857079	四星の極光	四星极光	四星極光	사성의 극광
654375695	Flare Nova Bomb	Ice Bomb	Gungnir Plajig	Four-Star Aurora	20	0	0	0	467858754	19494688	1737131770	1959857079	四星の極光	四星极光	四星極光	사성의 극광
1212160352	Flare Nova Bomb	Luft	Blizzard Ice Bomb	Four-Star Aurora	20	0	0	0	467858754	19494688	89414113	24914108	四星の極光	四星极光	四星極光	사성의 극광
1061628406	Flare Nova Bomb	Luft	Gungnir Plajig	Four-Star Aurora	20	0	0	0	467858754	19494688	89414113	1959857079	四星の極光	四星极光	四星極光	사성의 극광
1602265107	Luft	Blizzard Ice Bomb	Gungnir Plajig	Four-Star Aurora	20	0	0	0	467858754	89414113	24914108	1959857079	四星の極光	四星极光	四星極光	사성의 극광
679972997	Flare Nova Bomb	Tornado Luft	Lightning Bomb	Four-Star Aurora	20	0	0	0	467858754	19494688	1671624613	304588275	四星の極光	四星极光	四星極光	사성의 극광
1316044481	Tornado Luft	Blizzard Ice Bomb	Lightning Bomb	Four-Star Aurora	20	0	0	0	467858754	1671624613	24914108	304588275	四星の極光	四星极光	四星極光	사성의 극광
964038231	Flare Nova Bomb	Blizzard Ice Bomb	Lightning Bomb	Four-Star Aurora	20	0	0	0	467858754	19494688	24914108	304588275	四星の極光	四星极光	四星極光	사성의 극광
1491952650	Flare Nova Bomb	Tornado Luft	Blizzard Ice Bomb	Four-Star Aurora	20	0	0	0	467858754	19494688	1671624613	24914108	四星の極光	四星极光	四星極光	사성의 극광
803886236	Flare Nova Bomb	Tornado Luft	Gungnir Plajig	Four-Star Aurora	20	0	0	0	467858754	19494688	1671624613	1959857079	四星の極光	四星极光	四星極光	사성의 극광
1226635994	Tornado Luft	Blizzard Ice Bomb	Gungnir Plajig	Four-Star Aurora	20	0	0	0	467858754	1671624613	24914108	1959857079	四星の極光	四星极光	四星極光	사성의 극광
1042008656	Flare Nova Bomb	Blizzard Ice Bomb	Gungnir Plajig	Four-Star Aurora	20	0	0	0	467858754	19494688	24914108	1959857079	四星の極光	四星极光	四星極光	사성의 극광
592187331	Tornado Luft	Luminous Lance		Magical Vent	20	0	0	0	208637872	1671624613	610408189	0	魔法の風穴	魔法风穴	魔法風穴	마법의 풍혈
366027170	Dark Water	Bomb		Cursed Bomb	20	0	0	0	1071553170	2125911407	1742723430	0	カースドフラム	诅咒炎烧	詛咒炎燒	커스드 프람
1658196280	Imp's Mischief	Bomb		Cursed Bomb	20	0	0	0	1071553170	854824807	1742723430	0	カースドフラム	诅咒炎烧	詛咒炎燒	커스드 프람
69255026	Codex of Creation	Bomb		Cursed Bomb	20	0	0	0	1071553170	184744382	1742723430	0	カースドフラム	诅咒炎烧	詛咒炎燒	커스드 프람
1931972580	Puni Whip	Bomb		Cursed Bomb	20	0	0	0	1071553170	154421263	1742723430	0	カースドフラム	诅咒炎烧	詛咒炎燒	커스드 프람
314369465	Worn Out Circle	Bomb		Cursed Bomb	20	0	0	0	1071553170	911148001	1742723430	0	カースドフラム	诅咒炎烧	詛咒炎燒	커스드 프람
1706808623	Dark Water	Flare Nova Bomb		Cursed Bomb	20	0	0	0	1071553170	2125911407	19494688	0	カースドフラム	诅咒炎烧	詛咒炎燒	커스드 프람
55409515	Imp's Mischief	Flare Nova Bomb		Cursed Bomb	20	0	0	0	1071553170	854824807	19494688	0	カースドフラム	诅咒炎烧	詛咒炎燒	커스드 프람
1951026173	Codex of Creation	Flare Nova Bomb		Cursed Bomb	20	0	0	0	1071553170	184744382	19494688	0	カースドフラム	诅咒炎烧	詛咒炎燒	커스드 프람
453683604	Puni Whip	Flare Nova Bomb		Cursed Bomb	20	0	0	0	1071553170	154421263	19494688	0	カースドフラム	诅咒炎烧	詛咒炎燒	커스드 프람
