EnemyKindId	text_ENG	text_JPN	text_CHT	text_CHS	text_KOR
0					
2049562500					
507205798	Puni	ぷに	噗尼	噗尼	푸니
852665332	Weasel	イタチ	鼬	鼬	족제비
345274434	Wyrm	翼竜	翼龍	翼龙	익룡
950888199	Spirit	精霊	精靈	精灵	정령
185507530	Knight	騎士	騎士	骑士	기사
325437926	Golem	ゴーレム	魔巨人	魔巨人	골렘
1775352902	Bird	鳥	鳥	鸟	새
1898369503	Beetle	甲虫	甲蟲	甲虫	갑충
2031788118	Turtle	カメ	龜	龟	거북
834509048	Aquatic	水棲	水棲	水生	수서
1549258690	Plant	植物	植物	植物	식물
243594642	Demon	悪魔	惡魔	恶魔	악마
1412371	Shark	サメ	鯊魚	鲨鱼	상어
685707726	Dragon	竜	龍	龙	용
1379276613	Human	人間	人類	人类	인간
200846831	Ghost	お化け	妖怪	妖怪	유령
1005377354	Beast	獣	野獸	野兽	짐승
