RecipeId	Index	Quantity	Uses	Flag	ItemName	IngredientName1	IngredientName2	IngredientName3	IngredientName4	Category1	Category2	Category3	ItemId	IngredientId1	IngredientId2	IngredientId3	IngredientId4	DlcId
0	0	1	0	1									0	0	0	0	0	0
1289910033	1	2	0	1	Red Neutralizer	Whimsy Strawberries	Red Sand			(Water)	(Gemstones)	(Uni)	1064908757	259334361	844027819	0	0	0
391907341	2	2	0	1	Blue Neutralizer	Crackling Water	Blue Crystal			(Water)	(Stone)	(Medicinal)	774064894	676625675	1134390425	0	0	0
1715598413	3	2	0	1	Yellow Neutralizer	Sand Crystals	Glowing Diatom			(Beehives)	(Gases)	(Marine)	1715438513	1044984926	640096788	0	0	0
54169575	4	2	0	1	Green Neutralizer	Taun	Plant Essence			(Bugs)	(Mushrooms)	(Plants)	2102227943	899419154	778429658	0	0	0
1556113974	5	2	0	1	Purple Neutralizer	Black Water	Ingot Bug			(Poisons)	(Bugs)	(Fuel)	1555963338	216224640	1912722015	0	0	0
1002012808	6	1	0	1	Rainbow Neutralizer	Multicolor Dye	Ingot Beetle	Tíkometal		(Fuel)	(Food)	(Elixirs)	1002960756	2003793884	230663821	1340797831	0	0
1433316858	7	2	0	1	Ingot	Amatite Ore	Amatite Ore	Broken Rock		(Stone)	(Ore)	(Sand)	737921160	2083546144	2083546144	339858290	0	0
402947778	8	2	0	1	Silvalia	Ingot	Steel Balls	Metal Ore		(Gunpowder)	(Sand)	(Gemstones)	1805598216	737921160	994418561	159522154	0	0
806537185	9	2	0	1	Gold Eisen	Silvalia	Unknown Augite	Diopside		(Stone)	(Water)	(Ore)	1653445612	1805598216	740285902	893217111	0	0
903041895	10	2	0	1	Ōkeagyrn	Gold Eisen	Hainelight	Hygea Ore		(Magical)	(Misc.)	(Sand)	1179128739	1653445612	1482100967	522572005	0	0
1219843463	11	2	0	1	Iridescence	Ōkeagyrn	Celestial Silver Stone	Diamant Gemstone	Coralia	(Ore)	(Elixirs)	(Neutralizers)	918727047	1179128739	1970930026	638721037	102239912	0
245152666	12	2	0	1	Cloth	Animal Hide	Silver Web			(Animal Mat.)	(Threads)	(Flowers)	1879695076	789742580	1901592439	0	0	0
805138130	13	2	0	1	Moffcloth	Alchemy Fibers	Cloth	Fluffy Wool		(Bugs)	(Threads)	(Lumber)	1365773232	1955455862	1879695076	568788969	0	0
192481209	14	2	0	1	Flügel	Heavenly String	Moffcloth	Giant Bird Feather		(Plants)	(Animal Mat.)	(Threads)	2028095357	1888697275	1365773232	312039597	0	0
1362388843	15	2	0	1	Velvetis	Strong Alchemy Fibers	Flügel	Fine Pelt		(Animal Mat.)	(Gemstones)	(Threads)	581904303	310070576	2028095357	2062748672	0	0
2097662696	16	2	0	1	Geranóvirgen	Vajra Wire	Velvetis	Dragon Wing	Mist Liquid	(Neutralizers)	(Threads)	(Dragon Mat.)	921957720	1090139267	581904303	1560118844	1402637106	0
383487908	22	2	0	1	Pure Water	Clean Water	Clean Water	Blue Puniball		(Uni)	(Medicinal)	(Mushrooms)	379975768	219097578	219097578	1098182389	0	0
1560101890	52	1	0	1	Honey	Beehive	Natural Oil	Clean Water		(Beehives)	(Marine)	(Flowers)	937459136	306157533	1396615881	219097578	0	0
743142180	62	1	0	1	Seife	Medium Medicine	Natural Oil	Princess Grass		(Flowers)	(Fruit)	(Fuel)	1685538182	802550893	1396615881	2089940276	0	0
334235912	18	1	0	1	Refresh Oil	Princess Grass	Blue Clover	Thin Fruit		(Water)	(Marine)	(Plants)	1838937352	2089940276	1710859907	138006015	0	0
333821158	19	1	0	1	Zettel	Magic Tome Page	Paper Scraps			(Lumber)	(Threads)	(Magical)	1618932768	427835170	1698723307	0	0	0
