Book	RecipeName1	RecipeName2	RecipeName3	ItemId	RecipeId1	RecipeId2	RecipeId3
				0	0	0	0
Intro to Alchemy, Vol. 1	Honey	Pure Water	Zettel	1645185789	1560101890	383487908	333821158
Intro to Alchemy, Vol. 2	Cloth	Seife	Refresh Oil	83436729	245152666	743142180	334235912
Intro to Bombs, Vol. 1	Bomb	Ice Bomb		1946031151	722644453	310040092	0
Intro to Bombs, Vol. 2	Craft	Luft		308641396	1278227450	1616435421	0
Ingot Bulletin	Silvalia			1700941542	402947778	0	0
The Weekly Gatherer, Vol. 1	Grass Sickle​	Woodcutter's Axe	Ingot	60088480	2053619237	769553880	1433316858
The Weekly Gatherer, Vol. 2	Bug Net	Monochrome Glasses		202607404	962505290	2147423392	0
D.I.Y. for Pros, an Anthology	Puni Jelly	Superpowder		2064956350	561485939	1018831623	0
The Weekly Gatherer, Vol. 3	Gold Axe	Golden Sickle		501356024	1524188482	224431795	0
Medicine Set	Healing Bell	Cure-all Base		1793402222	822260784	155218639	0
Memento Set	Daydream Crystal			192827187	160478433	0	0
Set of Household Belongings	Glass Goblet			2088337317	862694175	0	0
D.I.Y. for Pros, an Anthology+	Weisscream			445632993	1399861893	0	0
The Weekly Gatherer, Vol. 4	Gold Bug Net			1837687159	1314495200	0	0
Weapon Creation Guide	Star Staff	Guardian's Spear	Parrying Dagger	46662426	966464110	796156218	1923267287
Recommended Supplements	Plant Food	Puni Candy		1976513424	2020263403	2073168421	0
Armor Creation Guide	Traveler's Vest	Leather Protector	Bunny Tail	658430185	58239683	1703806087	509902531
Wire Master, Vol. 1	Bungee Gem - Green			1345972351	1092091148	0	0
How to Make Clean Water	Spirit Tears			919553595	2016900610	0	0
Handling Precautions	Great Gift			1103656621	92177036	0	0
Traveling Clothes for Alchemists	Victor's Charm			542317810	80868501	0	0
How to Make Your Own Leather Shoes	Godspeed Boots			1465134184	1846446668	0	0
Expedition Prep for Alchemists	Vitality Charm			832733730	2082833480	0	0
Wire Master, Vol. 2	Bungee Gem - Red			1185264308	427948887	0	0
Dressmaking for Beginners	Verdant Dress			702894299	367325192	0	0
The Basics of Jackets	Maiden's Jacket			1591894093	228795121	0	0
Forests & Starpearls, Vol 1	Dark Virid Pearl			1042672042	1089527127	0	0
Forests & Starpearls, Vol 2	Crimson Virid Pearl			1227020608	938995137	0	0
Forests & Starpearls, Vol 3	Azure Virid Pearl			802453370	1359037317	0	0
Wire Master, Vol. 3	Bungee Gem - Gold			1490241516	1361664193	0	0
First Step to Becoming a Master Tailor	Vajra Wire			961031601	862024775	0	0
Caves & Starpearls, Vol 1	Dark Abyss Pearl			1313807655	1677546019	0	0
Caves & Starpearls, Vol 2	Crimson Abyss Pearl			683258723	351953589	0	0
Caves & Starpearls, Vol 3	Azure Abyss Pearl			1606321141	1913441521	0	0
Plateaus & Starpearls, Vol 1	Dark Bone Pearl			821977500	1865762490	0	0
Plateaus & Starpearls, Vol 2	Crimson Bone Pearl			1207521550	405960236	0	0
Plateaus & Starpearls, Vol 3	Azure Bone Pearl			1902411631	2126829674	0	0
Volcanoes & Starpearls, Vol 1	Dark Fyr Pearl			107171833	577094256	0	0
Volcanoes & Starpearls, Vol 2	Crimson Fyr Pearl			1620435389	1432548090	0	0
Volcanoes & Starpearls, Vol 3	Azure Fyr Pearl			395497771	865361084	0	0
Antique Decorating Techniques	Decorated Spellbook			1980349304	1865759557	0	0
Bolt Techniques of the Past	Thunder Feet			17730530	1458154082	0	0
Ancient Starpearls, Vol 1	Dark Shine Pearl	Elixir		1744315812	1017796414	1138413989	0
Ancient Starpearls, Vol 2	Crimson Shine Pearl	Griffon Plate		285152562	1269655468	194118992	0
Ancient Starpearls, Vol 3	Azure Shine Pearl	Spirit Belt		2143287133	760990190	378458450	0
Ice Crystals & Starpearls, Vol 1	Dark Frost Pearl			146327499	1768232829	0	0
Ice Crystals & Starpearls, Vol 2	Crimson Frost Pearl			1753173552	509749227	0	0
Ice Crystals & Starpearls, Vol 3	Azure Frost Pearl			527990458	2023000495	0	0
The Weekly Gatherer, Vol. 5	Starlight Axe	Luminous Sickle	Moonlight Bug Net	2039402748	1009773316	1805000951	682570906
Neutralizer Set	Blue Neutralizer	Green Neutralizer		243916906	391907341	54169575	0
Secrets of the Fleet-Footed	Traveler's Shoes			1863486007	1391342158	0	0
