Index	Node0	Node1	Node2	Node3	Node4	RightArrows	DownArrows
0						['0', '0', '0', '0']	['0', '0', '0', '0']
1	{'RecipeName': 'Craft'}	{'IngredientName': 'Sparkling Sand', 'RecipeName': 'Polishing Powder'}	{'IngredientName': 'Demon Uni', 'RecipeName': 'Catastro Craft'}	{'UnlockChar': 'Totori', 'IngredientName': 'Alchemy Filter', 'RecipeName': 'Magic Cannon'}	{'UnlockChar': 'Totori', 'IngredientName': 'Black Agujero', 'RecipeName': 'N/A'}	[True, True, True, True]	[True, True, True, True]
1			{'IngredientName': 'Flaming Black Sand', 'RecipeName': 'Alchemy Filter'}		{'UnlockChar': 'Totori', 'IngredientName': 'Shining Disk', 'RecipeName': 'Himmelstein'}	[False, True, False, True]	[True, False, True, False]
1		{'IngredientName': 'Balloon Fruit', 'RecipeName': 'Luft'}	{'IngredientName': 'Eternal Breeze', 'RecipeName': 'Typhon Keim'}	{'UnlockChar': 'Sophie', 'IngredientName': 'Dragon Eye', 'RecipeName': 'Asterisíma'}	{'UnlockChar': 'Sophie', 'IngredientName': 'Dragon Hourglass', 'RecipeName': 'Meteor'}	[True, True, True, True]	[False, True, False, True]
1			{'IngredientName': 'Typhon Keim', 'RecipeName': 'Tornado Luft'}	{'IngredientName': 'Liquefier', 'RecipeName': 'Langwolke'}	"{'UnlockChar': 'Sophie', 'IngredientName': 'Water Beast Fossil', 'RecipeName': ""Magician's Flute""}"	[False, True, True, True]	[False, False, True, False]
1				{'IngredientName': 'Alchemy Filter', 'RecipeName': 'Squall Winder', 'AncientRecipe': True}		[False, False, True, False]	[False, False, False, False]
2	{'RecipeName': 'Bomb'}	{'IngredientName': 'Frost Uni', 'RecipeName': 'Ice Bomb'}	{'IngredientName': 'Diopside', 'RecipeName': 'Blizzard Ice Bomb'}	{'IngredientName': 'Everfreeze Beehive', 'RecipeName': 'Snowflake Crystal'}	{'IngredientName': 'Black Agujero', 'RecipeName': 'N/A Type Rho'}	[True, True, True, True]	[True, True, False, True]
2			{'IngredientName': 'Charmanduft', 'RecipeName': 'Sublime Dome'}		{'IngredientName': 'Sternovia', 'RecipeName': 'Moon Ring', 'AncientRecipe': True}	[False, True, False, True]	[True, False, False, False]
2		{'IngredientName': 'Zapping Water', 'RecipeName': 'Lightning Bomb'}	{'IngredientName': 'Wurzel Aqua', 'RecipeName': 'Gungnir Plajig'}	{'IngredientName': 'Vajra Wire', 'RecipeName': 'Thunder Feet'}		[True, True, True, False]	[False, True, False, False]
2			{'IngredientName': 'Heatwave Water', 'RecipeName': 'Flare Nova Bomb'}	{'IngredientName': 'Magma Powder', 'RecipeName': 'Flame Emperor Dust'}		[False, True, True, False]	[False, False, True, False]
2				{'IngredientName': 'Haine Fire Stone', 'RecipeName': 'Calm Blue Flame'}	{'IngredientName': 'Sternovia', 'RecipeName': 'Sun Ring', 'AncientRecipe': True}	[False, False, True, True]	[False, False, False, False]
3	{'RecipeName': 'Healing Salve'}	{'IngredientName': 'Princess Grass', 'RecipeName': 'Seife'}	{'IngredientName': 'Refresh Oil', 'RecipeName': 'Healing Elixir'}	{'IngredientName': 'Heilige Blume', 'RecipeName': 'Charmanduft'}	{'IngredientName': 'Coralia', 'RecipeName': 'Hallfein Parfum'}	[True, True, True, True]	[True, False, True, False]
3				{'IngredientName': 'Rainbow Wing Fragment', 'RecipeName': 'Healing Bell'}		[False, False, True, False]	[True, False, False, False]
3		{'IngredientName': 'Thin Fruit', 'RecipeName': 'Refresh Oil'}	{'IngredientName': 'Mana Petal', 'RecipeName': 'Polish'}	{'IngredientName': 'Cure-all Base', 'RecipeName': 'Warding Incense'}	{'IngredientName': 'Dunkelheit', 'RecipeName': 'Elixir'}	[True, True, True, True]	[False, False, False, False]
4	{'RecipeName': 'Honey'}	{'IngredientName': 'Sweet Flower', 'RecipeName': 'Riaslade Ice Cream'}	{'IngredientName': 'Gold Beehive', 'RecipeName': 'Superpowder'}	{'IngredientName': 'Gold Spiky Fruit', 'RecipeName': 'Custarias Pie'}	{'IngredientName': 'Marbled Meat', 'RecipeName': 'Riasoup'}	[True, True, True, True]	[True, False, True, False]
4				{'IngredientName': 'Charicheese', 'RecipeName': 'Weisscream'}		[False, False, True, False]	[True, False, False, False]
4		{'IngredientName': 'Sea Horse', 'RecipeName': 'Tasty-Looking Bait'}	{'IngredientName': 'Jellyfish Larvae', 'RecipeName': 'Multicolor Dye'}			[True, True, False, False]	[False, True, False, False]
4			{'IngredientName': 'Bitter Root', 'RecipeName': 'Cure-all Base'}	{'IngredientName': 'Thousand Scale Fruit', 'RecipeName': 'Natural Yeast'}	{'IngredientName': 'Mushroom Colony', 'RecipeName': 'Viel Einfugen'}	[False, True, True, True]	[False, False, False, False]
5	{'RecipeName': 'Puni Candy'}	{'IngredientName': 'Superpowder', 'RecipeName': 'Puni Jelly'}	{'IngredientName': 'Dragon Egg', 'RecipeName': 'Riaflan'}			[True, True, False, False]	[False, True, False, False]
5			{'IngredientName': 'Stretchy Band', 'RecipeName': 'Puni Whip'}	{'UnlockChar': 'Sophie', 'IngredientName': 'Flame Emperor Dust', 'RecipeName': 'Puni Missile'}		[False, True, True, False]	[False, False, False, False]
6	{'RecipeName': 'Ingot'}	{'IngredientName': 'Metal Ore', 'RecipeName': 'Silvalia'}	{'IngredientName': 'Unknown Augite', 'RecipeName': 'Gold Eisen'}	{'IngredientName': 'Hainelight', 'RecipeName': 'Ōkeagyrn'}	{'IngredientName': 'Coralia', 'RecipeName': 'Iridescence', 'AncientRecipe': True}	[True, True, True, True]	[True, True, False, True]
6		{'IngredientName': 'Sparkling Sand', 'RecipeName': 'Alchemic Clay'}	{'IngredientName': 'Alchemic Clay', 'RecipeName': 'Daydream Crystal'}	{'IngredientName': 'Tíkometal', 'RecipeName': 'Holy Crystal Weight'}	{'IngredientName': 'Glass Goblet', 'RecipeName': 'Sternovia', 'AncientRecipe': True}	[True, True, True, True]	[False, False, True, False]
6				{'IngredientName': 'Celestial Silver Stone', 'RecipeName': 'Glass Goblet'}	{'IngredientName': 'Unknown Gemstone', 'RecipeName': 'Stellar Futuro'}	[False, False, True, True]	[False, False, False, True]
6					{'IngredientName': 'Fairystone Fragment', 'RecipeName': 'Anfang Suchen'}	[False, False, False, True]	[False, False, False, False]
7	{'RecipeName': 'Star Staff'}	"{'IngredientName': 'Silvalia', 'RecipeName': ""Explorer's Staff""}"	{'IngredientName': 'Gold Eisen', 'RecipeName': 'Azure Cage'}	{'IngredientName': 'Ōkeagyrn', 'RecipeName': 'Rustivaria'}	{'IngredientName': 'Iridescence', 'RecipeName': 'Gracia Staff'}	[True, True, True, True]	[False, False, False, False]
8	"{'RecipeName': ""Guardian's Spear""}"	{'IngredientName': 'Silvalia', 'RecipeName': 'Stone-Smashing Lance'}	{'IngredientName': 'Gold Eisen', 'RecipeName': 'Sterglanz'}	{'IngredientName': 'Ōkeagyrn', 'RecipeName': 'Vactarius'}	{'IngredientName': 'Iridescence', 'RecipeName': 'Perchel Zwei'}	[True, True, True, True]	[False, False, False, False]
