ItemBaseName	IngredientName	ItemResultName	ItemBaseId	IngredientId	ItemResultId
			0	0	0
Craft	Sparkling Sand	Polishing Powder	1278227450	1979772462	100340209
Craft	Balloon Fruit	Luft	1278227450	665091287	1616435421
Luft	Eternal Breeze	Typhon Keim	1616435421	978862733	1577396712
Luft	Typhon Keim	Tornado Luft	1616435421	372842310	112096921
Tornado Luft	Liquefier	Langwolke	112096921	1363720703	998557927
Tornado Luft	Alchemy Filter	Squall Winder	112096921	121234074	1479117497
Polishing Powder	Demon Uni	Catastro Craft	100340209	494157157	717659584
Polishing Powder	Flaming Black Sand	Alchemy Filter	100340209	610492753	1518612344
Catastro Craft	Alchemy Filter	Magic Cannon	717659584	121234074	344810708
Catastro Craft	Dragon Eye	Asterisíma	717659584	879017728	1423093513
Asterisíma	Dragon Hourglass	Meteor	1423093513	938219941	210063479
Asterisíma	Water Beast Fossil	Magician's Flute	1423093513	1631991673	1306385802
Magic Cannon	Black Agujero	N/A	344810708	1802916448	1570864891
Magic Cannon	Shining Disk	Himmelstein	344810708	22664860	995610815
Bomb	Frost Uni	Ice Bomb	722644453	962577040	310040092
Bomb	Zapping Water	Lightning Bomb	722644453	1360721953	1999316175
Ice Bomb	Diopside	Blizzard Ice Bomb	310040092	893217111	1955362910
Ice Bomb	Charmanduft	Sublime Dome	310040092	2061437532	1690460869
Blizzard Ice Bomb	Everfreeze Beehive	Snowflake Crystal	1955362910	1477771629	358624394
Snowflake Crystal	Black Agujero	N/A Type Rho	358624394	1802916448	1687367898
Snowflake Crystal	Sternovia	Moon Ring	358624394	1484350495	1352690840
Lightning Bomb	Wurzel Aqua	Gungnir Plajig	1999316175	846196548	299731595
Lightning Bomb	Heatwave Water	Flare Nova Bomb	1999316175	929171891	1306788769
Gungnir Plajig	Vajra Wire	Thunder Feet	299731595	1090139267	1458154082
Flare Nova Bomb	Magma Powder	Flame Emperor Dust	1306788769	1573310408	567868924
Flare Nova Bomb	Haine Fire Stone	Calm Blue Flame	1306788769	1439191365	1072976720
Calm Blue Flame	Sternovia	Sun Ring	1072976720	1484350495	911655646
Healing Salve	Princess Grass	Seife	812033715	2089940276	743142180
Healing Salve	Thin Fruit	Refresh Oil	812033715	138006015	334235912
Seife	Refresh Oil	Healing Elixir	743142180	1838937352	1662177751
Healing Elixir	Heilige Blume	Charmanduft	1662177751	889118699	824915428
Healing Elixir	Rainbow Wing Fragment	Healing Bell	1662177751	1009573662	822260784
Charmanduft	Coralia	Hallfein Parfum	824915428	102239912	190149992
Refresh Oil	Mana Petal	Polish	334235912	1748601842	1182404784
Polish	Cure-all Base	Warding Incense	1182404784	2000129743	1674331751
Warding Incense	Dunkelheit	Elixir	1674331751	31946281	1138413989
Honey	Sweet Flower	Riaslade Ice Cream	1560101890	1978153648	591451613
Honey	Sea Horse	Tasty-Looking Bait	1560101890	1449850316	494438694
Riaslade Ice Cream	Gold Beehive	Superpowder	591451613	1012836089	1018831623
Superpowder	Gold Spiky Fruit	Custarias Pie	1018831623	1551025926	396948017
Superpowder	Charicheese	Weisscream	1018831623	602638490	1399861893
Custarias Pie	Marbled Meat	Riasoup	396948017	599611575	543713861
