SkillId	text_ENG	desc_ENG	Unknown1	Numbers1	Unknown2	Power1	Values1	Power2	Values2	Number	Flag	Index	Unknown3	text_JPN	desc_JPN	text_CHS	desc_CHS	text_CHT	desc_CHT	text_KOR	desc_KOR
0			[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0]	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0	0	0	[0, 0, 0, 4294967295, 4294967295, 4294967295, 3212836864, 3212836864, 0, 0, 0, 0, 0, 0]								
40791156	Skill 0		[0, 0, 0, 1415384097]	[0, 0, 0, 100]	[40791156, 0, 0, 0, 0, 0, 0, 0]	100	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0	0	0	[3338823302, 2118932054, 1590773769, 4294967295, 4294967295, 4294967295, 3212836864, 3212836864, 0, 0, 0, 0, 0, 0]	スキル０００		技能000		技能000			
1969839330	Skill 1		[0, 0, 0, 1415384097]	[0, 0, 0, 100]	[1969839330, 0, 0, 0, 0, 0, 0, 0]	100	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0	0	0	[2572894134, 1520292249, 1590773769, 4294967295, 4294967295, 4294967295, 3212836864, 3212836864, 0, 0, 0, 0, 0, 0]	スキル００１		技能001		技能001			
329249448	Skill 2		[0, 0, 0, 1415384097]	[0, 0, 0, 100]	[329249448, 0, 0, 0, 0, 0, 0, 0]	100	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0	0	0	[2715769732, 159011009, 1614965990, 4294967295, 4294967295, 4294967295, 3212836864, 3212836864, 0, 0, 0, 0, 0, 0]	スキル００２		技能002		技能002			
1481748070	Normal Attack	Deals physical damage to an enemy. Gain AP when attacking.	[0, 0, 0, 1415384097]	[0, 7, 5, 130]	[1862461130, 58379218, 0, 0, 0, 0, 0, 0]	70	[12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0	0	0	[1476909808, 450397065, 1590773769, 4294967295, 4294967295, 4294967295, 3212836864, 3212836864, 0, 0, 0, 0, 0, 0]	通常攻撃	敵単体に物理ダメージを与える。攻撃時、ＡＰを獲得する	普通攻击	对敌方单体造成物理伤害。攻击时获得AP。	普通攻擊	對敵方單體造成物理傷害。攻擊時，獲得AP。	통상공격	단일 적에게 물리 대미지를 준다.공격 시 AP를 획득한다
1051131936	Normal Attack	Deals physical damage to an enemy. Gain AP when attacking.	[0, 0, 0, 1415384097]	[0, 10, 5, 130]	[153059127, 2132536843, 0, 0, 0, 0, 0, 0]	80	[25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0	0	0	[1619246790, 1228866257, 1590773769, 4294967295, 4294967295, 4294967295, 3212836864, 3212836864, 0, 0, 0, 0, 0, 0]	通常攻撃	敵単体に物理ダメージを与える。攻撃時、ＡＰを獲得する	普通攻击	对敌方单体造成物理伤害。攻击时获得AP。	普通攻擊	對敵方單體造成物理傷害。攻擊時，獲得AP。	통상공격	단일 적에게 물리 대미지를 준다.공격 시 AP를 획득한다
1235234998	Normal Attack	Deals physical damage to an enemy. Gain AP when attacking.	[0, 0, 0, 1415384097]	[0, 14, 5, 130]	[929980169, 502001795, 0, 0, 0, 0, 0, 0]	90	[39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0	0	0	[3606113636, 1122533062, 1590773769, 4294967295, 4294967295, 4294967295, 3212836864, 3212836864, 0, 0, 0, 0, 0, 0]	通常攻撃	敵単体に物理ダメージを与える。攻撃時、ＡＰを獲得する	普通攻击	对敌方单体造成物理伤害。攻击时获得AP。	普通攻擊	對敵方單體造成物理傷害。攻擊時，獲得AP。	통상공격	단일 적에게 물리 대미지를 준다.공격 시 AP를 획득한다
118107400	Wind Whip	Deals air damage to an enemy.	[0, 0, 0, 1415384097]	[10, 0, 10, 180]	[941193409, 1762434674, 0, 0, 0, 0, 0, 0]	100	[47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0	0	0	[279192953, 128388069, 1590773769, 4294967295, 4294967295, 4294967295, 3212836864, 3212836864, 0, 0, 0, 0, 0, 0]	ヴィントウィップ	敵単体に風ダメージを与える	疾风之鞭	对敌方单体造成风伤害。	疾風之鞭	對敵方單體造成風傷害。	빈트 윕	단일 적에게 풍 대미지를 준다
118575138	Wind Whip	Deals air damage to an enemy.	[0, 0, 0, 1415384097]	[10, 0, 10, 180]	[941193409, 1762434674, 0, 0, 0, 0, 0, 0]	110	[47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0	0	0	[279192953, 128388069, 1590773769, 4294967295, 4294967295, 4294967295, 3212836864, 3212836864, 0, 0, 0, 0, 0, 0]	ヴィントウィップ	敵単体に風ダメージを与える	疾风之鞭	对敌方单体造成风伤害。	疾風之鞭	對敵方單體造成風傷害。	빈트 윕	단일 적에게 풍 대미지를 준다
1880514744	Wind Whip	Deals air damage to an enemy.	[0, 0, 0, 1415384097]	[10, 0, 10, 180]	[941193409, 1762434674, 0, 0, 0, 0, 0, 0]	120	[47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0	0	0	[279192953, 128388069, 1590773769, 4294967295, 4294967295, 4294967295, 3212836864, 3212836864, 0, 0, 0, 0, 0, 0]	ヴィントウィップ	敵単体に風ダメージを与える	疾风之鞭	对敌方单体造成风伤害。	疾風之鞭	對敵方單體造成風傷害。	빈트 윕	단일 적에게 풍 대미지를 준다
294456043	Wind Whip	Deals air damage to an enemy.	[0, 0, 0, 1415384097]	[10, 0, 10, 180]	[941193409, 1762434674, 0, 0, 0, 0, 0, 0]	130	[47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0	0	0	[279192953, 128388069, 1590773769, 4294967295, 4294967295, 4294967295, 3212836864, 3212836864, 0, 0, 0, 0, 0, 0]	ヴィントウィップ	敵単体に風ダメージを与える	疾风之鞭	对敌方单体造成风伤害。	疾風之鞭	對敵方單體造成風傷害。	빈트 윕	단일 적에게 풍 대미지를 준다
1720334973	Wind Whip	Deals air damage to an enemy.	[0, 0, 0, 1415384097]	[10, 0, 10, 180]	[941193409, 1762434674, 0, 0, 0, 0, 0, 0]	140	[47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0	0	0	[279192953, 128388069, 1590773769, 4294967295, 4294967295, 4294967295, 3212836864, 3212836864, 0, 0, 0, 0, 0, 0]	ヴィントウィップ	敵単体に風ダメージを与える	疾风之鞭	对敌方单体造成风伤害。	疾風之鞭	對敵方單體造成風傷害。	빈트 윕	단일 적에게 풍 대미지를 준다
1643938626	Brilliant Cheer	Boosts an ally's SPD by {7}% and Critical rate by {3}%. Increases the duration of the target's buff effects by {11}. (Cannot exceed initial value.)	[0, 0, 0, 826054873]	[15, 0, 15, 225]	[545316433, 0, 0, 0, 0, 0, 0, 0]	170	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0	0	0	[1836357896, 2100543155, 2024091195, 4294967295, 4294967295, 4294967295, 3212836864, 3212836864, 1208736161, 1623824545, 1966847044, 0, 0, 0]	ブリリアントエール	味方単体の素早さを{7}％、クリティカル率を{3}％上昇させ、対象のバフ効果のターン数を{11}回復する。ターン数は初期値を超えて回復しない	绝妙声援	我方单体敏捷提升{7}%，暴击率提升{3}%，并使目标的增益效果回合数恢复{11}。所恢复的回合数不会超过初始值。	絕妙聲援	我方單體的敏捷上升{7}%、重擊率上升{3}%，並使目標的增益效果回合數回復{11}。回復的回合數不會超過初始值。	브릴리언트 엘	단일 아군의 민첩성을 {7}%, 크리티컬 확률을 {3}% 상승시키고 대상의 강화 효과의 턴 수를 {11} 회복한다. 턴 수는 초기치를 초과해 회복되지 않는다
1085352690	Brilliant Cheer	Boosts an ally's SPD by {7}% and Critical rate by {3}%. Increases the duration of the target's buff effects by {11}. (Cannot exceed initial value.)	[0, 0, 0, 826054873]	[15, 0, 15, 225]	[545316433, 0, 0, 0, 0, 0, 0, 0]	180	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0	0	0	[1836357896, 2100543155, 2024091195, 4294967295, 4294967295, 4294967295, 3212836864, 3212836864, 788363237, 661250673, 849071764, 0, 0, 0]	ブリリアントエール	味方単体の素早さを{7}％、クリティカル率を{3}％上昇させ、対象のバフ効果のターン数を{11}回復する。ターン数は初期値を超えて回復しない	绝妙声援	我方单体敏捷提升{7}%，暴击率提升{3}%，并使目标的增益效果回合数恢复{11}。所恢复的回合数不会超过初始值。	絕妙聲援	我方單體的敏捷上升{7}%、重擊率上升{3}%，並使目標的增益效果回合數回復{11}。回復的回合數不會超過初始值。	브릴리언트 엘	단일 아군의 민첩성을 {7}%, 크리티컬 확률을 {3}% 상승시키고 대상의 강화 효과의 턴 수를 {11} 회복한다. 턴 수는 초기치를 초과해 회복되지 않는다
