TraitId	Index	text_ENG	desc_ENG	Combo1	Combo2	Grade	Value1_1	Value1_2	Value2_2	Value2_2	Synthesis	Combat	Restoratives	Inhibitor	Boost	Weapons	Armor	Accessories	Starpearls	Exploration	Unknown	TraitKindId1	TraitKindId2	GatherableFlag	EnabledFlag	text_JPN	desc_JPN	text_CHS	desc_CHS	text_CHT	desc_CHT	text_KOR	desc_KOR
0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								
692131312	1	Item Level Boost	Raises Item Level by {0}% if transferred during synthesis.			5	2	2	0	0	1	1	1	1	1	1	1	1	1	1	1	1841172131	1841172131	0	1	アイテムレベル上昇	調合時に引き継がれると、アイテムレベルを{0}％上昇させる	道具等级提升	若在调合时继承，可使道具等级提升{0}%。	道具等級上升	若在調合時繼承，可使道具等級上升{0}%。	아이템 레벨 상승	조합 시에 인계되면아이템 레벨을 {0}% 상승시킨다
1337441194	2	Item Level Boost+	Raises Item Level by {0}% if transferred during synthesis.			13	4	4	0	0	1	1	1	1	1	1	1	1	1	1	1	1841172131	1841172131	0	1	アイテムレベル上昇＋	調合時に引き継がれると、アイテムレベルを{0}％上昇させる	道具等级提升＋	若在调合时继承，可使道具等级提升{0}%。	道具等級上升+	若在調合時繼承，可使道具等級上升{0}%。	아이템 레벨 상승＋	조합 시에 인계되면아이템 레벨을 {0}% 상승시킨다
951094076	3	Item Level Boost++	Raises Item Level by {0}% if transferred during synthesis.			20	6	6	0	0	1	1	1	1	1	1	1	1	1	1	1	1841172131	1841172131	0	1	アイテムレベル上昇＋＋	調合時に引き継がれると、アイテムレベルを{0}％上昇させる	道具等级提升＋＋	若在调合时继承，可使道具等级提升{0}%。	道具等級上升++	若在調合時繼承，可使道具等級上升{0}%。	아이템 레벨 상승＋＋	조합 시에 인계되면아이템 레벨을 {0}% 상승시킨다
1496047969	4	Well-Made	Raises Item Level by {0}% if transferred during synthesis.	Item Level Boost	Item Level Boost+	26	8	8	0	0	1	1	1	1	1	1	1	1	1	1	1	1841172131	1841172131	0	1	出来が良い	調合時に引き継がれると、アイテムレベルを{0}％上昇させる	优秀成果	若在调合时继承，可使道具等级提升{0}%。	優秀成果	若在調合時繼承，可使道具等級上升{0}%。	좋은 완성도	조합 시에 인계되면아이템 레벨을 {0}% 상승시킨다
774689271	5	Pro Perfection	Raises Item Level by {0}% if transferred during synthesis.	Expensive +	Item Level Boost++	30	10	10	0	0	1	1	1	1	1	1	1	1	1	1	1	1841172131	1841172131	0	1	プロの完成度	調合時に引き継がれると、アイテムレベルを{0}％上昇させる	专家的完成度	若在调合时继承，可使道具等级提升{0}%。	專家的完成度	若在調合時繼承，可使道具等級上升{0}%。	프로 완성도	조합 시에 인계되면아이템 레벨을 {0}% 상승시킨다
1222279091	6	Superb Quality	Raises Item Level by {0}% if transferred during synthesis.	Finest	Pro Perfection	39	12	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1841172131	1841172131	0	1	超クオリティ	調合時に引き継がれると、アイテムレベルを{0}％上昇させる	超级质量	若在调合时继承，可使道具等级提升{0}%。	超級品質	若在調合時繼承，可使道具等級上升{0}%。	초 퀄리티	조합 시에 인계되면아이템 레벨을 {0}% 상승시킨다
1071468325	7	Superb Quality+	Raises Item Level by {0}% if transferred during synthesis.			44	14	14	0	0	1	1	1	1	1	1	1	1	1	1	0	1841172131	1841172131	1	1	超クオリティ＋	調合時に引き継がれると、アイテムレベルを{0}％上昇させる	超级品质＋	若在调合时继承，可使道具等级提升{0}%。	超級品質+	若在調合時繼承，可使道具等級上升{0}%。	초 퀄리티＋	조합 시에 인계되면아이템 레벨을 {0}% 상승시킨다
1352510796	8	Ultimate Masterpiece	Raises Item Level by {0}% if transferred during synthesis.	Superb Quality	Pure Determination	50	16	16	0	0	1	1	1	1	1	1	1	1	1	1	0	1841172131	1841172131	1	1	究極の逸品	調合時に引き継がれると、アイテムレベルを{0}％上昇させる	究极的逸品	若在调合时继承，可使道具等级提升{0}%。	究極的逸品	若在調合時繼承，可使道具等級上升{0}%。	궁극의 일품	조합 시에 인계되면아이템 레벨을 {0}% 상승시킨다
664444382	9	Ultimate Masterpiece+	Raises Item Level by {0}% if transferred during synthesis.			55	20	20	0	0	1	1	1	1	1	1	1	1	1	1	0	1841172131	1841172131	1	1	究極の逸品＋	調合時に引き継がれると、アイテムレベルを{0}％上昇させる	究极的逸品＋	若在调合时继承，可使道具等级提升{0}%。	究極的逸品+	若在調合時繼承，可使道具等級上升{0}%。	궁극의 일품＋	조합 시에 인계되면아이템 레벨을 {0}% 상승시킨다
1090454473	10	Cheap	Slightly lowers sales price. In return, also lowers duplication cost and restock cost.			2	-10	-10	0	0	1	1	1	1	1	1	1	1	1	1	1	1084648366	725117845	0	1	安値	売却価格が少し下がる。代わりに複製価格や補充価格も下がる	低价	出售价格小幅降低。相对的，复制价格和补充价格也会降低。	低價	出售價格微幅下降。不過，複製價格和補充價格也會下降。	염가	매각 가격이 조금 떨어지는 대신복제 가격이나 보충 가격도 떨어진다
638168461	11	Cheap +	Slightly lowers sales price. In return, also lowers duplication cost and restock cost.			11	-15	-15	0	0	1	1	1	1	1	1	1	1	1	1	1	1084648366	725117845	0	1	安値＋	売却価格が少し下がる。代わりに複製価格や補充価格も下がる	低价＋	出售价格小幅降低。相对的，复制价格和补充价格也会降低。	低價+	出售價格微幅下降。不過，複製價格和補充價格也會下降。	염가＋	매각 가격이 조금 떨어지는 대신복제 가격이나 보충 가격도 떨어진다
1359912219	12	Cheap ++	Slightly lowers sales price. In return, also lowers duplication cost and restock cost.			21	-20	-20	0	0	1	1	1	1	1	1	1	1	1	1	1	1084648366	725117845	0	1	安値＋＋	売却価格が少し下がる。代わりに複製価格や補充価格も下がる	低价＋＋	出售价格小幅降低。相对的，复制价格和补充价格也会降低。	低價++	出售價格微幅下降。不過，複製價格和補充價格也會下降。	염가＋＋	매각 가격이 조금 떨어지는 대신복제 가격이나 보충 가격도 떨어진다
815134534	13	Bulk-Produced	Lowers sales price. In return, also lowers duplication cost and restock cost.	Cheap	Cheap +	25	-25	-25	0	0	1	1	1	1	1	1	1	1	1	1	1	1084648366	725117845	0	1	量産品	売却価格が下がる。代わりに複製価格や補充価格も下がる	量产品	出售价格降低。相对的，复制价格和补充价格也会降低。	量產品	出售價格下降。不過，複製價格和補充價格也會下降。	양산품	매각 가격이 떨어지는 대신복제 가격이나 보충 가격도 떨어진다
1200801744	14	Mass-Produced	Lowers sales price by {0}％. In return, also lowers duplication cost and restock cost.	Cheap +	Cheap ++	30	-30	-30	0	0	1	1	1	1	1	1	1	1	1	1	1	1084648366	725117845	0	1	大量生産品	売却価格が下がる。代わりに複製価格や補充価格も下がる	大量生产品	出售价格降低。相对的，复制价格和补充价格也会降低。	大量生產品	出售價格下降。不過，複製價格和補充價格也會下降。	대량생산품	매각 가격이 떨어지는 대신복제 가격이나 보충 가격도 떨어진다
560228758	15	Economical	Lowers sales price by {0}％. In return, also lowers duplication cost and restock cost.	Bulk-Produced	Mass-Produced	42	-35	-35	0	0	1	1	1	1	1	1	1	1	1	1	1	1084648366	725117845	0	1	エコノミー	売却価格が下がる。代わりに複製価格や補充価格も下がる	经济实惠	出售价格降低。相对的，复制价格和补充价格也会降低。	經濟實惠	出售價格下降。不過，複製價格和補充價格也會下降。	이코노미	매각 가격이 떨어지는 대신복제 가격이나 보충 가격도 떨어진다
1449351428	16	Economical+	Greatly lowers sales price. In return, also lowers duplication cost and restock cost.			45	-40	-40	0	0	1	1	1	1	1	1	1	1	1	1	0	1084648366	725117845	1	1	エコノミー＋	売却価格が大きく下がる。代わりに複製価格や補充価格も下がる	经济实惠＋	出售价格大幅降低。相对的，复制价格和补充价格也会降低。	經濟實惠+	出售價格大幅下降。不過，複製價格和補充價格也會下降。	이코노미＋	매각 가격이 크게 떨어지는 대신복제 가격이나 보충 가격도 떨어진다
958643053	17	Bargain	Greatly lowers sales price. In return, also lowers duplication cost and restock cost.	Economical	Dreamt Up Secret Art	50	-45	-45	0	0	1	1	1	1	1	1	1	1	1	1	0	1084648366	725117845	1	1	プライスレス	売却価格が大きく下がる。代わりに複製価格や補充価格も下がる	无价	出售价格大幅降低。相对的，复制价格和补充价格也会降低。	無價	出售價格大幅下降。不過，複製價格和補充價格也會下降。	프라이스리스	매각 가격이 크게 떨어지는 대신복제 가격이나 보충 가격도 떨어진다
1311017979	18	Bargain+	Greatly lowers sales price. In return, also lowers duplication cost and restock cost.			60	-50	-50	0	0	1	1	1	1	1	1	1	1	1	1	0	1084648366	725117845	1	1	プライスレス＋	売却価格が大きく下がる。代わりに複製価格や補充価格も下がる	无价＋	出售价格大幅降低。相对的，复制价格和补充价格也会降低。	無價+	出售價格大幅下降。不過，複製價格和補充價格也會下降。	프라이스리스＋	매각 가격이 크게 떨어지는 대신복제 가격이나 보충 가격도 떨어진다
1117174350	19	Expensive	Slightly raises sales price. In return, also raises duplication cost and restock cost.			2	10	10	10	10	1	1	1	1	1	1	1	1	1	1	1	1084648366	1410117446	0	1	高値	売却価格が少し上がる。代わりに複製価格や補充価格も上がる	高价	出售价格小幅上涨。相对的，复制价格和补充价格也会上涨。	高價	出售價格微幅上升。不過，複製價格和補充價格也會上升。	고가	매각 가격이 조금 상승하는 대신복제 가격이나 보충 가격도 상승한다
610276364	20	Expensive +	Slightly raises sales price. In return, also raises duplication cost and restock cost.			11	15	15	15	15	1	1	1	1	1	1	1	1	1	1	1	1084648366	1410117446	0	1	高値＋	売却価格が少し上がる。代わりに複製価格や補充価格も上がる	高价＋	出售价格小幅上涨。相对的，复制价格和补充价格也会上涨。	高價+	出售價格微幅上升。不過，複製價格和補充價格也會上升。	고가＋	매각 가격이 조금 상승하는 대신복제 가격이나 보충 가격도 상승한다
1399268510	21	Expensive ++	Slightly raises sales price. In return, also raises duplication cost and restock cost.			21	20	20	20	20	1	1	1	1	1	1	1	1	1	1	1	1084648366	1410117446	0	1	高値＋＋	売却価格が少し上がる。代わりに複製価格や補充価格も上がる	高价＋＋	出售价格小幅上涨。相对的，复制价格和补充价格也会上涨。	高價++	出售價格微幅上升。不過，複製價格和補充價格也會上升。	고가＋＋	매각 가격이 조금 상승하는 대신복제 가격이나 보충 가격도 상승한다
855396033	22	Finest	Raises sales price. In return, also raises duplication cost and restock cost.	Expensive	Expensive +	25	25	25	25	25	1	1	1	1	1	1	1	1	1	1	1	1084648366	1410117446	0	1	高級品	売却価格が上がる。代わりに複製価格や補充価格も上がる	高级品	出售价格上涨。相对的，复制价格和补充价格也会上涨。	高級品	出售價格上升。不過，複製價格和補充價格也會上升。	고급품	매각 가격이 상승하는 대신복제 가격이나 보충 가격도 상승한다
1174109783	23	Rare Item	Raises sales price. In return, also raises duplication cost and restock cost.	Expensive +	Expensive ++	30	30	30	30	30	1	1	1	1	1	1	1	1	1	1	1	1084648366	1410117446	0	1	希少な逸品	売却価格が上がる。代わりに複製価格や補充価格も上がる	稀少的逸品	出售价格上涨。相对的，复制价格和补充价格也会上涨。	稀少的逸品	出售價格上升。不過，複製價格和補充價格也會上升。	희귀한 일품	매각 가격이 상승하는 대신복제 가격이나 보충 가격도 상승한다
588107795	24	Overpriced	Raises sales price. In return, also raises duplication cost and restock cost.	Finest	Rare Item	42	35	35	35	35	1	1	1	1	1	1	1	1	1	1	1	1084648366	1410117446	0	1	プレミア価格	売却価格が上がる。代わりに複製価格や補充価格も上がる	限定价格	出售价格上涨。相对的，复制价格和补充价格也会上涨。	限定價格	出售價格上升。不過，複製價格和補充價格也會上升。	프리미엄 가격	매각 가격이 상승하는 대신복제 가격이나 보충 가격도 상승한다
1409998981	25	Overpriced+	Greatly raises sales price. In return, also raises duplication cost and restock cost.			45	40	40	40	40	1	1	1	1	1	1	1	1	1	1	0	1084648366	1410117446	1	1	プレミア価格＋	売却価格が大きく上がる。代わりに複製価格や補充価格も上がる	限定价格＋	出售价格大幅上涨。相对的，复制价格和补充价格也会上涨。	限定價格+	出售價格大幅上升。不過，複製價格和補充價格也會上升。	프리미엄 가격＋	매각 가격이 크게 상승하는 대신복제 가격이나 보충 가격도 상승한다
994706154	26	One of a Kind	Greatly raises sales price. In return, also raises duplication cost and restock cost.	Overpriced	Dreamt Up Secret Art	50	45	45	45	45	1	1	1	1	1	1	1	1	1	1	0	1084648366	1410117446	1	1	唯一無二	売却価格が大きく上がる。代わりに複製価格や補充価格も上がる	独一无二	出售价格大幅上涨。相对的，复制价格和补充价格也会上涨。	獨一無二	出售價格大幅上升。不過，複製價格和補充價格也會上升。	유일무이	매각 가격이 크게 상승하는 대신복제 가격이나 보충 가격도 상승한다
1280127612	27	One of a Kind+	Greatly raises sales price. In return, also raises duplication cost and restock cost.			60	50	50	50	50	1	1	1	1	1	1	1	1	1	1	0	1084648366	1410117446	1	1	唯一無二＋	売却価格が大きく上がる。代わりに複製価格や補充価格も上がる	独一无二＋	出售价格大幅上涨。相对的，复制价格和补充价格也会上涨。	獨一無二+	出售價格大幅上升。不過，複製價格和補充價格也會上升。	유일무이＋	매각 가격이 크게 상승하는 대신복제 가격이나 보충 가격도 상승한다
1294472984	28	Destruction Up	Increases the item's power by {0}%.			4	10	10	0	0	1	1	0	0	0	0	0	0	0	0	1	2085854704	1927413127	0	1	破壊力増加	アイテムの威力が{0}％増加する	破坏力增加	道具威力增加{0}%。	破壞力增加	道具威力增加{0}%。	파괴력 증가	아이템의 위력이 {0}% 증가
736016722	29	Destruction Up +	Increases the item's power by {0}%.			13	15	15	0	0	1	1	0	0	0	0	0	0	0	0	1	2085854704	1927413127	0	1	破壊力増加＋	アイテムの威力が{0}％増加する	破坏力增加＋	道具威力增加{0}%。	破壞力增加+	道具威力增加{0}%。	파괴력 증가＋	아이템의 위력이 {0}% 증가
