item_id	text_eng	desc_eng	text_jpn	desc_jpn	text_chs	desc_chs	text_cht	desc_cht	text_deu	desc_deu	text_fra	desc_fra	text_kor	desc_kor	text_rus	desc_rus	text_spa	desc_spa	imgNo	multiImgNo	lv	duplicate_cost	range	fire	ice	bolt	air	category	material	convert_material_num	exchange_rate	disp_flag	atk	def	spd	use_num	mana	cool_time	target_type	aoe
ITEM_LIQUID_001	Clean Water	Regular water that can be gathered from anywhere. Quench your thirst or use it as an ingredient for alchemy. It's pure and clean.	きれいな水	どこでも採取できる普通の水。飲料水として使用するのはもちろんのこと、素材として使用することも可能。濁りが一切なく透き通っている	清澈的水	随处都能采集的普通的水。不但能作为饮用水，也能当作素材使用。没有半点污浊，清澈透明。	乾淨的水	隨處都能採集的普通的水。不只能作為飲用水，也能當作素材使用。沒有半點汙濁，清澈透明。	Sauberes Wasser	Gewöhnliches Wasser, das allerorts zu finden ist. Sowohl zum Durstlöschen als auch als Zutat in der Alchemie geeignet. Es ist sehr rein und sauber.	Eau propre	De l'eau ordinaire disponible partout. Étanchez votre soif ou utilisez-la comme ingrédient alchimique. Elle est pure et limpide.	깨끗한 물	어디서든 구할 수 있는 평범한 물.식수로 마시거나 소재로 사용할 수도 있다.불순물이 전혀 없고 투명하다	Чистая вода	Обычная вода, чистая и прозрачная, которую можно набрать где угодно. Ею можно утолить жажду или использовать как ингредиент для алхимии.	Agua limpia	Agua normal que se puede recoger en cualquier lugar. Sacia tu sed o úsala como ingrediente para la alquimia. ¡Está limpia y es potable!	0	-1	1	5	1	False	True	False	False	['(Water)']	['Water']	[1, '']	[5, 6, 7, 10, 12, 15]	1								
ITEM_LIQUID_002	Subterranean Water	Water gathered from an underground lake. Its chemical composition is similar to that of regular water, but it stays colder at room temperature. Perfect for a hot day or after working up a sweat.	地底湖の水	地底湖から採取した水。成分的には普通の水とあまり変わらないが、常温が通常の水よりも冷たい特徴がある。暑い日や身体を動かした後に飲むと美味しい	地底湖的水	从地底湖采集的水。成分与一般的水无大异，但常温下会比普通的水更加冰凉。在大热天或活动身体后饮用格外美味。	地底湖的水	從地底湖採集的水。成分與一般的水無異，但特徵是常溫下比普通的水來的冰涼。在大熱天或活動身體後飲用會格外美味。	Unterirdisches Wasser	Wasser, das aus einem unterirdischen See geschöpft wurde. Die chemische Zusammensetzung ähnelt der von gewöhnlichem Wasser, jedoch bleibt es auch bei Zimmertemperatur angenehm kühl. Genau richtig für einen heißen Tag oder nach getaner Arbeit.	Eau souterraine	De l'eau puisée dans un lac souterrain. Sa composition chimique est similaire à l'eau ordinaire, mais elle reste plus froide que la température ambiante. Idéale en cas de chaleur ou après un effort intense.	지하호수의 물	지하호수에서 구한 물. 성분상으로는 보통 물과 크게 다르지 않지만, 상온이 보통 물보다 차갑다는 특징이 있다.더운 날이나 활동적인 일을 한 뒤 마시면 맛있다	Подземная вода	Вода, взятая из подземного озера. По составу не отличается от обычной, но остается холодной при комнатной температуре. Идеально подходит для жаркого дня или после утомительной работы.	Agua de acuífero	Agua recogida en un lago subterráneo. Su composición química es similar a la del agua corriente, pero se mantiene más fresca a temperatura ambiente. Es perfecta para los días calurosos o para después de haber hecho un gran esfuerzo.	1	-1	6	5	2	True	False	False	False	['(Water)']	['Water']	[1, '']	[7, 8, 10, 14, 17, 21]	1								
ITEM_LIQUID_003	Saline Water	Water that has grown salty from exposure to strong sunlight. It's buoyant enough that branches float to the top. It can be used as an alchemy ingredient, but it's probably best not to drink it.	サーレ水	強い直射日光を受けたことで、塩分濃度が濃くなった水。小枝程度であれば浮いてしまう。素材には向いているかもしれないが、飲料水として使うには向いていない	盐水	受到强烈阳光直射导致盐度升高的水。盐度足以其让小树枝漂浮在水面。或许适合当作素材使用，但不适合饮用。	鹽水	受到強烈陽光直射導致鹽度升高的水。能夠讓小樹枝漂浮在水面。或許很適合當作素材使用，但不適合飲用。	Salziges Wasser	Wasser, das lange Zeit starkem Sonnenlicht ausgesetzt war und nun einen starken Salzgehalt aufweist. Es ist so salzig, dass sogar kleine Zweige auf der Oberfläche schwimmen. Es kann zwar als alchemistische Zutat verwendet werden, von einem Verzehr ist aber abzuraten.	Eau salée	Une forte exposition au soleil a rendu cette eau salée. Sa flottaison accrue permet notamment aux branches de rester à la surface. Elle peut servir d'ingrédient alchimique, mais mieux vaut éviter de la boire.	식염수	강한 직사광선을 받아 염분 농도가 짙어진 물. 잔가지 정도는 물 위에 뜬다. 소재로는 적합할지도 모르지만, 식수로 쓰기에는 적합하지 않다	Соленая вода	Вода, ставшая соленой от воздействия яркого солнечного света. Она настолько плотная, что на ее поверхности будет плавать ветка. Ее можно использовать в качестве алхимического ингредиента, а вот пить, пожалуй, не стоит.	Agua salina	Agua que se ha vuelto salada por la exposición a los intensos rayos de sol. Tan salada es, que hasta las ramas flotan en la superficie. Se puede usar como ingrediente para la alquimia, pero es mejor no beberla.	2	-1	10	5	3	False	False	True	False	['(Water)', '(Edibles)']	['Water']	[1, '']	[9, 10, 13, 18, 22, 27]	1								
ITEM_LIQUID_004	Fresh Spring Water	Water imbued with minerals from the earth over a long period of time. Its nutrient profile makes it perfect for drinking or cooking. But don't drink too much, or it might upset your stomach.	山麓の岩清水	長い時間をかけ、大地のミネラルを豊富に含んだ水。栄養価が非常に高いため、飲料水としてはもちろん、料理にも使われる。ただし、飲み過ぎると腹を壊す	山麓的山泉水	经年累月形成的水。含有丰富的大地矿物质。营养价值极高，不但适合饮用，还能用来烹饪。不过一口气喝太多会拉肚子。	山麓的山泉水	經年累月形成的水。含有豐富的大地礦物質。由於有著極高的營養價值，不只能飲用，還能用來烹飪。不過喝太多會拉肚子。	Frisches Quellwasser	Wasser, in dem sich über einen langen Zeitraum Mineralien der Erde angesammelt haben. Aufgrund seiner Nährstoffe eignet es sich perfekt zum Trinken oder Kochen. Übermäßiger Konsum sollte jedoch vermieden werden, da es sonst zu Bauchschmerzen kommen kann.	Eau de source	Cette eau s'est imprégnée de minéraux terrestres pendant de longues périodes. Son profil nutritionnel en fait la boisson et l'ingrédient de cuisine parfaits. Mais n'en buvez pas trop, cela pourrait vous causer des maux d'estomac.	산록의 석간수	오랜 시간을 들여 대지의 미네랄을 풍부하게 머금은 물. 영양가가 매우 높기 때문에 식수로 마시거나 요리에 사용된다. 단, 너무 많이 마시면 배탈이 난다	Свежая родниковая вода	Вода, за долгое время напитавшаяся минералами из земли. По составу она идеально подходит для питья и приготовления пищи, только не стоит пить ее слишком много, иначе может расстроиться желудок.	Agua de manantial	Agua que, a lo largo de mucho tiempo, ha ido extrayendo minerales del suelo. Sus capacidades nutritivas hacen que sea perfecta para cocinar. ¡No bebas demasiado o podría sentarte mal!	3	-1	15	5	2	False	False	False	True	['(Water)', '(Medicinal)']	['Water']	[1, '']	[11, 13, 16, 22, 27, 33]	1								
ITEM_LIQUID_005	Black Water	Water that contains many impurities. To put it frankly, this water is absolutely filthy. It might make a useful ingredient for alchemy, but for your own safety, please don't drink it.	黒水	不純物を大量に含んだ水。言葉を選ばずに説明するなら、とんでもなく汚れている水。錬金術の素材にするなら最適だが、飲料水としての使用はやめた方がいい	黑水	含有大量杂质的水。直接了当地说，就是脏到可怕的水。非常适合用作炼金术的素材，但最好不要拿来饮用。	黑水	含有大量雜質的水。直接了當地說，就是骯髒至極的水。非常適合當作鍊金術的素材，但最好不要拿來飲用。	Schwarzes Wasser	Wasser, das zahlreiche Verunreinigungen enthält. Um es genauer auszudrücken – es ist äußerst schmutzig. Es lässt sich gut in der Alchemie gebrauchen, aber von einem Verzehr ist abzuraten.	Eau noire	Une eau qui contient beaucoup d'impuretés. Pour être tout à fait honnête, elle est répugnante. Elle peut s'avérer utile en alchimie, mais n'en buvez surtout pas, elle n'est pas potable.	검은 물	불순물이 많이 함유된 물.직설적으로 말하면 매우 더러운 물.연금술에 쓰기에는 최적의 소재이지만, 마시는 것은 자제하는 편이 좋다	Черная вода	Вода, содержащая множество примесей, — а если говорить откровенно, она просто грязная. Из нее может выйти полезный ингредиент для алхимии, но только не пейте ее — вам же будет лучше.	Agua negra	Agua que contiene muchas impurezas. En pocas palabras, está sucia. Puede ser un ingrediente útil en la alquimia, pero no la bebas, por si acaso...	4	-1	23	5	3	True	False	False	False	['(Water)', '(Poisons)']	['Water']	[1, '']	[13, 15, 19, 26, 32, 39]	1								
ITEM_LIQUID_006	Rosy Water Bamboo	Water absorbed from the ground and collected inside bamboo. The water itself is sweet, but the pink nutrient-filled deposits floating around in it are slightly bitter, so the flavor isn't for everyone.	退紅竹	地面から吸い上げられた水が、竹の内部に蓄えられたもの。水自体は甘いが、ところどころ浮いている栄養の詰まったピンク色の澱み部分は少し苦くて好き嫌いが分かれる	退红竹	竹子从地面吸收并储存在体内的水。本身自带甜味，但漂浮在其中的富含营养的粉红色沉淀物却带有一点苦味，导致对这种水的评价呈现两极分化。	退紅竹	竹子自地面吸收並儲存在體內的水。這種水本身雖帶有自然的甜味，但漂浮其中，富含營養的粉紅色沉澱物卻又帶著一絲苦味，使得這種水評價兩極。	Rosiger Wasserbambus	Wasser, das vom Boden aufgenommen wurde und sich im Bambus gesammelt hat. Das Wasser selbst ist süßlich. Die kleinen rosafarbenen Absonderungen, die im Wasser umherschwimmen und reich an Nährstoffen sind, sind leicht bitter, daher ist dieses Wasser nicht für jeden Geschmack geeignet.	Bambou Roseau	De l'eau extraite du sol et conservée dans du bambou. L'eau en elle-même est sucrée, mais le dépôt rose riche en nutriments qui flotte à l'intérieur est légèrement amer, ce qui ne plaît pas à tout le monde.	분홍빛 대나무	땅에서 빨아올린 물이 대나무 내부에 축적된 것. 물 자체는 달지만, 군데군데 떠 있는 영양소가 많은 핑크색 부분은 약간 써서 호불호가 갈린다	Розоводный бамбук	Вытянутая из земли вода, собравшаяся в стволе бамбука. Сама вода сладкая, но плавающие в ней розовые отложения, полные питательных веществ, слегка горчат, поэтому она не всем нравится.	Bambú de agua rosada	Agua que el bambú ha absorbido del suelo y guardado en su interior. Tiene un sabor dulce, pero los depósitos de nutrientes rosados que flotan en ella son ligeramente amargos, por lo que no es apta para todos los paladares.	5	-1	27	5	2	False	False	True	False	['(Water)', '(Plants)']	['Water']	[1, '']	[15, 18, 22, 30, 37, 45]	1								
ITEM_LIQUID_007	Aqua Soda	Carbonated water mixed with metallic compounds. Has turned black from the metal inside degrading slowly over time. The strong metallic smell keeps anyone from drinking it, even by accident.	アクアコーク	金属成分の混ざった炭酸水。炭酸水の中に沈んだ金属が時間をかけて少しずつ分解されたことで、黒くなった。金属臭も強いため、間違っても飲む者はいないだろう	海洋可乐	混有金属成分的气泡水。沉在气泡水中的金属随时间逐渐分解，让气泡水变成了黑色。由于金属气味非常浓烈，应该不会有人误饮。	海洋可樂	混有金屬成分的氣泡水。沉在氣泡水中的金屬隨著時間逐漸分解，讓氣泡水變成了黑色。由於金屬氣味非常濃烈，應該不會有人誤飲。	Aqua-Limonade	Kohlensäurehaltiges Wasser mit metallischen Komponenten. Aufgrund des sich langsam zersetzenden Metalls, hat sich das Wasser über die Zeit schwarz verfärbt. Durch den stark metallischen Geruch kommt niemand auf die Idee, es zu trinken, nicht einmal aus Versehen.	Soda	De l'eau gazéifiée mélangée à des composés métalliques. La lente dégradation du métal l'a rendue noire au fil du temps. Sa forte odeur métallique dissuade quiconque de la boire, même par accident.	아쿠아 코크	금속 성분이 섞인 탄산수. 탄산수 속에 가라앉은 금속이 시간을 들여 조금씩 분해되면서 검게 변했다. 금속 냄새도 강하기 때문에 실수로 마시는 사람은 없을 것이다	Газированная вода	Минеральная вода, в которой растворены металлические соединения. Она черная от медленно окисляющихся в ней металлов, а сильный металлический запах никому не позволит выпить ее даже случайно.	Soda	Agua carbonatada y mezclada con compuestos metálicos. Se ha vuelto negra porque el metal que contiene se ha ido degradando con el tiempo. Su fuerte olor hace que nadie quiera beberla, ni siquiera como último recurso.	6	-1	30	5	3	True	False	False	False	['(Water)', '(Medicinal)']	['Water']	[1, '']	[17, 20, 25, 34, 42, 51]	1								
ITEM_LIQUID_008	Liquid Ring	A floating liquid formed into the shape of a ring. The phenomenon that allows it to float in midair and the reason it is shaped like a ring are, of course, unknown.	リキッドリング	輪の形を保ったまま空気中を漂う液体。どういう原理で宙に浮いているのかはもちろん、なぜ輪を形成しているのかもわかっていない	液体环	保持环状飘浮在空中的液体。别说是用什么原理飘浮在空中，就连为何会形成环状都无从得知。	液體環	保持環狀飄浮在空中的液體。別說是用什麼原理飄浮在空中，就連為何會形成環狀都無從得知。	Flüssiger Ring	Eine schwebende Flüssigkeit, die zu einem Ring geformt ist. Das Phänomen, das die Flüssigkeit dazu veranlasst, in der Luft zu schweben und warum sie wie ein Ring geformt ist, ist unbekannt.	Cercle liquide	Un liquide en forme d'anneau capable de léviter. Bien évidemment, le phénomène qui lui permet de flotter et les raisons de sa forme sont totalement inconnus.	리퀴드 링	고리 모양을 유지한 채 공기 중에 떠다니는 액체. 어떤 원리로 공중에 떠 있는지, 왜 고리 모양을 하고 있는지도 밝혀지지 않았다	Жидкое кольцо	Парящая в воздухе жидкость, собравшаяся в кольцо. Отчего она парит в воздухе, почему имеет форму кольца — это, разумеется, науке неизвестно.	Aro líquido	Un líquido flotante con forma de aro. Cómo no, se desconoce el fenómeno que lo hace flotar en el aire y que le confiere esa forma redonda.	7	-1	36	5	4	False	True	True	False	['(Water)', '(Gases)']	['Water']	[1, '']	[19, 22, 28, 38, 47, 57]	1								
ITEM_LIQUID_009	Ancient Blue Water	Precious water containing compounds from ancient times long before the old ages. It is difficult to warm up, perhaps due to those compounds, leading to it being said to be impossible to bring to a boil.	太古の蒼水	旧時代よりも更に前の、太古から残る成分が含まれた貴重な水。その成分のせいなのか温まりにくいため、沸騰させるのは不可能といわれている	太古苍水	含有太古时期成分，非常珍贵的水。据说，或许就是这种比旧时代还要悠久的成分导致此水不易升温，因而无法加热至沸腾。	太古蒼水	含有太古時期成分，非常珍貴的水。據說，或許就是這種比舊時代還要悠久的成分導致此水不易升溫，進而無法加熱至沸騰。	Altes blaues Wasser	Kostbares Wasser, das Bestandteile aus antiken Zeiten weit jenseits des Altertums enthält. Es ist wahrscheinlich, dass sich dieses Wasser aufgrund dieser Bestandteile nur schwer erhitzen lässt. Es zum Kochen zu bringen, soll unmöglich sein.	Eau bleue ancienne	De l'eau précieuse contenant des composés séculaires largement antérieurs aux temps anciens. Il est difficile de la réchauffer, probablement à cause de ces composés, c'est pourquoi beaucoup pensent qu'il est impossible de la faire bouillir.	태고의 창수	구시대보다 훨씬 앞선, 태고부터 남아 있는 성분이 함유된 귀중한 물. 그 성분 때문인지 쉽게 데워지지 않아 끓이는 것은 불가능하다고 알려져 있다	Древняя синяя вода	Драгоценная вода, содержащая соединения, появившиеся во времена глубокой древности. Видимо, как раз из-за этих соединений она плохо нагревается, поэтому говорят, что ее невозможно довести до кипения.	Agua azul ancestral	Un agua valiosa que contiene compuestos de tiempos remotos, anteriores incluso a la edad antigua. Es difícil de calentar, quizá a causa de dichos compuestos, por lo que se dice que es un líquido que jamás hervirá.	8	-1	40	5	4	False	True	False	True	['(Water)', '(Magical)']	['Water']	[1, '']	[21, 25, 31, 42, 52, 63]	1								
ITEM_LIQUID_010	Tranquil Spirit Water	Water that is said to be imbued with spiritual power. It appears colorless and transparent at first glance, but changes colors depending on how the light hits it.	静穏の精霊水	精霊の力の影響を強く受けているという水。無色透明に見えるが、光の当て方によってさまざまな色に変化する	平静的精灵水	据说是深受精灵之力影响的水。看似透明无色，却会依光线的照射角度呈现各种颜色。	平靜的精靈水	據說是深受精靈之力影響的水。看似透明無色，卻會依光線的照射角度呈現各種顏色。	Stillendes Geisterwasser	Wasser, das angeblich von spiritueller Kraft durchdrungen ist. Auf den ersten Blick erscheint es farblos und durchsichtig, aber je nach Lichteinfall ändert es seine Farbe.	Eau spirituelle de tranquillité	On dit que cette eau est imprégnée de pouvoir spirituel. Au premier abord, elle semble incolore et transparente, mais elle change de couleur selon la lumière.	정온의 정령수	정령의 힘의 영향을 강하게 받고 있다는 물. 무색투명해 보이지만, 빛을 비추는 방법에 따라 여러 가지 색으로 변화한다	Вода спокойного духа	Говорят, что эта вода наполнена духовной силой. На первый взгляд кажется бесцветной и прозрачной, но стоит свету упасть под другим углом — и цвет ее меняется.	Agua de espíritu plácido	Agua imbuida de poder espiritual. A simple vista, parece incolora y transparente, pero cambia de color según le dé la luz.	9	-1	44	5	5	False	False	True	True	['(Water)', '(Medicinal)', '(Magical)']	['Water']	[1, '']	[25, 30, 37, 50, 62, 75]	1								
