status_id	text_eng	item_id	quality	effect	effect_lv	effect_names	rank
ITEM_STATUS_ITEM_LIQUID_001_0	Clean Water	ITEM_LIQUID_001	20	['', '', '']	['', '', '']	[]	E
ITEM_STATUS_ITEM_LIQUID_001_1	Clean Water	ITEM_LIQUID_001	34	['', '', '']	['', '', '']	[]	D
ITEM_STATUS_ITEM_LIQUID_001_2	Clean Water	ITEM_LIQUID_001	50	['', '', '']	['', '', '']	[]	C
ITEM_STATUS_ITEM_LIQUID_001_3	Clean Water	ITEM_LIQUID_001	68	['ITEM_EFF_EFFECT_0305', '', '']	[1, '', '']	['Synthesis: Quality Up']	B
ITEM_STATUS_ITEM_LIQUID_001_4	Clean Water	ITEM_LIQUID_001	85	['ITEM_EFF_EFFECT_0305', '', '']	[2, '', '']	['Synthesis: Quality Up']	A
ITEM_STATUS_ITEM_LIQUID_001_5	Clean Water	ITEM_LIQUID_001	105	['ITEM_EFF_EFFECT_0305', '', '']	[3, '', '']	['Synthesis: Quality Up']	S
ITEM_STATUS_ITEM_LIQUID_002_0	Subterranean Water	ITEM_LIQUID_002	25	['', '', '']	['', '', '']	[]	E
ITEM_STATUS_ITEM_LIQUID_002_1	Subterranean Water	ITEM_LIQUID_002	39	['ITEM_EFF_EFFECT_0305', '', '']	[1, '', '']	['Synthesis: Quality Up']	D
ITEM_STATUS_ITEM_LIQUID_002_2	Subterranean Water	ITEM_LIQUID_002	55	['ITEM_EFF_EFFECT_0305', '', '']	[2, '', '']	['Synthesis: Quality Up']	C
ITEM_STATUS_ITEM_LIQUID_002_3	Subterranean Water	ITEM_LIQUID_002	73	['ITEM_EFF_EFFECT_0305', '', '']	[3, '', '']	['Synthesis: Quality Up']	B
ITEM_STATUS_ITEM_LIQUID_002_4	Subterranean Water	ITEM_LIQUID_002	90	['ITEM_EFF_EFFECT_0305', '', '']	[4, '', '']	['Synthesis: Quality Up']	A
ITEM_STATUS_ITEM_LIQUID_002_5	Subterranean Water	ITEM_LIQUID_002	110	['ITEM_EFF_EFFECT_0305', '', '']	[5, '', '']	['Synthesis: Quality Up']	S
ITEM_STATUS_ITEM_LIQUID_003_0	Saline Water	ITEM_LIQUID_003	27	['', '', '']	['', '', '']	[]	E
ITEM_STATUS_ITEM_LIQUID_003_1	Saline Water	ITEM_LIQUID_003	43	['ITEM_EFF_EFFECT_0353', '', '']	[1, '', '']	['Resonance Boost']	D
ITEM_STATUS_ITEM_LIQUID_003_2	Saline Water	ITEM_LIQUID_003	61	['ITEM_EFF_EFFECT_0353', '', '']	[1, '', '']	['Resonance Boost']	C
ITEM_STATUS_ITEM_LIQUID_003_3	Saline Water	ITEM_LIQUID_003	81	['ITEM_EFF_EFFECT_0353', '', '']	[1, '', '']	['Resonance Boost']	B
ITEM_STATUS_ITEM_LIQUID_003_4	Saline Water	ITEM_LIQUID_003	100	['ITEM_EFF_EFFECT_0353', '', '']	[2, '', '']	['Resonance Boost']	A
ITEM_STATUS_ITEM_LIQUID_003_5	Saline Water	ITEM_LIQUID_003	123	['ITEM_EFF_EFFECT_0353', '', '']	[3, '', '']	['Resonance Boost']	S
ITEM_STATUS_ITEM_LIQUID_004_0	Fresh Spring Water	ITEM_LIQUID_004	30	['ITEM_EFF_EFFECT_0338', '', '']	[1, '', '']	['Element Resonance - Air']	E
ITEM_STATUS_ITEM_LIQUID_004_1	Fresh Spring Water	ITEM_LIQUID_004	44	['ITEM_EFF_EFFECT_0338', '', '']	[1, '', '']	['Element Resonance - Air']	D
ITEM_STATUS_ITEM_LIQUID_004_2	Fresh Spring Water	ITEM_LIQUID_004	60	['ITEM_EFF_EFFECT_0338', '', '']	[2, '', '']	['Element Resonance - Air']	C
ITEM_STATUS_ITEM_LIQUID_004_3	Fresh Spring Water	ITEM_LIQUID_004	78	['ITEM_EFF_EFFECT_0338', '', '']	[2, '', '']	['Element Resonance - Air']	B
ITEM_STATUS_ITEM_LIQUID_004_4	Fresh Spring Water	ITEM_LIQUID_004	95	['ITEM_EFF_EFFECT_0338', '', '']	[3, '', '']	['Element Resonance - Air']	A
ITEM_STATUS_ITEM_LIQUID_004_5	Fresh Spring Water	ITEM_LIQUID_004	115	['ITEM_EFF_EFFECT_0338', '', '']	[3, '', '']	['Element Resonance - Air']	S
ITEM_STATUS_ITEM_LIQUID_005_0	Black Water	ITEM_LIQUID_005	32	['', '', '']	['', '', '']	[]	E
ITEM_STATUS_ITEM_LIQUID_005_1	Black Water	ITEM_LIQUID_005	48	['ITEM_EFF_EFFECT_0339', '', '']	[1, '', '']	['Neutralizers - Quality Boost']	D
ITEM_STATUS_ITEM_LIQUID_005_2	Black Water	ITEM_LIQUID_005	66	['ITEM_EFF_EFFECT_0339', '', '']	[1, '', '']	['Neutralizers - Quality Boost']	C
ITEM_STATUS_ITEM_LIQUID_005_3	Black Water	ITEM_LIQUID_005	86	['ITEM_EFF_EFFECT_0339', '', '']	[2, '', '']	['Neutralizers - Quality Boost']	B
ITEM_STATUS_ITEM_LIQUID_005_4	Black Water	ITEM_LIQUID_005	105	['ITEM_EFF_EFFECT_0339', '', '']	[2, '', '']	['Neutralizers - Quality Boost']	A
ITEM_STATUS_ITEM_LIQUID_005_5	Black Water	ITEM_LIQUID_005	128	['ITEM_EFF_EFFECT_0339', '', '']	[3, '', '']	['Neutralizers - Quality Boost']	S
ITEM_STATUS_ITEM_LIQUID_006_0	Rosy Water Bamboo	ITEM_LIQUID_006	35	['', '', '']	['', '', '']	[]	E
ITEM_STATUS_ITEM_LIQUID_006_1	Rosy Water Bamboo	ITEM_LIQUID_006	49	['ITEM_EFF_EFFECT_0339', '', '']	[1, '', '']	['Neutralizers - Quality Boost']	D
ITEM_STATUS_ITEM_LIQUID_006_2	Rosy Water Bamboo	ITEM_LIQUID_006	65	['ITEM_EFF_EFFECT_0339', '', '']	[1, '', '']	['Neutralizers - Quality Boost']	C
ITEM_STATUS_ITEM_LIQUID_006_3	Rosy Water Bamboo	ITEM_LIQUID_006	83	['ITEM_EFF_EFFECT_0339', '', '']	[2, '', '']	['Neutralizers - Quality Boost']	B
ITEM_STATUS_ITEM_LIQUID_006_4	Rosy Water Bamboo	ITEM_LIQUID_006	100	['ITEM_EFF_EFFECT_0339', '', '']	[2, '', '']	['Neutralizers - Quality Boost']	A
ITEM_STATUS_ITEM_LIQUID_006_5	Rosy Water Bamboo	ITEM_LIQUID_006	120	['ITEM_EFF_EFFECT_0339', '', '']	[3, '', '']	['Neutralizers - Quality Boost']	S
ITEM_STATUS_ITEM_LIQUID_007_0	Aqua Soda	ITEM_LIQUID_007	40	['ITEM_EFF_EFFECT_0335', '', '']	[1, '', '']	['Element Resonance - Fire']	E
ITEM_STATUS_ITEM_LIQUID_007_1	Aqua Soda	ITEM_LIQUID_007	54	['ITEM_EFF_EFFECT_0335', '', '']	[1, '', '']	['Element Resonance - Fire']	D
ITEM_STATUS_ITEM_LIQUID_007_2	Aqua Soda	ITEM_LIQUID_007	70	['ITEM_EFF_EFFECT_0335', '', '']	[2, '', '']	['Element Resonance - Fire']	C
ITEM_STATUS_ITEM_LIQUID_007_3	Aqua Soda	ITEM_LIQUID_007	88	['ITEM_EFF_EFFECT_0335', '', '']	[2, '', '']	['Element Resonance - Fire']	B
ITEM_STATUS_ITEM_LIQUID_007_4	Aqua Soda	ITEM_LIQUID_007	105	['ITEM_EFF_EFFECT_0335', '', '']	[3, '', '']	['Element Resonance - Fire']	A
ITEM_STATUS_ITEM_LIQUID_007_5	Aqua Soda	ITEM_LIQUID_007	125	['ITEM_EFF_EFFECT_0335', '', '']	[4, '', '']	['Element Resonance - Fire']	S
ITEM_STATUS_ITEM_LIQUID_008_0	Liquid Ring	ITEM_LIQUID_008	45	['ITEM_EFF_EFFECT_0336', '', '']	[1, '', '']	['Element Resonance - Ice']	E
ITEM_STATUS_ITEM_LIQUID_008_1	Liquid Ring	ITEM_LIQUID_008	59	['ITEM_EFF_EFFECT_0336', '', '']	[1, '', '']	['Element Resonance - Ice']	D
ITEM_STATUS_ITEM_LIQUID_008_2	Liquid Ring	ITEM_LIQUID_008	75	['ITEM_EFF_EFFECT_0336', '', '']	[2, '', '']	['Element Resonance - Ice']	C
ITEM_STATUS_ITEM_LIQUID_008_3	Liquid Ring	ITEM_LIQUID_008	93	['ITEM_EFF_EFFECT_0336', 'ITEM_EFF_EFFECT_0320', '']	[2, 1, '']	['Element Resonance - Ice', 'Increase Resonance Area - Circle']	B
ITEM_STATUS_ITEM_LIQUID_008_4	Liquid Ring	ITEM_LIQUID_008	110	['ITEM_EFF_EFFECT_0336', 'ITEM_EFF_EFFECT_0320', '']	[3, 1, '']	['Element Resonance - Ice', 'Increase Resonance Area - Circle']	A
ITEM_STATUS_ITEM_LIQUID_008_5	Liquid Ring	ITEM_LIQUID_008	130	['ITEM_EFF_EFFECT_0336', 'ITEM_EFF_EFFECT_0320', '']	[4, 2, '']	['Element Resonance - Ice', 'Increase Resonance Area - Circle']	S
ITEM_STATUS_ITEM_LIQUID_009_0	Ancient Blue Water	ITEM_LIQUID_009	50	['ITEM_EFF_EFFECT_0305', '', '']	[1, '', '']	['Synthesis: Quality Up']	E
ITEM_STATUS_ITEM_LIQUID_009_1	Ancient Blue Water	ITEM_LIQUID_009	64	['ITEM_EFF_EFFECT_0305', 'ITEM_EFF_EFFECT_0336', '']	[1, 1, '']	['Synthesis: Quality Up', 'Element Resonance - Ice']	D
ITEM_STATUS_ITEM_LIQUID_009_2	Ancient Blue Water	ITEM_LIQUID_009	80	['ITEM_EFF_EFFECT_0305', 'ITEM_EFF_EFFECT_0336', '']	[2, 1, '']	['Synthesis: Quality Up', 'Element Resonance - Ice']	C
ITEM_STATUS_ITEM_LIQUID_009_3	Ancient Blue Water	ITEM_LIQUID_009	98	['ITEM_EFF_EFFECT_0305', 'ITEM_EFF_EFFECT_0336', '']	[3, 2, '']	['Synthesis: Quality Up', 'Element Resonance - Ice']	B
ITEM_STATUS_ITEM_LIQUID_009_4	Ancient Blue Water	ITEM_LIQUID_009	115	['ITEM_EFF_EFFECT_0305', 'ITEM_EFF_EFFECT_0336', '']	[4, 2, '']	['Synthesis: Quality Up', 'Element Resonance - Ice']	A
