fieldmap_location_id	text_eng	text_jpn	text_chs	text_cht	text_deu	text_fra	text_kor	text_rus	text_spa
FIELDMAP_LOCATION_000	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_001	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_002	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_003	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_004	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_005	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_006	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_007	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_008	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
FIELDMAP_LOCATION_009	Shrine of Prayer <STR0>	祈念の社 <STR0>	祈愿神庙 <STR0>	祈願神廟 <STR0>	Gebetsschrein – <STR0>	Temple de prière - <STR0>	기원의 사당 <STR0>	Молитвенный храм <STR0>	Santuario del Rezo de <STR0>
