mix_skill_id	karma	name	desc
MIX_SKILL__00	0	{'text_eng': 'Fire Manipulation', 'text_jpn': '火を操る', 'text_chs': '操控火', 'text_cht': '操控火', 'text_deu': 'Feuer-Kontrolle', 'text_fra': 'Manipulation du feu', 'text_kor': '불꽃 제어', 'text_rus': 'Манипуляция огнем', 'text_spa': 'Manipulación del fuego'}	{'text_eng': 'Increases resonance area by <NUM0> when slot and ingredient elements match.', 'text_jpn': 'スロットと材料の属性一致時、共鳴範囲＋<NUM0>', 'text_chs': '材料槽与材料的属性一致时，共鸣范围+<NUM0>。', 'text_cht': '材料槽與材料的屬性一致時，共鳴範圍+<NUM0>。', 'text_deu': 'Vergrößert den Resonanzbereich um <NUM0>, wenn Plätze und Elemente der Zutaten übereinstimmen.', 'text_fra': 'Augmente la zone de résonance de <NUM0> lorsque les éléments des emplacements et des ingrédients correspondent.', 'text_kor': '슬롯과 재료의 속성이 일치하면공명범위＋<NUM0>', 'text_rus': 'Расширяет область резонанса на <NUM0> при совпадении стихий ячейки и ингредиента.', 'text_spa': 'Aumenta la zona de resonancia en <NUM0> cuando los elementos de los ingredientes y de la ranura coinciden.'}
MIX_SKILL__01	0	{'text_eng': 'Ice Manipulation', 'text_jpn': '氷を操る', 'text_chs': '操控冰', 'text_cht': '操控冰', 'text_deu': 'Eis-Kontrolle', 'text_fra': 'Manipulation de la glace', 'text_kor': '얼음 제어', 'text_rus': 'Манипуляция льдом', 'text_spa': 'Manipulación del hielo'}	{'text_eng': 'Increases resonance area by <NUM0> when slot and ingredient elements match.', 'text_jpn': 'スロットと材料の属性一致時、共鳴範囲＋<NUM0>', 'text_chs': '材料槽与材料的属性一致时，共鸣范围+<NUM0>。', 'text_cht': '材料槽與材料的屬性一致時，共鳴範圍+<NUM0>。', 'text_deu': 'Vergrößert den Resonanzbereich um <NUM0>, wenn Plätze und Elemente der Zutaten übereinstimmen.', 'text_fra': 'Augmente la zone de résonance de <NUM0> lorsque les éléments des emplacements et des ingrédients correspondent.', 'text_kor': '슬롯과 재료의 속성이 일치하면공명범위＋<NUM0>', 'text_rus': 'Расширяет область резонанса на <NUM0> при совпадении стихий ячейки и ингредиента.', 'text_spa': 'Aumenta la zona de resonancia en <NUM0> cuando los elementos de los ingredientes y de la ranura coinciden.'}
MIX_SKILL__02	0	{'text_eng': 'Bolt Manipulation', 'text_jpn': '雷を操る', 'text_chs': '操控雷', 'text_cht': '操控雷', 'text_deu': 'Elektro-Kontrolle', 'text_fra': 'Manipulation de la foudre', 'text_kor': '번개 제어', 'text_rus': 'Манипуляция молнией', 'text_spa': 'Manipulación del rayo'}	{'text_eng': 'Increases resonance area by <NUM0> when slot and ingredient elements match.', 'text_jpn': 'スロットと材料の属性一致時、共鳴範囲＋<NUM0>', 'text_chs': '材料槽与材料的属性一致时，共鸣范围+<NUM0>。', 'text_cht': '材料槽與材料的屬性一致時，共鳴範圍+<NUM0>。', 'text_deu': 'Vergrößert den Resonanzbereich um <NUM0>, wenn Plätze und Elemente der Zutaten übereinstimmen.', 'text_fra': 'Augmente la zone de résonance de <NUM0> lorsque les éléments des emplacements et des ingrédients correspondent.', 'text_kor': '슬롯과 재료의 속성이 일치하면공명범위＋<NUM0>', 'text_rus': 'Расширяет область резонанса на <NUM0> при совпадении стихий ячейки и ингредиента.', 'text_spa': 'Aumenta la zona de resonancia en <NUM0> cuando los elementos de los ingredientes y de la ranura coinciden.'}
MIX_SKILL__03	0	"{'text_eng': 'Air Manipulation', 'text_jpn': '風を操る', 'text_chs': '操控风', 'text_cht': '操控風', 'text_deu': 'Luft-Kontrolle', 'text_fra': ""Manipulation de l'air"", 'text_kor': '바람 제어', 'text_rus': 'Манипуляция воздухом', 'text_spa': 'Manipulación del aire'}"	{'text_eng': 'Increases resonance area by <NUM0> when slot and ingredient elements match.', 'text_jpn': 'スロットと材料の属性一致時、共鳴範囲＋<NUM0>', 'text_chs': '材料槽与材料的属性一致时，共鸣范围+<NUM0>。', 'text_cht': '材料槽與材料的屬性一致時，共鳴範圍+<NUM0>。', 'text_deu': 'Vergrößert den Resonanzbereich um <NUM0>, wenn Plätze und Elemente der Zutaten übereinstimmen.', 'text_fra': 'Augmente la zone de résonance de <NUM0> lorsque les éléments des emplacements et des ingrédients correspondent.', 'text_kor': '슬롯과 재료의 속성이 일치하면공명범위＋<NUM0>', 'text_rus': 'Расширяет область резонанса на <NUM0> при совпадении стихий ячейки и ингредиента.', 'text_spa': 'Aumenta la zona de resonancia en <NUM0> cuando los elementos de los ingredientes y de la ranura coinciden.'}
MIX_SKILL__04	0	{'text_eng': 'Harmony with Fire', 'text_jpn': '火との調和', 'text_chs': '与火调和', 'text_cht': '與火調和', 'text_deu': 'Feuer-Harmonie', 'text_fra': 'Harmonie avec le feu', 'text_kor': '불꽃과의 조화', 'text_rus': 'Гармония с огнем', 'text_spa': 'Armonía con el fuego'}	{'text_eng': 'Increases resonance area by <NUM0> and boosts quality by <NUM1> when slot and ingredient elements match.', 'text_jpn': 'スロットと材料の属性一致時、共鳴範囲＋<NUM0>、品質＋<NUM1>', 'text_chs': '材料槽与材料的属性一致时，共鸣范围+<NUM0>、品质+<NUM1>。', 'text_cht': '材料槽與材料的屬性一致時，共鳴範圍+<NUM0>、品質+<NUM1>。', 'text_deu': 'Vergrößert den Resonanzbereich um <NUM0> und die Qualität um <NUM1>, wenn Plätze und Elemente der Zutaten übereinstimmen.', 'text_fra': 'Augmente la zone de résonance de <NUM0> et la qualité de <NUM1> lorsque les éléments des emplacements et des ingrédients correspondent.', 'text_kor': '슬롯과 재료의 속성이 일치하면공명범위＋<NUM0>, 품질＋<NUM1>', 'text_rus': 'Расширяет область резонанса на <NUM0> и повышает качество на <NUM1> при совпадении стихий ячейки и ингредиента.', 'text_spa': 'Aumenta la zona de resonancia en <NUM0> y potencia la calidad en <NUM1> cuando los elementos de los ingredientes y de la ranura coinciden.'}
MIX_SKILL__05	0	{'text_eng': 'Harmony with Ice', 'text_jpn': '氷との調和', 'text_chs': '与冰调和', 'text_cht': '與冰調和', 'text_deu': 'Eis-Harmonie', 'text_fra': 'Harmonie avec la glace', 'text_kor': '얼음과의 조화', 'text_rus': 'Гармония со льдом', 'text_spa': 'Armonía con el hielo'}	{'text_eng': 'Increases resonance area by <NUM0> and boosts quality by <NUM1> when slot and ingredient elements match.', 'text_jpn': 'スロットと材料の属性一致時、共鳴範囲＋<NUM0>、品質＋<NUM1>', 'text_chs': '材料槽与材料的属性一致时，共鸣范围+<NUM0>、品质+<NUM1>。', 'text_cht': '材料槽與材料的屬性一致時，共鳴範圍+<NUM0>、品質+<NUM1>。', 'text_deu': 'Vergrößert den Resonanzbereich um <NUM0> und die Qualität um <NUM1>, wenn Plätze und Elemente der Zutaten übereinstimmen.', 'text_fra': 'Augmente la zone de résonance de <NUM0> et la qualité de <NUM1> lorsque les éléments des emplacements et des ingrédients correspondent.', 'text_kor': '슬롯과 재료의 속성이 일치하면공명범위＋<NUM0>, 품질＋<NUM1>', 'text_rus': 'Расширяет область резонанса на <NUM0> и повышает качество на <NUM1> при совпадении стихий ячейки и ингредиента.', 'text_spa': 'Aumenta la zona de resonancia en <NUM0> y potencia la calidad en <NUM1> cuando los elementos de los ingredientes y de la ranura coinciden.'}
MIX_SKILL__06	0	{'text_eng': 'Harmony with Bolt', 'text_jpn': '雷との調和', 'text_chs': '与雷调和', 'text_cht': '與雷調和', 'text_deu': 'Elektro-Harmonie', 'text_fra': 'Harmonie avec la foudre', 'text_kor': '번개와의 조화', 'text_rus': 'Гармония с молнией', 'text_spa': 'Armonía con el rayo'}	{'text_eng': 'Increases resonance area by <NUM0> and boosts quality by <NUM1> when slot and ingredient elements match.', 'text_jpn': 'スロットと材料の属性一致時、共鳴範囲＋<NUM0>、品質＋<NUM1>', 'text_chs': '材料槽与材料的属性一致时，共鸣范围+<NUM0>、品质+<NUM1>。', 'text_cht': '材料槽與材料的屬性一致時，共鳴範圍+<NUM0>、品質+<NUM1>。', 'text_deu': 'Vergrößert den Resonanzbereich um <NUM0> und die Qualität um <NUM1>, wenn Plätze und Elemente der Zutaten übereinstimmen.', 'text_fra': 'Augmente la zone de résonance de <NUM0> et la qualité de <NUM1> lorsque les éléments des emplacements et des ingrédients correspondent.', 'text_kor': '슬롯과 재료의 속성이 일치하면공명범위＋<NUM0>, 품질＋<NUM1>', 'text_rus': 'Расширяет область резонанса на <NUM0> и повышает качество на <NUM1> при совпадении стихий ячейки и ингредиента.', 'text_spa': 'Aumenta la zona de resonancia en <NUM0> y potencia la calidad en <NUM1> cuando los elementos de los ingredientes y de la ranura coinciden.'}
MIX_SKILL__07	0	"{'text_eng': 'Harmony with Air', 'text_jpn': '風との調和', 'text_chs': '与风调和', 'text_cht': '與風調和', 'text_deu': 'Luft-Harmonie', 'text_fra': ""Harmonie avec l'air"", 'text_kor': '바람과의 조화', 'text_rus': 'Гармония с воздухом', 'text_spa': 'Armonía con el aire'}"	{'text_eng': 'Increases resonance area by <NUM0> and boosts quality by <NUM1> when slot and ingredient elements match.', 'text_jpn': 'スロットと材料の属性一致時、共鳴範囲＋<NUM0>、品質＋<NUM1>', 'text_chs': '材料槽与材料的属性一致时，共鸣范围+<NUM0>、品质+<NUM1>。', 'text_cht': '材料槽與材料的屬性一致時，共鳴範圍+<NUM0>、品質+<NUM1>。', 'text_deu': 'Vergrößert den Resonanzbereich um <NUM0> und die Qualität um <NUM1>, wenn Plätze und Elemente der Zutaten übereinstimmen.', 'text_fra': 'Augmente la zone de résonance de <NUM0> et la qualité de <NUM1> lorsque les éléments des emplacements et des ingrédients correspondent.', 'text_kor': '슬롯과 재료의 속성이 일치하면공명범위＋<NUM0>, 품질＋<NUM1>', 'text_rus': 'Расширяет область резонанса на <NUM0> и повышает качество на <NUM1> при совпадении стихий ячейки и ингредиента.', 'text_spa': 'Aumenta la zona de resonancia en <NUM0> y potencia la calidad en <NUM1> cuando los elementos de los ingredientes y de la ranura coinciden.'}
MIX_SKILL__08	0	{'text_eng': 'Mass-Production System', 'text_jpn': '量産体制', 'text_chs': '量产体制', 'text_cht': '量產體制', 'text_deu': 'Massenproduktionssystem', 'text_fra': 'Système de production de masse', 'text_kor': '양산 체제', 'text_rus': 'Система массового производства', 'text_spa': 'Sistema de producción en masa'}	"{'text_eng': 'Increases quantity by 1 when the number of ingredients added reaches <NUM0>.', 'text_jpn': '投入回数<NUM0>回につき、作成個数＋１', 'text_chs': '每放入<NUM0>次，制作个数+1。', 'text_cht': '每放入<NUM0>次，製作個數+1。', 'text_deu': 'Erhöht die Menge um 1, wenn die Anzahl der hinzugefügten Zutaten <NUM0> erreicht.', 'text_fra': ""Augmente la quantité de\xa01 lorsque le nombre d'ingrédients ajoutés atteint\xa0<NUM0>."", 'text_kor': '투입횟수 <NUM0>회당, 제작개수＋1', 'text_rus': 'Увеличивает количество на 1, когда число добавленных ингредиентов достигает <NUM0>.', 'text_spa': 'Aumenta en\xa01 la cantidad cuando el número de ingredientes añadidos llega a <NUM0>.'}"
MIX_SKILL__11	0	{'text_eng': 'Novice Alchemist', 'text_jpn': '駆け出し錬金術士', 'text_chs': '新手炼金术士', 'text_cht': '新手鍊金術士', 'text_deu': 'Anfänger-Alchemist', 'text_fra': 'Alchimiste novice', 'text_kor': '신출내기 연금술사', 'text_rus': 'Начинающий алхимик', 'text_spa': 'Alquimista principiante'}	{'text_eng': 'Increases resonance area by <NUM0> and quality by <NUM1> when adding an ingredient from the neutralizer category.', 'text_jpn': '「中和剤」カテゴリの材料投入時、共鳴範囲＋<NUM0>、品質＋<NUM1>', 'text_chs': '放入类别为“中和剂”的材料时，共鸣范围+<NUM0>、品质+<NUM1>。', 'text_cht': '放入「中和劑」類別的材料時，共鳴範圍+<NUM0>、品質+<NUM1>。', 'text_deu': 'Vergrößert den Resonanzbereich um <NUM0> und Qualität um <NUM1>, wenn eine Zutat der Kategorie „Neutralisator“ hinzugefügt wird.', 'text_fra': 'Augmente la zone de résonance de <NUM0> et la qualité de <NUM1> en ajoutant un ingrédient de la catégorie Neutralisant.', 'text_kor': '「중화제」 카테고리의 재료를 투입하면공명범위＋<NUM0>, 품질＋<NUM1>', 'text_rus': 'Усиливает область воздействия на <NUM0> и качество на <NUM1> при добавлении ингредиента из категории нейтрализаторов.', 'text_spa': 'Potencia la zona de influencia en <NUM0> y la calidad en <NUM1> cuando se añade un ingrediente de la categoría de neutralizadores.'}
