monster_id	text_eng	desc_eng	text_jpn	desc_jpn	text_chs	desc_chs	text_cht	desc_cht	text_deu	desc_deu	text_fra	desc_fra	text_kor	desc_kor	text_rus	desc_rus	text_spa	desc_spa	img_no	race	break_symbol	break_weak_phys	fire	ice	bolt	air	star_hp	star_atk	star_def	star_spd	status_resist	disp_flag	rate	drop	rare_rate	rare_drop	trait	trait_rate	piece	piece_rate	table_id	drop_tag	rare_drop_tag	trait_id
MONSTER_PUNI_00	Blue Puni	A species of monster that can be found in all regions of the world. Weak and easily chased away from dwellings, they pose no threat whatsoever. They do occasionally fall from the sky on rainy days, so it's best to keep an eye out for any errant Puni.	青ぷに	世界中どこにでも生息している魔物。人家の近くに現れても簡単に追い払われてしまうくらい弱いため脅威ではない。雨の日に、たまに上から降ってくることがあるため、頭上に注意	蓝噗尼	栖息在世界各地的魔物。弱小到即使出现在民宅附近也能被轻易赶走，因此不会构成威胁。偶尔会在雨天从天而降，还请务必小心头顶。	藍噗尼	棲息在世界各地的魔物。弱小到即使出現在民宅附近也能輕易趕走，因此不構成威脅。偶爾會在雨天從天而降，還請務必小心頭上。	Blaues Puni	Eine Monsterspezies, die in allen Regionen der Welt zu finden ist. Sie sind schwach und leicht zu verscheuchen und stellen somit keine größere Gefahr dar. An Regentagen fallen sie gelegentlich vom Himmel herab, daher sollte man stets seine Augen nach ihnen offenhalten.	Puni bleu	Une espèce de monstre que l'on trouve aux quatre coins du monde. Faibles et faciles à chasser de leur habitat, ils ne constituent pas la moindre menace. Ils peuvent tomber du ciel en cas de pluie, alors restez sur vos gardes si vous croisez un Puni errant.	파랑 푸니	어디서든 흔히 볼 수 있는 몬스터. 집 근처에 나타나도 쉽게 쫓아낼 정도로 약해서 위협적이지 않다. 비 오는 날, 가끔 하늘에서 떨어질 수 있으니 머리 위를 조심할 것	Синий пуни	Этих чудовищ можно встретить во всех уголках света. Они слабые, их легко отогнать от жилищ, и они не представляют никакой угрозы. Правда, в дождливые дни они иногда падают с неба, так что надо быть настороже, чтобы не наткнуться на пуни там, где вы меньше всего этого ждете.	Puni azul	Una especie de monstruo que se encuentra en todas las regiones del mundo. No suponen ninguna amenaza, ya que son débiles y no cuesta nada echarlos de las casas. De vez en cuando, caen del cielo en los días lluviosos, así que es mejor estar atento a cualquier Puni errante.	0	Puni	5	True	RESIST	WEAK			1	1	1	1	[0, 0, 0, 20, 0, 0, 0, 0, 50, 0]	1	30	Blue Puniball	100	Clean Water	Puni Slayer	10	ICE	50	['MONSTER_DROP_TABLE_00', 'MONSTER_DROP_TABLE_01', 'MONSTER_DROP_TABLE_02']	ITEM_PUNIPUNI_001	ITEM_LIQUID_001	ITEM_TRAIT_TRAIT_051
MONSTER_PUNI_01	Green Puni	A type of Puni that most commonly appears in fields and forests. If you happen to disturb one while it's sunbathing, it won't hesitate to roll after you in an aggravated huff. Even so, outrunning one of these is a simple enough task.	緑ぷに	草原や森などに生息するぷに。近づいたり日光浴の邪魔をしたりすると怒って転がりながら追いかけてくる。仮にそうなったとしても、すぐに逃げれば簡単に逃げ切れる	绿噗尼	栖息在草原与森林等地的噗尼。一旦靠近它或不慎打扰它晒太阳，就会生气地滚动追击过来。即便如此，只要马上开溜就能轻松逃掉。	綠噗尼	棲息在草原與森林等處的噗尼。假如靠近牠或打擾牠曬太陽，就會生氣地滾動追擊過來。就算如此，只要馬上逃走就能輕易甩掉。	Grünes Puni	Eine Puni-Art, die für gewöhnlich auf Wiesen und in Wäldern beheimatet ist. Stört man sie beim Sonnenbaden, kann man es schnell mit einem wütend gewordenen Exemplar zu tun bekommen. Ihnen zu entkommen, ist aber keine besondere Herausforderung.	Puni vert	Une espèce de Puni que l'on trouve communément dans les champs et les forêts. Si vous en dérangez un pendant son bain de soleil, il prendra un air agacé et n'hésitera pas à se ruer sur vous. Ceci étant, ce ne sera pas bien difficile de le semer.	초록 푸니	초원이나 숲 등에서 살고 있는 푸니. 다가가거나 일광욕을방해하면 화가 나서 구르며 쫓아온다. 만일 그렇게 되더라도 바로 도망치면 쉽게 뿌리칠 수 있다	Зеленый пуни	Этих пуни чаще всего можно встретить в полях и лесах. Если помешать зеленому пуни принимать солнечные ванны, он не побоится покатиться на вас, сердито пыхтя. Впрочем, убежать от него — дело несложное.	Puni verde	Un tipo de Puni que suele aparecer en campos y bosques. Persigue rodando y muy enfadado a quien le moleste mientras toma el sol; a pesar de esta advertencia, dejar atrás a uno es una tarea bastante sencilla.	1	Puni	5	True	WEAK			RESIST	2	1	1	1	[0, 0, 0, 0, 0, 0, 0, 0, 50, 0]	1	30	Green Puniball	100	Fresh Spring Water	Puni Slayer	10	AIR	50	['MONSTER_DROP_TABLE_00', 'MONSTER_DROP_TABLE_01', 'MONSTER_DROP_TABLE_02']	ITEM_PUNIPUNI_002	ITEM_LIQUID_004	ITEM_TRAIT_TRAIT_051
MONSTER_PUNI_02	Red Puni	Red Puni burn with an inner blaze. While their exteriors aren't hot enough to cause serious injury, careless handling can cause burns. These little hellions are constantly seeking out new enemies to fight.	赤ぷに	全身に熱を持つ赤いぷに。触れたものを焼くほどではないが、素手で触れれば火傷するくらいには熱い。好戦的で、常にきょろきょろとしながら敵を探している	红噗尼	全身热呼呼的红噗尼。它的热度不至于让接触到的物体燃烧，却足以让徒手触摸它的人烫伤。相当好战，经常四处张望寻找敌人。	紅噗尼	全身熱呼呼的紅噗尼。牠的熱度不至於讓接觸到的物體燃燒，卻足以讓徒手觸摸牠的人燙傷。相當好戰，經常四處張望尋找敵人。	Rotes Puni	Auch wenn im Inneren eines Roten Puni eine lodernde Glut zu erkennen ist, reicht diese Hitze nicht aus, um bei Berührung Verletzungen zu verursachen. Geht man jedoch zu unachtsam mit ihnen um, bleiben auch Verbrennungen nicht aus. Diese kleinen Teufelsbraten sind stets auf der Suche nach Gegnern, um mit ihnen zu kämpfen.	Puni rouge	Les Punis rouges brûlent d'un véritable feu intérieur. Bien que leur peau ne soit pas suffisamment chaude pour infliger des blessures, il faut les manipuler avec précaution pour éviter de se brûler. Ces petits fauteurs de trouble cherchent constamment des ennemis à affronter.	빨강 푸니	온몸에 열이 있는 빨간 푸니. 닿은 것을 구울 정도는 아니지만, 맨손으로 만지면 화상을 입을 정도로 뜨겁다. 호전적인 성격이라 항상 주변을 두리번거리며 적을 찾고 있다	Красный пуни	Красные пуни горят внутренним огнем. Снаружи они не настолько горячие, чтобы нанести серьезную травму, но если неосторожно обращаться с ними, запросто можно заработать ожог. Эти маленькие хулиганы постоянно ищут, с кем бы подраться.	Puni rojo	Los Puni rojos arden desde el interior y, aunque el exterior no está tan caliente como para provocar heridas graves, tocarlos sin precaución podría causar quemaduras. Estos bribonzuelos buscan constantemente enemigos con los que pelear.	2	Puni	5	True	RESIST	WEAK			1	2	1	1	[0, 0, 0, 20, 0, 0, 0, 0, 50, 0]	1	30	Red Puniball	100	Subterranean Water	Puni Slayer	10	FIRE	50	['MONSTER_DROP_TABLE_00', 'MONSTER_DROP_TABLE_01', 'MONSTER_DROP_TABLE_02']	ITEM_PUNIPUNI_003	ITEM_LIQUID_002	ITEM_TRAIT_TRAIT_051
MONSTER_PUNI_03	Purple Puni	Purple Puni exude a pungent, herbal scent that quickly betrays their presence. Their breath is so strong-smelling that it can deal damage on its own.	紫ぷに	強烈な香りを放つ紫色のぷに。鼻にツンとくるハーブ系の香りを放つため、近くにいるとすぐにわかる。このぷにのブレスはあまりに臭いが強く、それだけでダメージを負うほど	紫噗尼	散发强烈香气的紫色噗尼。身体会释放呛鼻的香草气味，光是在附近就能立刻察觉其存在。这种噗尼的吐息味道过于强烈，以至于仅仅是闻到都会受到伤害。	紫噗尼	散發強烈香氣的紫色噗尼。由於會釋放嗆鼻的香草氣味，光是在附近就能立刻察覺其存在。這種噗尼的吐息味道強烈到甚至光是聞到就會受傷的程度。	Lila Puni	Lila Puni verströmen einen scharfen, pflanzlichen Duft, der ihre Anwesenheit schnell verrät. Ihr Atem riecht so stark, dass er allein schon ausreicht, um Schaden zu erteilen.	Puni violet	Les Punis violets exsudent une odeur âcre et herbacée qui trahit rapidement leur présence. Leur mauvaise haleine est si puissante qu'ils peuvent infliger des dégâts avec leur souffle.	보라 푸니	강렬한 향기를 풍기는 보라색 푸니. 코에 톡 쏘는 허브향이 나기 때문에 가까이 있으면 금방 알 수 있다.이 푸니의 숨결은 냄새가 너무 심해서 그것만으로도 대미지를 입을 수 있다	Фиолетовый пуни	От фиолетовых пуни исходит резкий растительный запах, который сразу же выдает их присутствие. Их дыхание пахнет так сильно, что само по себе может наносить урон.	Puni púrpura	Los Puni púrpuras desprenden un intenso aroma a hierbas que delata su presencia. Su aliento huele tan fuerte que puede causar daños por sí solo.	3	Puni	5	True	RESIST	WEAK			2	1	2	1	[0, 0, 0, 20, 0, 0, 0, 0, 50, 0]	1	30	Purple Puniball	100	Rosy Water Bamboo	Puni Slayer	10	ICE	50	['MONSTER_DROP_TABLE_00', 'MONSTER_DROP_TABLE_01', 'MONSTER_DROP_TABLE_02']	ITEM_PUNIPUNI_004	ITEM_LIQUID_006	ITEM_TRAIT_TRAIT_051
MONSTER_PUNI_04	Black Puni	Black Puni are good at hiding in darkness or shadow and startling those who draw near. Composed primarily of sludge, grime, and oil, they are, in a word, filthy. Expect battles with them to be downright dirty.	黒ぷに	暗がりや日陰に隠れ、近寄る人間を驚かしたり襲撃することを得意とする黒いぷに。汚泥や油などで構成されているため、簡単に言ってしまえばとても汚い。汚れるのを覚悟して戦おう	黑噗尼	黑色的噗尼。擅长躲在暗处或阴影中吓唬、袭击路过的人。由污泥和油等物质构成，简单来说非常得脏。跟它战斗前，要做好会被弄脏的心理准备。	黑噗尼	黑色的噗尼，擅長躲在暗處或陰影中嚇唬、襲擊路過的人。由於是由汙泥和油之類的物質所構成，簡單來說就是非常骯髒。跟牠戰鬥前，要做好會弄髒的心理準備。	Schwarzes Puni	Schwarze Puni verstehen sich darauf, sich in der Dunkelheit oder in Schatten zu verstecken und jeden zu erschrecken, der sich ihnen nähert. Da sie hauptsächlich aus Schlamm, Ruß und Öl bestehen, sind sie alles andere als reinliche Wesen. Bei einem Kampf mit ihnen sollte man sich auf Verschmutzungen allerlei Art gefasst machen.	Puni noir	Les Punis noirs sont particulièrement doués pour se cacher dans les ténèbres et faire peur à ceux qui s'approchent. Ils sont principalement constitués de vase, de crasse et de cambouis. En un mot, ils sont répugnants. Ne vous attendez pas à un combat propre.	블랙 푸니	어두운 곳이나 그늘에 숨어 다가오는 인간을 놀라게 하거나 습격하는 검은 푸니. 노폐물이나 기름으로 이루어져 있기 때문에, 쉽게 말해 매우 더럽다. 더러워질 것은 각오하고 싸우자	Черный пуни	Черные пуни отлично умеют прятаться в темноте или тенях, чтобы выскочить и напугать тех, кто подойдет слишком близко. В основном они состоят из ила, сажи, нефти... одним словом, всякой грязи. После сражения с ними придется долго отмываться.	Puni negro	A los Puni negros se les da bien esconderse en la oscuridad o en las sombras para asustar a quien pase por su lado. Están compuestos en su mayoría de lodo, mugre y aceite, y son, en pocas palabras, inmundicia pura, por eso, las batallas contra ellos son bastante sucias.	4	Puni	5	True	RESIST	WEAK			2	2	2	2	[0, 0, 0, 20, 0, 0, 0, 0, 50, 0]	1	30	Black Puniball	100	Black Water	Puni Slayer	10	THUNDER	50	['MONSTER_DROP_TABLE_00', 'MONSTER_DROP_TABLE_01', 'MONSTER_DROP_TABLE_02']	ITEM_PUNIPUNI_005	ITEM_LIQUID_005	ITEM_TRAIT_TRAIT_051
MONSTER_PUNI_05	White Puni	A pure white Puni without so much as a speck of dust. Lovers of cleanliness, White Puni will mercilessly attack anyone who mars their pristine form. They also enjoy playing tag with their fellows.	白ぷに	汚れ一つない純白のぷに。きれい好きなぷにで、自分を汚そうとする相手には容赦なく襲い掛かる。仲間のぷにと追いかけっこをするのが好き	白噗尼	不带半点污渍的纯白噗尼。这种噗尼很爱干净，对于试图弄脏自己的人会毫不留情地发起攻击。喜欢和同伴一起玩你追我赶。	白噗尼	沒有半點髒汙的純白噗尼。這種噗尼很愛乾淨，對想弄髒自己的人會發動毫不留情的攻擊。喜歡跟同伴玩你追我跑。	Weißes Puni	Ein sauberes, weißes Puni ohne auch nur die geringste Verunreinigung. Sie lieben die Reinlichkeit und greifen jeden skrupellos an, der ihre makellose Form zerstören will. Sie verbringen außerdem gerne Zeit damit, mit ihresgleichen Fangen zu spielen.	Puni blanc	Un Puni d'une blancheur immaculée. Fervents amateurs de propreté, les Punis blancs attaquent tous ceux qui osent souiller leur pureté sans la moindre pitié. Ils aiment aussi jouer au chat et à la souris avec leurs congénères.	화이트 푸니	전혀 오염되지 않은 순백색 푸니. 깨끗한 것을 좋아하며 자신을 더럽히려는 상대에게는 가차 없이 덤빈다. 같은 푸니들과 술래잡기하는 것을 좋아한다	Белый пуни	Ослепительно белые пуни, на которых не бывает ни единой пылинки. Они страстно любят чистоту и безжалостно атакуют любого, кто нарушит их первозданный вид. А еще они обожают играть в пятнашки со своими собратьями.	Puni blanco	Un Puni blanco prístino sin una mota de polvo. Los Puni blancos adoran la limpieza y atacarán sin piedad a cualquiera que mancille su inmaculada presencia. Uno de sus pasatiempos favoritos es jugar al pillapilla con sus congéneres.	5	Puni	5	True	RESIST	WEAK			2	2	2	2	[0, 0, 0, 20, 0, 0, 0, 0, 50, 0]	1	30	White Puniball	100	Subterranean Water	Puni Slayer	10	FIRE	50	['MONSTER_DROP_TABLE_00', 'MONSTER_DROP_TABLE_01', 'MONSTER_DROP_TABLE_02']	ITEM_PUNIPUNI_006	ITEM_LIQUID_002	ITEM_TRAIT_TRAIT_051
MONSTER_PUNI_06	Silver Puni	Clad in sparkling silver, these Puni are every bit as reflective as a mirror. While not as hard as actual metal, they are highly elastic, so ramming attacks made by these Puni shouldn't be taken lightly.	シルバーぷに	鏡面のように輝く身体をした銀色のぷに。金属のような硬度はないが、弾力がとても強いため、このぷにの体当たり攻撃には注意した方がいい	银噗尼	身体如镜面般光亮的银色噗尼。虽然没有金属般的硬度，却具有极强的弹性，因此最好小心这种噗尼的冲撞攻击。	銀噗尼	身體如鏡面般光亮的銀色噗尼。雖然沒有金屬般的硬度，卻有非常強的彈力，因此最好小心這種噗尼的衝撞攻擊。	Silbernes Puni	Die silbern funkelnden Puni vermögen es Reflexionen zu erzeugen, genau wie Spiegel. Sie sind zwar nicht so hart wie Metall, aber äußerst elastisch, so dass Rammattacken dieser Puni nicht auf die leichte Schulter genommen werden sollten.	Puni argenté	L'épiderme argenté et étincelant de ces Punis reflète la lumière comme un miroir. Pas aussi solides que le métal, ils sont cependant très élastiques, c'est pourquoi il faut faire très attention à leurs attaques.	실버 푸니	몸이 거울처럼 빛나는 은빛 푸니. 금속 같은 경도는 아니지만 탄력이 매우 강하기 때문에, 이 푸니의 부딪치기 공격에는 주의하는 것이 좋다	Серебряный пуни	Эти пуни одеты в сверкающее серебро и отражают свет, словно зеркало. Прочностью они уступают настоящему металлу, зато очень эластичны, поэтому следует опасаться, когда они идут на таран.	Puni plateado	Estos Puni, chapados en plata brillante, son tan reflectantes como un espejo. Aunque no comparten dureza con este metal, son tan elásticos que sus embestidas no se deben tomar a la ligera.	6	Puni	5	True	RESIST	WEAK			2	2	3	2	[0, 0, 0, 0, 0, 0, 0, 0, 50, 30]	1	30	Silver Puniball	100	Refreshing Sap	Puni Slayer	10	ICE	50	['MONSTER_DROP_TABLE_00', 'MONSTER_DROP_TABLE_01', 'MONSTER_DROP_TABLE_02']	ITEM_PUNIPUNI_007	ITEM_ELIXIL_001	ITEM_TRAIT_TRAIT_051
MONSTER_PUNI_07	Gold Puni	A golden Puni that dazzles with almost divine radiance. Although it's said that encountering one will bring luck with money, due to their strength and aggressive nature, it's much better for travelers' fortunes to turn and run than to stop and pray.	ゴールドぷに	神々しいまでに輝く金色のぷに。金運をもたらしてくれるという言い伝えが存在するが、かなり強くて好戦的な性格の持ち主なので出会った際には手を合わせて祈るよりも先に、全力で逃げるべきだ	金噗尼	耀眼到散发出神圣光芒的金色噗尼。传说这种噗尼能够带来财运，不过其实力强劲且个性十分好战，若不幸遇到，比起双手合十对着它许愿，更该全力逃跑。	金噗尼	耀眼到散發出神聖氛圍的金色噗尼。傳說這種噗尼能够帶來財運，但由於相當強大且個性十分好戰，若真遇見了，比起雙手合十對著牠許願，更該先全力逃跑。	Goldenes Puni	Ein goldfarbenes Puni, dessen Glanz eine beinah göttliche Ausstrahlung besitzt. Man sagt zwar, dass auf ein goldenes Puni zu treffen, einem einen Geldsegen beschert, jedoch ist es aufgrund ihrer Stärke und aggressiven Natur ratsam, schnell das Weite zu suchen.	Puni doré	Un Puni doré éblouissant à l'apparence presque divine. D'après la légende, ces Punis apportent bonheur et argent à ceux qui les croisent. Cependant, compte tenu de leur puissance et de leur agressivité naturelle, mieux vaut les éviter que les vénérer.	골드 푸니	신성할 정도로 빛나는 황금빛 푸니. 금전운을 가져다준다는 전설이 있지만, 상당히 강하고 호전적인 성격 탓에 마주쳤을 때는 기도할 것이 아니라 전력을 다해 도망쳐야 한다	Золотой пуни	Золотые пуни, ослепляющие своим почти божественным сиянием. Говорят, что встреча с ними сулит удачу и богатство, но они настолько сильные и злобные, что удача скорее придет, если повернуться и бежать со всех ног.	Puni dorado	Un Puni dorado que deslumbra con un resplandor casi divino. Aunque se dice que encontrarse con uno traerá grandes riquezas, como son fuertes y agresivos, es mucho mejor para la fortuna de los viajeros dar media vuelta y salir corriendo que pararse a pedir deseos.	7	Puni	5	True	RESIST	WEAK			3	3	3	3	[0, 0, 0, 0, 0, 0, 0, 0, 50, 50]	1	30	Gold Puniball	100	Amber Crystal	Puni Slayer	10	THUNDER	50	['MONSTER_DROP_TABLE_00', 'MONSTER_DROP_TABLE_01', 'MONSTER_DROP_TABLE_02']	ITEM_PUNIPUNI_008	ITEM_GEMSTONE_002	ITEM_TRAIT_TRAIT_051
MONSTER_PUNI_08	Rainbow Puni	A Puni that shines with all the colors of the rainbow. When the sun hits one of these just right, the shades ripple and change, resulting in an awe-inspiring display.	レインボーぷに	まるで虹のように輝く身体を持つぷに。光の当たり具合によって色合いが変わるため虹が波打っているように見える	彩虹噗尼	身体光泽宛如彩虹的噗尼。在不同光线照射下会呈现出不同色调，看起来就像是彩虹波浪。	彩虹噗尼	身體的光輝宛如彩虹的噗尼。在不同光線照射下會呈現出不同色調，看起來就像是彩虹波浪。	Regenbogen-Puni	Ein Puni, das in allen Farben des Regenbogens erstrahlt. Je nachdem wie die Sonne auf dieses Puni fällt, verändern sich die Farbverläufe, was zu einem beeindruckenden Schauspiel führt.	Puni arc-en-ciel	Un Puni qui brille de toutes les couleurs de l'arc-en-ciel. Lorsque les rayons du soleil l'atteignent sous un angle précis, ces nuances ondoient et fluctuent, produisant un spectacle à couper le souffle.	레인보우 푸니	몸이 마치 무지개처럼 빛나는 푸니. 빛이 드는 정도에 따라 색깔이 달라지기 때문에 무지개가 물결치는 것처럼 보인다	Радужный пуни	Пуни, сверкающие всеми цветами радуги. Когда солнечный свет падает на такого пуни под правильным углом, все его оттенки переливаются и меняются, создавая потрясающее зрелище.	Puni arcoíris	Un Puni que brilla con los colores del arcoíris. Cuando el sol incide de lleno, los tonos van cambiando y el espectáculo deja a más de uno con la boca abierta.	8	Puni	5	True	RESIST	WEAK			3	3	4	3	[0, 0, 0, 0, 0, 0, 0, 0, 50, 50]	1	30	Rainbow Puniball	100	Color-Changing Leaf	Puni Slayer	10	AIR	50	['MONSTER_DROP_TABLE_00', 'MONSTER_DROP_TABLE_01', 'MONSTER_DROP_TABLE_02']	ITEM_PUNIPUNI_009	ITEM_PLANT_015	ITEM_TRAIT_TRAIT_051
MONSTER_PUNI_09	Big Puni	A Blue Puni that has grown to a large size. It is thought that this uncommon growth is caused by either diet or genetics, but the exact reasons are not yet known.	でかぷに	大きく成長した青ぷに。すべてのぷにが大きくなるわけではなく、選ばれたぷにのみが大きく成長する。食べたものや遺伝によるものだと考えられているが、理由はまだ分かっていない	巨大噗尼	长成巨无霸的蓝噗尼。在茫茫的噗尼海中，只有少数的天选噗尼可以长成巨无霸。根据推测，食物或遗传都有可能是导致这种差异的原因，但真实的情况为何，目前仍未明了。	巨大噗尼	長成巨無霸的藍噗尼。在茫茫的噗尼海中，只有少數的天選噗尼可以長成巨無霸。根據推測，食物或遺傳都有可能是導致這種差異的原因，但真實的情況為何，目前仍未見明朗。	Großes Puni	Ein blaues Puni, das sehr groß geworden ist. Dieses ungewöhnliche Wachstum ist vermutlich entweder auf die Ernährung oder die Gene zurückzuführen, aber die genauen Gründe sind noch unbekannt.	Grand Puni	Un Puni bleu particulièrement grand. On pense que sa taille exceptionnelle serait liée à son alimentation ou à ses gènes, mais à ce jour, la cause reste un mystère.	거대 푸니	크게 성장한 파랑 푸니. 모든 푸니가 커지는 것은 아니고, 선택된 푸니만이 크게 성장한다. 먹이나 유전에 의한 것이라 여겨지고 있으나, 원인은 아직 밝혀지지 않았다	Большой пуни	Большой синий пуни. Считается, что некоторые пуни вырастают до таких размеров благодаря особой диете или генетике, но точная причина пока неизвестна.	Gran Puni	Un Puni azul que ha crecido muchísimo. Se cree que este crecimiento anómalo está vinculado a su dieta o la genética, pero las razones exactas siguen siendo un misterio.	9	Puni	30	True	RESIST	WEAK			3	2	2	2	[0, 0, 0, 100, 0, 0, 0, 0, 50, 0]	1	30	Giant Puniball	100	Solflower	Puni Slayer	10	ICE	50	['MONSTER_DROP_TABLE_00', 'MONSTER_DROP_TABLE_01', 'MONSTER_DROP_TABLE_02']	ITEM_MAT_249	ITEM_FLOWER_009	ITEM_TRAIT_TRAIT_051
