text_eng	text_jpn	text_chs	text_cht	text_deu	text_fra	text_kor	text_rus	text_spa
Quality Up	品質アップ	品质提升	品質上升	Qualitäts-Erhöhung	Augmentation de la qualité	품질 UP	Выше качество	Más calidad
ATK Up	攻撃力アップ	攻击力提升	攻擊力上升	ANG-Erhöhung	Augmentation ATQ	공격력 UP	Выше АТК	Más ATQ
DEF Up	防御力アップ	防御力提升	防禦力上升	VRT-Erhöhung	Augmentation DÉF	방어력 UP	Выше ЗЩТ	Más DEF
SPD Up	素早さアップ	敏捷提升	敏捷上升	TMP-Erhöhung	Augmentation VIT	민첩성 UP	Выше СКР	Más VEL
HP Up	HPアップ	HP提升	HP上升	LP-Erhöhung	Augmentation PV	HP UP	Выше ОЗ	Más PS
Increase Resonance Area	共鳴範囲拡大	共鸣范围扩大	共鳴範圍擴大	Resonanzbereich erhöhen	Augmentation zone de résonance	공명범위 확대	Увеличенная область резонанса	Aumenta la zona de resonancia
Add Slot	スロット追加	追加材料槽	追加材料槽	Platz hinzufügen	Ajout d'emplacement	슬롯 추가	Добавить ячейку	Nueva ranura
Add Effect	効果追加	追加效果	追加效果	Effekt hinzufügen	Ajout d'effet	효과 추가	Дополнительный эффект	Añadir efecto
Increase Base Resonance Count	初期共鳴数増加	初始共鸣数增加	初始共鳴數增加	Basis-Resonanzenanzahl erhöhen	Aug. nb. de résonances de base	초기 공명 수 증가	Выше базовый объем резонанса	Aumenta las resonancias de base
Increase Quantity	作成個数増加	制作个数增加	製作個數增加	Menge erhöhen	Augmentation quantité	제작개수 증가	Увеличить количество	Aumenta la cantidad
Learn Recipe	レシピ習得	习得配方	習得配方	Rezept erlernen	Apprentissage de la recette	레시피 습득	Изучить рецепт	Aprender receta
Item Uses Up	使用回数増加	使用次数增加	使用次數增加	Erhöhung der Anzahl an Verwendungen für Gegenstände	Augmentation nombre d'utilisations d'objet	사용횟수 증가	Больше использований предмета	Más usos de objetos
Treasure Trove	宝物庫	宝物库	寶物庫	Schatzkammer	Salle aux trésors	보물고	Сокровищница	Tesoro oculto
Mana Geyser	マナ間欠泉	玛那间歇泉	瑪那間歇泉	Mana-Geysir	Geyser de mana	마나 간헐천	Гейзер маны	Géiser de maná
Particles	残響片	余音断片	餘音斷片	Partikel	Particules	잔향입자	Частицы	Partículas
Memory Vial	伝想器	传忆器	傳憶器	Erinnerungsphiole	Fiole de mémoire	전상기	Сосуд памяти	Vial de recuerdos
Items	アイテム	道具	道具	Gegenstände	Objets	아이템	Предметы	Objetos
Monsters	魔物	魔物	魔物	Monster	Monstres	몬스터	Чудовища	Monstruos
Monster Species	魔物種族	魔物种族	魔物種族	Monsterspezies	Espèces de monstre	몬스터 종족	Виды чудовищ	Especies de monstruos
HP	HP	HP	HP	LP	PV	HP	ОЗ	PS
ATK	攻撃力	攻击力	攻擊力	ANG	ATQ	공격력	АТК	ATQ
DEF	防御力	防御力	防禦力	VRT	DÉF	방어력	ЗЩТ	DEF
SPD	素早さ	敏捷	敏捷	TMP	VIT	민첩성	СКР	VEL
Atelier Yumia	ユミアのアトリエ	优米雅的炼金工房	優米雅的鍊金工房	Atelier Yumia	Atelier Yumia	유미아의 아틀리에	Ателье Юмия	Atelier Yumia
Filter	絞り込み	筛选	進階搜尋	Filter	Filtrer	필터	Фильтр	Filtro
Filter	フィルタ	筛选器	篩選器	Filter	Filtre	필터	Фильтр	Filtro
Filter	フィルタ	滤镜	濾鏡	Filter	Filtre	필터	Фильтр	Filtro
Item	アイテム	道具	道具	Gegenstand	Objet	아이템	Предмет	Objeto
Category	カテゴリ	类别	類別	Kategorie	Catégorie	카테고리	Категория	Categoría
Effects	効果	效果	效果	Effekte	Effets	효과	Эффекты	Efectos
Traits	特性	特性	特性	Eigenschaften	Caract.	특성	Черты	Atributos
Quality	品質	品质	品質	Qualität	Qualité	품질	Качество	Calidad
Effect	影響	影响	影響	Effekt	Effet	영향	Эффект	Efecto
Comfort Level:	快適度：	舒适度：	舒適度：	Komfortstufe:	Niveau de confort :	쾌적도：	Уровень удобства:	Nivel de comodidad:
Materials	資材	原材料	原材料	Materialien	Matériaux	자재	Материалы	Materiales
SP	SP	SP	SP	FP	PC	SP	ОН	PH
Trait Blending	特性合成	特性合成	特性合成	Eigenschaftenverschmelzung	Mélange de caractéristiques	특성합성	Смешение	Mezcla de atributos
Inner Range	インレンジ	近距离	近距離	Innere Reichweite	À courte portée	근거리	Ближнее расстояние	Alcance cercano
Outer Range	アウトレンジ	远距离	遠距離	Äußere Reichweite	À longue portée	원거리	Дальнее расстояние	Alcance exterior
