id	quest_name	extra	reward
EXPLORATION_REWARD_FOREST_00	{'text_eng': 'Ligneus Region', 'text_jpn': 'リグナス地方', 'text_chs': '里古那斯地区', 'text_cht': '里古那斯地區', 'text_deu': 'Ligneus-Region', 'text_fra': 'Région de Ligneus', 'text_kor': '리그너스 지방', 'text_rus': 'Регион Лигнеус', 'text_spa': 'Región de Lignumbria'}	"{'text_eng': 'Pioneering Reward', 'text_jpn': '開拓報酬', 'text_chs': '开拓报酬', 'text_cht': '開拓報酬', 'text_deu': 'Forschungsbelohnung', 'text_fra': ""Récompense d'exploration"", 'text_kor': '개척 보수', 'text_rus': 'Награда за освоение', 'text_spa': 'Recompensas de exploración'}"	{'reward': 'ITEM_CRAFT_15'}
EXPLORATION_REWARD_FOREST_03	{'text_eng': 'Ligneus Region', 'text_jpn': 'リグナス地方', 'text_chs': '里古那斯地区', 'text_cht': '里古那斯地區', 'text_deu': 'Ligneus-Region', 'text_fra': 'Région de Ligneus', 'text_kor': '리그너스 지방', 'text_rus': 'Регион Лигнеус', 'text_spa': 'Región de Lignumbria'}	"{'text_eng': 'Pioneering Reward', 'text_jpn': '開拓報酬', 'text_chs': '开拓报酬', 'text_cht': '開拓報酬', 'text_deu': 'Forschungsbelohnung', 'text_fra': ""Récompense d'exploration"", 'text_kor': '개척 보수', 'text_rus': 'Награда за освоение', 'text_spa': 'Recompensas de exploración'}"	{'reward': 'ITEM_CRAFT_17'}
EXPLORATION_REWARD_FOREST_06	{'text_eng': 'Ligneus Region', 'text_jpn': 'リグナス地方', 'text_chs': '里古那斯地区', 'text_cht': '里古那斯地區', 'text_deu': 'Ligneus-Region', 'text_fra': 'Région de Ligneus', 'text_kor': '리그너스 지방', 'text_rus': 'Регион Лигнеус', 'text_spa': 'Región de Lignumbria'}	"{'text_eng': 'Pioneering Reward', 'text_jpn': '開拓報酬', 'text_chs': '开拓报酬', 'text_cht': '開拓報酬', 'text_deu': 'Forschungsbelohnung', 'text_fra': ""Récompense d'exploration"", 'text_kor': '개척 보수', 'text_rus': 'Награда за освоение', 'text_spa': 'Recompensas de exploración'}"	{'reward': 'ITEM_INTERIOR_521'}
EXPLORATION_REWARD_FOREST_10	{'text_eng': 'Ligneus Region', 'text_jpn': 'リグナス地方', 'text_chs': '里古那斯地区', 'text_cht': '里古那斯地區', 'text_deu': 'Ligneus-Region', 'text_fra': 'Région de Ligneus', 'text_kor': '리그너스 지방', 'text_rus': 'Регион Лигнеус', 'text_spa': 'Región de Lignumbria'}	"{'text_eng': 'Pioneering Reward', 'text_jpn': '開拓報酬', 'text_chs': '开拓报酬', 'text_cht': '開拓報酬', 'text_deu': 'Forschungsbelohnung', 'text_fra': ""Récompense d'exploration"", 'text_kor': '개척 보수', 'text_rus': 'Награда за освоение', 'text_spa': 'Recompensas de exploración'}"	{'reward': 'ITEM_CRAFT_07'}
EXPLORATION_REWARD_ROTTEN_SEA_00	{'text_eng': 'Sivash Region', 'text_jpn': 'シバーシュ地方', 'text_chs': '席巴修地区', 'text_cht': '席巴修地區', 'text_deu': 'Sivash-Lande', 'text_fra': 'Région de Sivash', 'text_kor': '시바슈 지방', 'text_rus': 'Регион Сиваш', 'text_spa': 'Región de Syvashi'}	"{'text_eng': 'Pioneering Reward', 'text_jpn': '開拓報酬', 'text_chs': '开拓报酬', 'text_cht': '開拓報酬', 'text_deu': 'Forschungsbelohnung', 'text_fra': ""Récompense d'exploration"", 'text_kor': '개척 보수', 'text_rus': 'Награда за освоение', 'text_spa': 'Recompensas de exploración'}"	{'reward': 'ITEM_CRAFT_10'}
EXPLORATION_REWARD_ROTTEN_SEA_02	{'text_eng': 'Sivash Region', 'text_jpn': 'シバーシュ地方', 'text_chs': '席巴修地区', 'text_cht': '席巴修地區', 'text_deu': 'Sivash-Lande', 'text_fra': 'Région de Sivash', 'text_kor': '시바슈 지방', 'text_rus': 'Регион Сиваш', 'text_spa': 'Región de Syvashi'}	"{'text_eng': 'Pioneering Reward', 'text_jpn': '開拓報酬', 'text_chs': '开拓报酬', 'text_cht': '開拓報酬', 'text_deu': 'Forschungsbelohnung', 'text_fra': ""Récompense d'exploration"", 'text_kor': '개척 보수', 'text_rus': 'Награда за освоение', 'text_spa': 'Recompensas de exploración'}"	{'reward': 'ITEM_INTERIOR_204'}
EXPLORATION_REWARD_ROTTEN_SEA_03	{'text_eng': 'Sivash Region', 'text_jpn': 'シバーシュ地方', 'text_chs': '席巴修地区', 'text_cht': '席巴修地區', 'text_deu': 'Sivash-Lande', 'text_fra': 'Région de Sivash', 'text_kor': '시바슈 지방', 'text_rus': 'Регион Сиваш', 'text_spa': 'Región de Syvashi'}	"{'text_eng': 'Pioneering Reward', 'text_jpn': '開拓報酬', 'text_chs': '开拓报酬', 'text_cht': '開拓報酬', 'text_deu': 'Forschungsbelohnung', 'text_fra': ""Récompense d'exploration"", 'text_kor': '개척 보수', 'text_rus': 'Награда за освоение', 'text_spa': 'Recompensas de exploración'}"	{'reward': 'ITEM_INTERIOR_522'}
EXPLORATION_REWARD_ROTTEN_SEA_06	{'text_eng': 'Sivash Region', 'text_jpn': 'シバーシュ地方', 'text_chs': '席巴修地区', 'text_cht': '席巴修地區', 'text_deu': 'Sivash-Lande', 'text_fra': 'Région de Sivash', 'text_kor': '시바슈 지방', 'text_rus': 'Регион Сиваш', 'text_spa': 'Región de Syvashi'}	"{'text_eng': 'Pioneering Reward', 'text_jpn': '開拓報酬', 'text_chs': '开拓报酬', 'text_cht': '開拓報酬', 'text_deu': 'Forschungsbelohnung', 'text_fra': ""Récompense d'exploration"", 'text_kor': '개척 보수', 'text_rus': 'Награда за освоение', 'text_spa': 'Recompensas de exploración'}"	{'reward': 'ITEM_CRAFT_20'}
EXPLORATION_REWARD_ROTTEN_SEA_10	{'text_eng': 'Sivash Region', 'text_jpn': 'シバーシュ地方', 'text_chs': '席巴修地区', 'text_cht': '席巴修地區', 'text_deu': 'Sivash-Lande', 'text_fra': 'Région de Sivash', 'text_kor': '시바슈 지방', 'text_rus': 'Регион Сиваш', 'text_spa': 'Región de Syvashi'}	"{'text_eng': 'Pioneering Reward', 'text_jpn': '開拓報酬', 'text_chs': '开拓报酬', 'text_cht': '開拓報酬', 'text_deu': 'Forschungsbelohnung', 'text_fra': ""Récompense d'exploration"", 'text_kor': '개척 보수', 'text_rus': 'Награда за освоение', 'text_spa': 'Recompensas de exploración'}"	{'reward': 'ITEM_CRAFT_08'}
EXPLORATION_REWARD_METAL_00	"{'text_eng': 'Auruma Region', 'text_jpn': 'アウルーマ地方', 'text_chs': '奥尔马地区', 'text_cht': '奧爾馬地區', 'text_deu': 'Auruma-Gefilde', 'text_fra': ""Région d'Auruma"", 'text_kor': '아울루마 지방', 'text_rus': 'Регион Аурума', 'text_spa': 'Región de Auruma'}"	"{'text_eng': 'Pioneering Reward', 'text_jpn': '開拓報酬', 'text_chs': '开拓报酬', 'text_cht': '開拓報酬', 'text_deu': 'Forschungsbelohnung', 'text_fra': ""Récompense d'exploration"", 'text_kor': '개척 보수', 'text_rus': 'Награда за освоение', 'text_spa': 'Recompensas de exploración'}"	{'reward': 'ITEM_CRAFT_16'}
