item_tag	make_num	obtain_skill_point	recipe_category	material_tag	text_eng	fire	ice	bolt	air	materials	effects	reward_prm1	get_scenario_flag	unlock_scenario_flag	residue_cost_fire	residue_cost_ice	residue_cost_thunder	residue_cost_air	reward
ITEM_ATTACK_001	1	30	MIX_RECIPE_CATEGORY_ATTACK	['ITEM_ORE_001', 'ITEM_POWDER_002', 'ITEM_CATEGORY_POWDER', '']	Flamme	True	False	False	False	['Igneo Stone', 'Popshell', '(Gunpowder)']	[{'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0001', 'effect_name': 'Fire Damage'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0126', 'effect_name': 'Fire Follow-Up'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0038', 'effect_name': 'DEF Down'}]	['', 15, 1, 2, 1, 1, 3, 1, 5, 30]	-1	-1	[3, 5, 7, 9, 11, 13, 6, 8, 10, 15]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['Learn Recipe', 'Quality Up', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Base Resonance Count', 'Quality Up']
ITEM_ATTACK_002	1	30	MIX_RECIPE_CATEGORY_ATTACK	['ITEM_ORE_002', 'ITEM_CATEGORY_LIQUID', 'ITEM_CATEGORY_FLOWER', '']	Lehrune	False	True	False	False	['Glacial Stone', '(Water)', '(Flowers)']	[{'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0002', 'effect_name': 'Ice Damage'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0127', 'effect_name': 'Ice Follow-Up'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0039', 'effect_name': 'SPD Down'}]	['', 15, 1, 2, 1, 1, 3, 1, 5, 30]	-1	-1	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[3, 5, 7, 9, 11, 13, 6, 8, 10, 15]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['Learn Recipe', 'Quality Up', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Base Resonance Count', 'Quality Up']
ITEM_ATTACK_003	1	45	MIX_RECIPE_CATEGORY_ATTACK	['ITEM_GEMSTONE_006', 'ITEM_CATEGORY_MYSTIC', 'ITEM_CATEGORY_STONE', '']	Plajig	False	False	True	False	['Aura Gemstone', '(Magical)', '(Stone)']	[{'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0003', 'effect_name': 'Bolt Damage'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0128', 'effect_name': 'Bolt Follow-Up'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0037', 'effect_name': 'ATK Down'}]	['', 15, 1, 2, 1, 1, 3, 1, 5, 30]	-1	-1	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[3, 5, 7, 9, 11, 13, 6, 8, 10, 15]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['Learn Recipe', 'Quality Up', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Base Resonance Count', 'Quality Up']
ITEM_ATTACK_004	1	45	MIX_RECIPE_CATEGORY_ATTACK	['ITEM_PLANT_003', 'ITEM_CATEGORY_PLANT', 'ITEM_CATEGORY_MYSTIC', '']	Luft	False	False	False	True	['Pinwind', '(Plants)', '(Magical)']	[{'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0004', 'effect_name': 'Air Damage'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0129', 'effect_name': 'Air Follow-Up'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0048', 'effect_name': 'Negative Effect Resistance Down'}]	['', 15, 1, 2, 1, 1, 3, 1, 5, 30]	50	-1	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[5, 8, 11, 14, 17, 20, 8, 11, 14, 19]	['Learn Recipe', 'Quality Up', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Base Resonance Count', 'Quality Up']
ITEM_ATTACK_005	1	60	MIX_RECIPE_CATEGORY_ATTACK	['ITEM_FOODSTUFF_008', 'ITEM_POWDER_003', 'ITEM_CATEGORY_POWDER', '']	Diable Pod	False	False	True	False	['Venom Nut', 'Moldy Bark', '(Gunpowder)']	[{'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0054', 'effect_name': 'Binding Blast'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0055', 'effect_name': 'Sealed Evil Strike'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0056', 'effect_name': 'Extended Negative Effect Duration'}]	['', 15, 1, 2, 1, 1, 3, 1, 5, 30]	-1	-1	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[6, 9, 12, 15, 18, 9, 12, 15, 10, 15]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['Learn Recipe', 'Quality Up', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Base Resonance Count', 'Quality Up']
ITEM_ATTACK_006	1	75	MIX_RECIPE_CATEGORY_ATTACK	['ITEM_FUEL_002', 'ITEM_PLANT_010', 'ITEM_CATEGORY_NEUTRALIZE', '']	Meteor	True	False	False	False	['Lost Heart', 'Blue Clover', '(Neutralizers)']	[{'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0057', 'effect_name': 'Meteoric Strike'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0058', 'effect_name': 'Meteor Shower'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0040', 'effect_name': 'Max HP Down'}]	['', 15, 1, 2, 1, 1, 3, 1, 5, 30]	-1	-1	[3, 4, 5, 6, 7, 4, 5, 6, 5, 5]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[3, 5, 7, 9, 11, 4, 6, 8, 5, 7]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['Learn Recipe', 'Quality Up', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Base Resonance Count', 'Quality Up']
ITEM_ATTACK_007	1	75	MIX_RECIPE_CATEGORY_ATTACK	['ITEM_ORE_004', 'ITEM_STONE_005', 'ITEM_CATEGORY_NEUTRALIZE', '']	Mirage Sword	False	True	False	False	['Mordenite', 'Breeze Stone', '(Neutralizers)']	[{'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0059', 'effect_name': 'Phantom Reflection'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0060', 'effect_name': 'Chain Boost'}, {'max_lv': 3, 'effect_tag': 'ITEM_EFF_EFFECT_0061', 'effect_name': 'Item Uses Up'}]	['', 15, 1, 2, 1, 1, 3, 1, 5, 30]	-1	-1	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[5, 7, 9, 11, 13, 6, 8, 10, 7, 10]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[3, 4, 5, 6, 7, 4, 5, 6, 5, 5]	['Learn Recipe', 'Quality Up', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Base Resonance Count', 'Quality Up']
ITEM_ATTACK_008	1	120	MIX_RECIPE_CATEGORY_ATTACK	['ITEM_FUEL_003', 'ITEM_POWDER_004', 'ITEM_CATEGORY_POWDER', '']	Sharp Flamme	True	False	False	False	['Ore Flame', 'Energy Powder', '(Gunpowder)']	[{'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0062', 'effect_name': 'Searing Sword'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0063', 'effect_name': 'Linked Explosions'}, {'max_lv': 3, 'effect_tag': 'ITEM_EFF_EFFECT_0064', 'effect_name': 'Overflowing Hellfire'}]	['', 15, 1, 2, 2, 1, 3, 1, 5, 30]	-1	-1	[5, 7, 9, 8, 10, 12, 9, 11, 13, 18]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['Learn Recipe', 'Quality Up', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Base Resonance Count', 'Quality Up']
ITEM_ATTACK_009	1	120	MIX_RECIPE_CATEGORY_ATTACK	['ITEM_LIQUID_008', 'ITEM_MEDICAL_008', 'ITEM_CATEGORY_FLOWER', '']	Hart Lehrune	False	True	False	False	['Liquid Ring', 'Calciball', '(Flowers)']	[{'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0065', 'effect_name': 'Icebreaker Hammer'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0066', 'effect_name': 'Focused Breakthrough'}, {'max_lv': 3, 'effect_tag': 'ITEM_EFF_EFFECT_0067', 'effect_name': 'Encroaching Glacier'}]	['', 15, 1, 2, 2, 1, 3, 1, 5, 30]	-1	-1	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[5, 7, 9, 8, 10, 12, 9, 11, 13, 18]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['Learn Recipe', 'Quality Up', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Base Resonance Count', 'Quality Up']
ITEM_ATTACK_010	1	120	MIX_RECIPE_CATEGORY_ATTACK	['ITEM_MYSTIC_003', 'ITEM_FOODSTUFF_011', 'ITEM_CATEGORY_MYSTIC', '']	Stellar Plajig	False	False	True	False	['Steronze', 'Electromelon', '(Magical)']	[{'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0068', 'effect_name': 'Thunder Spear'}, {'max_lv': 10, 'effect_tag': 'ITEM_EFF_EFFECT_0069', 'effect_name': 'High-Voltage Current'}, {'max_lv': 3, 'effect_tag': 'ITEM_EFF_EFFECT_0070', 'effect_name': 'Dazzling Dwarf Star'}]	['', 15, 1, 2, 2, 1, 3, 1, 5, 30]	-1	-1	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[7, 10, 13, 10, 13, 16, 11, 14, 17, 22]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['Learn Recipe', 'Quality Up', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Quantity', 'Add Effect', 'Add Slot', 'Increase Base Resonance Count', 'Quality Up']
