text_eng	desc_eng	text_jpn	desc_jpn	text_chs	desc_chs	text_cht	desc_cht	text_deu	desc_deu	text_fra	desc_fra	text_kor	desc_kor	text_rus	desc_rus	text_spa	desc_spa
Add Effect	Adds 1 additional effect to synthesized items.	効果追加	調合品の効果を１つ追加する	追加效果	追加1种调合品的效果。	追加效果	追加1種調合品的效果。	Effekt hinzufügen	Fügt 1 zusätzlichen Effekt zu synthetisierten Gegenständen hinzu.	Ajout d'effet	Ajoute 1 effet supplémentaire aux objets synthétisés.	효과 추가	조합품의 효과를 1개 추가한다	Дополнительный эффект	Добавляет 1 дополнительный эффект синтезируемым предметам.	Añadir efecto	Añade 1 efecto adicional a los objetos sintetizados.
Add Slot	Adds an Alchemy Core stratum and increases the number of slots.	スロット追加	アトラスコア内に層が追加され、スロット数が増加する	追加材料槽	在星盘核心内追加层数，增加材料槽数量。	追加材料槽	在星盤核心內追加層數，增加材料槽數量。	Platz hinzufügen	Fügt eine Alchemiekernschicht hinzu und erhöht die Anzahl der Plätze.	Ajout d'emplacement	Ajoute une strate au Cœur d'alchimie et augmente le nombre d'emplacements.	슬롯 추가	아틀라스 코어 내에 층이 추가되고슬롯 수가 증가한다	Добавить ячейку	Добавляет слой ядра алхимии и увеличивает количество ячеек.	Nueva ranura	Añade un estrato al Núcleo de alquimia y aumenta el total de ranuras.
Increase Quantity	Increases quantity by <NUM0>.	作成個数増加	作成個数＋<NUM0>	制作个数增加	制作个数+<NUM0>	製作個數增加	製作個數+<NUM0>	Menge erhöhen	Erhöht die Menge um <NUM0>.	Augmentation quantité	Augmente la quantité de <NUM0>.	제작개수 증가	제작개수＋<NUM0>	Увеличить количество	Увеличивает количество на <NUM0>.	Aumenta la cantidad	Aumenta la cantidad en <NUM0>.
Item Uses Up	Increases item uses by <NUM0>.	使用回数増加	アイテムの使用回数＋<NUM0>	使用次数增加	道具的使用次数+<NUM0>。	使用次數增加	道具的使用次數+<NUM0>	Erhöhung der Anzahl an Verwendungen für Gegenstände	Erhöht die Nutzung von Gegenständen um <NUM0>.	Augmentation nombre d'utilisations d'objet	Augmente le nombre d'utilisations de l'objet de <NUM0>.	사용횟수 증가	아이템 사용횟수＋<NUM0>	Больше использований предмета	Увеличивает число использований предмета на <NUM0>.	Más usos de objetos	Aumenta los usos de un objeto en <NUM0>.
Quality Up	Boosts base quality by <NUM0>.	品質アップ	初期品質＋<NUM0>	品质提升	初始品质+<NUM0>	品質上升	初始品質+<NUM0>	Qualitäts-Erhöhung	Verbessert Basis-Qualität um <NUM0>.	Augmentation de la qualité	Augmente la qualité de base de <NUM0>.	품질 UP	초기 품질＋<NUM0>	Выше качество	Повышает базовое качество на <NUM0>.	Más calidad	Potencia la calidad base en <NUM0>.
ATK Up	Boosts base ATK by <NUM0>.	攻撃力アップ	初期攻撃力＋<NUM0>	攻击力提升	初始攻击力+<NUM0>	攻擊力上升	初始攻擊力+<NUM0>	ANG-Erhöhung	Verbessert Basis-ANG um <NUM0>.	Augmentation ATQ	Augmente l'ATQ de base de <NUM0>.	공격력 UP	초기 공격력＋<NUM0>	Выше АТК	Повышает базовую АТК на <NUM0>.	Más ATQ	Potencia el ATQ base en <NUM0>.
DEF Up	Boosts base DEF by <NUM0>.	防御力アップ	初期防御力＋<NUM0>	防御力提升	初始防御力+<NUM0>	防禦力上升	初始防禦力+<NUM0>	VRT-Erhöhung	Verbessert Basis-VRT um <NUM0>.	Augmentation DÉF	Augmente la DÉF de base de <NUM0>.	방어력 UP	초기 방어력＋<NUM0>	Выше ЗЩТ	Повышает базовую ЗЩТ на <NUM0>.	Más DEF	Potencia la DEF base en <NUM0>.
SPD Up	Boosts base SPD by <NUM0>.	素早さアップ	初期素早さ＋<NUM0>	敏捷提升	初始敏捷+<NUM0>	敏捷上升	初始敏捷+<NUM0>	TMP-Erhöhung	Verbessert Basis-TMP um <NUM0>.	Augmentation VIT	Augmente la VIT de base de <NUM0>.	민첩성 UP	초기 민첩성＋<NUM0>	Выше СКР	Повышает базовую СКР на <NUM0>.	Más VEL	Potencia la VEL base en <NUM0>.
Increase Resonance Area	Increases resonance area by <NUM0>.	共鳴範囲拡大	共鳴範囲＋<NUM0>	共鸣范围扩大	共鸣范围+<NUM0>	共鳴範圍擴大	共鳴範圍+<NUM0>	Resonanzbereich erhöhen	Vergrößert den Resonanzbereich um <NUM0>.	Augmentation zone de résonance	Augmente la zone de résonance de <NUM0>.	공명범위 확대	공명범위＋<NUM0>	Увеличенная область резонанса	Расширяет область резонанса на <NUM0>.	Aumenta la zona de resonancia	Aumenta la zona de resonancia en <NUM0>.
Learn Recipe	Learn a recipe.	レシピ習得	レシピを習得する	习得配方	习得配方。	習得配方	習得配方。	Rezept erlernen	Lerne ein Rezept.	Apprentissage de la recette	Apprend la recette.	레시피 습득	레시피를 습득한다	Изучить рецепт	Позволяет изучить рецепт.	Aprender receta	Aprende una receta.
