item_id	text_eng	desc_eng	desc2_eng	text_jpn	desc_jpn	desc2_jpn	text_chs	desc_chs	desc2_chs	text_cht	desc_cht	desc2_cht	text_deu	desc_deu	desc2_deu	text_fra	desc_fra	desc2_fra	text_kor	desc_kor	desc2_kor	text_rus	desc_rus	desc2_rus	text_spa	desc_spa	desc2_spa	imageNo	min_rarity	max_level	wep	arm	acc	atk	heal	supEne	supPar	grade_min_value	grade_max_value	lv_min_rand_range_min	lv_min_rand_range_max	lv_max_rand_range_min	lv_max_rand_range_max	trait_base	hash	item_trait_table_tag	fire	ice	bolt	air	no_level	combo_1	combo_2	combo_3	combo_4	disp_flag
ITEM_TRAIT_TRAIT_001	Destructive	Boosts the item's power by [Rank x 5]%.		破壊力上昇	アイテムの威力が RANK×5％ 上昇		破坏力提升	道具的威力提升 RANK×5%。		破壞力上升	道具的威力上升 RANK×5%。		Zerstörerisch	Erhöht die Stärke des Gegenstands um [Rang x 5] %.		Destructeur	Améliore la puissance de l'objet de [Rang x 5] %.		파괴력 상승	아이템의 위력이 RANK×5% 상승한다		Разрушительное	Увеличивает мощь предмета на [ранг x 5]%.		Destructivo	Aumenta un [Rango x 5] % la potencia del objeto.		1402	0	6				True		True		3	8	[5, 0, 0, 0]	[5, 0, 0, 0]	[30, 0, 0, 0]	[30, 0, 0, 0]	['ITEM_SUB_ITM_CHANGE_POWER', '', '', '']	['', '', '', '']	0	True									1
ITEM_TRAIT_TRAIT_002	Healing	Boosts the amount of HP restored by the item by [Rank x 5]%.		回復力上昇	アイテムの回復量が RANK×5％ 上昇		恢复力提升	道具的恢复量提升 RANK×5%。		回復力上升	道具的回復量上升 RANK×5%。		Heilend	Erhöht die Menge der durch den Gegenstand wiederhergestellten LP um [Rang x 5] %.		Curatif	Augmente le nombre de PV restaurés par l'objet de [Rang x 5] %.		회복력 상승	아이템의 회복량이 RANK×5% 상승한다		Исцеляющее	Увеличивает количество ОЗ, восстанавливаемое предметом, на [ранг x 5]%.		Curación	Aumenta un [Rango x5] % los PS que recupera el objeto.		1402	0	6					True		True	3	8	[5, 0, 0, 0]	[5, 0, 0, 0]	[30, 0, 0, 0]	[30, 0, 0, 0]	['ITEM_SUB_ITM_CHANGE_POWER', '', '', '']	['', '', '', '']	0		True								1
ITEM_TRAIT_TRAIT_003	Critical	Boosts the item's critical rate by [Rank x 5]%.		クリティカル	アイテムのクリティカル発生率が RANK×5％ 上昇		暴击	道具的暴击发生率提升 RANK×5%。		重擊	道具的重擊發生率上升 RANK×5%。		Kritisch	Erhöht die kritische Trefferquote des Gegenstands um [Rang x 5] %.		Critique	Améliore le taux critique de l'objet de [Rang x 5] %.		크리티컬	아이템의 크리티컬 확률이RANK×5% 상승한다		Критическое	Увеличивает шанс критического удара предмета на [ранг x 5]%.		Crítico	Aumenta un [Rango x 5] % el índice de crítico del objeto.		1402	0	6				True	True	True	True	3	8	[5, 0, 0, 0]	[5, 0, 0, 0]	[30, 0, 0, 0]	[30, 0, 0, 0]	['ITEM_SUB_ITM_ADD_CRITICAL', '', '', '']	['', '', '', '']	0			True							1
ITEM_TRAIT_TRAIT_004	HP Up	Boosts maximum HP by [Rank x 5].		HP上昇	HPの最大値が RANK×5 上昇		HP提升	HP最大值提升 RANK×5。		HP上升	HP最大值上升 RANK×5。		LP-Erhöhung	Erhöht maximale LP um [Rang x 5].		Augmentation PV	Améliore les PV maximums de Rang x 5.		HP 상승	HP의 최대치가 RANK×5 상승한다		Выше ОЗ	Повышает максимум ОЗ на [ранг х 5].		Más PS	Aumenta los PS máximos en [Rango x5].		1402	0	6		True						3	8	[5, 0, 0, 0]	[5, 0, 0, 0]	[30, 0, 0, 0]	[30, 0, 0, 0]	['ITEM_SUB_EQI_CHANGE_MAXHP', '', '', '']	['', '', '', '']	0				True						1
ITEM_TRAIT_TRAIT_005	ATK Up	Boosts ATK by [Rank x 5].		攻撃力上昇	攻撃力が RANK×5 上昇		攻击力提升	攻击力提升 RANK×5。		攻擊力上升	攻擊力上升 RANK×5。		ANG-Erhöhung	Verbessert ANG um [Rang x 5].		Augmentation ATQ	Augmente l'ATQ de Rang x 5.		공격력 상승	공격력이 RANK×5 상승한다		Выше АТК	Повышает АТК на [ранг х 5].		Más ATQ	Potencia el ATQ en [Rango x5].		1402	0	6	True							3	8	[5, 0, 0, 0]	[5, 0, 0, 0]	[30, 0, 0, 0]	[30, 0, 0, 0]	['ITEM_SUB_EQI_CHANGE_ATTACK', '', '', '']	['', '', '', '']	1	True									1
ITEM_TRAIT_TRAIT_006	DEF Up	Boosts DEF by [Rank x 5].		防御力上昇	防御力が RANK×5 上昇		防御力提升	防御力提升 RANK×5。		防禦力上升	防禦力上升 RANK×5。		VRT-Erhöhung	Verbessert VRT um [Rang x 5].		Augmentation DÉF	Augmente la DÉF de Rang x 5.		방어력 상승	방어력이 RANK×5 상승한다		Выше ЗЩТ	Повышает ЗЩТ на [ранг х 5].		Más DEF	Potencia la DEF en [Rango x5].		1402	0	6		True						3	8	[5, 0, 0, 0]	[5, 0, 0, 0]	[30, 0, 0, 0]	[30, 0, 0, 0]	['ITEM_SUB_EQI_CHANGE_DEFENSE', '', '', '']	['', '', '', '']	1		True								1
ITEM_TRAIT_TRAIT_007	SPD Up	Boosts SPD by [Rank x 5].		素早さ上昇	素早さが RANK×5 上昇		敏捷提升	敏捷提升 RANK×5。		敏捷上升	敏捷上升 RANK×5。		TMP-Erhöhung	Verbessert TMP um [Rang x 5].		Augmentation VIT	Augmente la VIT de Rang x 5.		민첩성 상승	민첩성이 RANK×5 상승한다		Выше СКР	Повышает СКР на [ранг х 5].		Más VEL	Potencia la VEL en [Rango x5].		1402	0	6			True					3	8	[5, 0, 0, 0]	[5, 0, 0, 0]	[30, 0, 0, 0]	[30, 0, 0, 0]	['ITEM_SUB_EQI_CHANGE_SPEED', '', '', '']	['', '', '', '']	1				True						1
ITEM_TRAIT_TRAIT_008	All Stats Boost	Boosts all stats by [Rank x 3].		全能力強化	全ステータスが RANK×3 上昇		全能力强化	所有能力提升 RANK×3。		全能力強化	所有能力上升 RANK×3。		Verbesserung aller Werte	Verbessert alle Werte um [Rang x 3].		Boost de statistiques	Augmente toutes les stats de Rang x 3.		전능력 강화	모든 스테이터스가 RANK×3 상승한다		Увеличение параметров	Повышает все параметры на [ранг х 3].		Potenciador de estadísticas	Potencia todas las estadísticas en [Rango x3].		1402	0	6	True	True	True					100	100	[3, 0, 0, 0]	[3, 0, 0, 0]	[18, 0, 0, 0]	[18, 0, 0, 0]	['ITEM_SUB_EQI_CHANGE_ALLPARAM', '', '', '']	['', '', '', '']	25			True			HP Up	ATK Up	DEF Up	SPD Up	1
ITEM_TRAIT_TRAIT_009	Skill Boost	Increases skill damage by [Rank x 5]%.		スキル強化	スキルによるダメージが RANK×5％ 上昇		技能强化	使用技能造成的伤害提升 RANK×5%。		技能強化	使用技能給予的傷害上升 RANK×5%。		Fertigkeitenverbesserung	Verbessert Fertigkeitsschaden um [Rang x 5] %.		Boost de compétences	Augmente de [Rang x 5] % les dégâts des compétences.		스킬 강화	스킬에 의한 대미지가 RANK×5% 상승한다		Увеличение навыка	Повышает урон от навыков на [ранг х 5]%.		Potenciador de habilidad	Aumenta un [Rango x5] % el daño de las habilidades.		1402	0	6	True							3	8	[5, 0, 0, 0]	[5, 0, 0, 0]	[30, 0, 0, 0]	[30, 0, 0, 0]	['ITEM_SUB_EQI_DAMAGE_SKILL', '', '', '']	['', '', '', '']	1			True							1
ITEM_TRAIT_TRAIT_010	Stun Boost	Increases damage to stunned enemies by [Rank x 5]%.		ブレイク時強化	ブレイク時に与えるダメージが RANK×5％ 上昇		破防时强化	破防时，造成的伤害提升 RANK×5%。		破防時強化	破防時，給予的傷害上升 RANK×5%。		Betäubungsverbesserung	Verbessert den Schaden bei betäubten Gegnern um [Rang x 5] %.		Boost d'étourdissement	Augmente les dégâts infligés aux ennemis étourdis de [Rang x 5] %.		브레이크 시 강화	브레이크 시 주는 대미지가RANK×5% 상승한다		Усилитель оглушения	Повышает урон, наносимый оглушенным врагам, на [ранг х 5]%.		Potenciador de aturdimiento	Aumenta un [Rango x5] % el daño a los enemigos aturdidos.		1402	0	6			True					3	8	[5, 0, 0, 0]	[5, 0, 0, 0]	[30, 0, 0, 0]	[30, 0, 0, 0]	['ITEM_SUB_EQI_DAMAGE_BREAK', '', '', '']	['', '', '', '']	2	True									1
